region,year,capture_mass_level
Республика Хакасия,2003,183.0
Алтайский край,2003,820.0
Красноярский край,2003,9201.0
Иркутская область,2003,2886.0
Кемеровская область,2003,4256.0
Новосибирская область,2003,893.0
Омская область,2003,1863.0
Томская область,2003,281.0
Республика Саха (Якутия),2003,374.0
Приморский край,2003,2824.0
Хабаровский край,2003,1014.0
Амурская область,2003,255.0
Магаданская область,2003,61.0
Сахалинская область,2003,377.0
Еврейская автономная область,2003,138.0
Чукотский автономный округ,2003,38.0
Белгородская область,2004,865.0
Брянская область,2004,735.0
Владимирская область,2004,9.0
Воронежская область,2004,60.0
Ивановская область,2004,30.0
Калужская область,2004,107.0
Костромская область,2004,86.0
Курская область,2004,29.0
Липецкая область,2004,1221.0
Московская область,2004,1047.0
Орловская область,2004,5.0
Рязанская область,2004,269.0
Смоленская область,2004,138.0
Тамбовская область,2004,11.0
Тверская область,2004,19.0
Тульская область,2004,876.0
Ярославская область,2004,69.0
г. Москва,2004,79.0
Республика Карелия,2004,149.0
Республика Коми,2004,371.0
Архангельская область,2004,959.0
Вологодская область,2004,1465.0
Калининградская область,2004,6.0
Ленинградская область,2004,871.0
Мурманская область,2004,1865.0
Новгородская область,2004,89.0
Псковская область,2004,7.0
г. Санкт-Петербург,2004,68.0
Республика Адыгея,2004,8.0
Республика Калмыкия,2004,0.5
Краснодарский край,2004,494.0
Астраханская область,2004,17.0
Волгоградская область,2004,327.0
Ростовская область,2004,615.0
Республика Дагестан,2004,4.0
Республика Ингушетия,2004,0.2
Кабардино-Балкарская Республика,2004,1.0
Карачаево-Черкесская Республика,2004,262.0
Республика Северная Осетия - Алания,2004,207.0
Ставропольский край,2004,103.0
Республика Башкортостан,2004,566.0
Республика Марий Эл,2004,5.0
Республика Мордовия,2004,451.0
Республика Татарстан,2004,231.0
Удмуртская Республика,2004,36.0
Чувашская Республика,2004,27.0
Кировская область,2004,115.0
Нижегородская область,2004,227.0
Оренбургская область,2004,774.0
Пензенская область,2004,40.0
Самарская область,2004,499.0
Саратовская область,2004,365.0
Ульяновская область,2004,210.0
Курганская область,2004,15.0
Свердловская область,2004,7467.0
Тюменская область,2004,42.0
Челябинская область,2004,4353.0
Республика Алтай,2004,3.0
