region,year,unemployment_rate
Республика Калмыкия,2013,12.5
Краснодарский край,2013,6.1
Астраханская область,2013,7.5
Волгоградская область,2013,6.6
Ростовская область,2013,6.0
Республика Дагестан,2013,11.6
Республика Ингушетия,2013,43.7
Кабардино-Балкарская Республика,2013,10.5
Карачаево-Черкесская Республика,2013,9.8
Республика Северная Осетия - Алания,2013,8.1
Ставропольский край,2013,5.6
Республика Башкортостан,2013,5.8
Республика Марий Эл,2013,5.2
Республика Мордовия,2013,4.4
Республика Татарстан,2013,4.0
Удмуртская Республика,2013,5.7
Чувашская Республика,2013,5.7
Кировская область,2013,5.6
Нижегородская область,2013,4.3
Оренбургская область,2013,4.9
Пензенская область,2013,4.8
Самарская область,2013,3.2
Саратовская область,2013,5.2
Ульяновская область,2013,5.5
Курганская область,2013,7.5
Свердловская область,2013,5.9
Тюменская область,2013,4.7
Челябинская область,2013,6.0
Республика Алтай,2013,11.5
Республика Бурятия,2013,8.0
Республика Тыва,2013,19.3
Республика Хакасия,2013,6.0
Алтайский край,2013,8.3
Красноярский край,2013,5.7
Иркутская область,2013,8.3
Кемеровская область,2013,6.0
Новосибирская область,2013,5.9
Омская область,2013,6.8
Томская область,2013,7.6
Республика Саха (Якутия),2013,7.4
Приморский край,2013,7.1
Хабаровский край,2013,5.7
Амурская область,2013,6.1
Магаданская область,2013,2.9
Сахалинская область,2013,7.2
Еврейская автономная область,2013,8.3
Чукотский автономный округ,2013,3.3
Белгородская область,2014,4.0
Брянская область,2014,5.0
Владимирская область,2014,4.3
Воронежская область,2014,4.5
Ивановская область,2014,4.3
Калужская область,2014,4.2
Костромская область,2014,4.3
Курская область,2014,3.9
Липецкая область,2014,3.7
Московская область,2014,2.7
Орловская область,2014,5.1
Рязанская область,2014,4.4
Смоленская область,2014,5.1
Тамбовская область,2014,4.3
Тверская область,2014,5.3
Тульская область,2014,4.1
Ярославская область,2014,3.8
г. Москва,2014,1.5
Республика Карелия,2014,8.1
Республика Коми,2014,6.0
Архангельская область,2014,7.2
Вологодская область,2014,5.6
Калининградская область,2014,5.4
Ленинградская область,2014,4.5
Мурманская область,2014,6.7
Новгородская область,2014,3.7
Псковская область,2014,6.5
г. Санкт-Петербург,2014,1.4
Республика Адыгея,2014,8.6
Республика Калмыкия,2014,10.9
Краснодарский край,2014,5.7
Астраханская область,2014,7.5
Волгоградская область,2014,6.6
Ростовская область,2014,5.9
Республика Дагестан,2014,10.2
Республика Ингушетия,2014,29.8
Кабардино-Балкарская Республика,2014,9.5
Карачаево-Черкесская Республика,2014,13.0
Республика Северная Осетия - Алания,2014,8.6
Ставропольский край,2014,5.3
Республика Башкортостан,2014,5.3
Республика Марий Эл,2014,4.8
Республика Мордовия,2014,4.2
Республика Татарстан,2014,3.9
Удмуртская Республика,2014,5.1
Чувашская Республика,2014,5.0
Кировская область,2014,5.1
Нижегородская область,2014,4.2
Оренбургская область,2014,4.4
Пензенская область,2014,4.6
Самарская область,2014,3.0
Саратовская область,2014,4.6
Ульяновская область,2014,4.8
Курганская область,2014,7.0
Свердловская область,2014,6.1
Тюменская область,2014,4.7
Челябинская область,2014,6.2
Республика Алтай,2014,10.4
Республика Бурятия,2014,8.4
Республика Тыва,2014,19.1
Республика Хакасия,2014,6.2
Алтайский край,2014,7.2
Красноярский край,2014,5.0
Иркутская область,2014,8.8
Кемеровская область,2014,6.2
Новосибирская область,2014,5.1
Омская область,2014,6.7
Томская область,2014,7.6
Республика Саха (Якутия),2014,7.4
Приморский край,2014,6.9
Хабаровский край,2014,5.9
Амурская область,2014,5.6
Магаданская область,2014,3.1
Сахалинская область,2014,6.5
Еврейская автономная область,2014,8.7
Чукотский автономный округ,2014,3.2
Белгородская область,2015,4.1
Брянская область,2015,4.6
Владимирская область,2015,5.6
Воронежская область,2015,4.5
Ивановская область,2015,5.6
Калужская область,2015,4.3
Костромская область,2015,5.3
Курская область,2015,4.2
Липецкая область,2015,4.1
Московская область,2015,3.3
Орловская область,2015,6.2
Рязанская область,2015,4.7
Смоленская область,2015,6.2
Тамбовская область,2015,4.6
Тверская область,2015,5.6
Тульская область,2015,4.1
Ярославская область,2015,5.3
г. Москва,2015,1.8
Республика Карелия,2015,8.8
Республика Коми,2015,7.0
Архангельская область,2015,6.8
Вологодская область,2015,6.8
Калининградская область,2015,5.7
Ленинградская область,2015,5.1
Мурманская область,2015,7.8
Новгородская область,2015,4.6
Псковская область,2015,6.9
г. Санкт-Петербург,2015,2.1
Республика Адыгея,2015,8.8
Республика Калмыкия,2015,10.7
Краснодарский край,2015,6.0
Астраханская область,2015,7.5
Волгоградская область,2015,7.2
Ростовская область,2015,6.1
Республика Дагестан,2015,10.8
Республика Ингушетия,2015,30.5
Кабардино-Балкарская Республика,2015,10.1
Карачаево-Черкесская Республика,2015,15.1
Республика Северная Осетия - Алания,2015,9.3
Ставропольский край,2015,5.6
Республика Башкортостан,2015,6.1
Республика Марий Эл,2015,5.3
Республика Мордовия,2015,4.2
Республика Татарстан,2015,4.0
Удмуртская Республика,2015,5.0
Чувашская Республика,2015,5.0
Кировская область,2015,5.3
Нижегородская область,2015,4.3
Оренбургская область,2015,4.8
Пензенская область,2015,4.7
Самарская область,2015,3.4
Саратовская область,2015,4.7
Ульяновская область,2015,4.9
Курганская область,2015,7.5
Свердловская область,2015,6.5
Тюменская область,2015,4.9
Челябинская область,2015,7.0
Республика Алтай,2015,9.7
Республика Бурятия,2015,9.2
Республика Тыва,2015,18.6
Республика Хакасия,2015,5.8
Алтайский край,2015,8.0
Красноярский край,2015,6.2
Иркутская область,2015,8.2
Кемеровская область,2015,7.7
Новосибирская область,2015,6.9
Омская область,2015,6.8
Томская область,2015,7.7
Республика Саха (Якутия),2015,7.3
Приморский край,2015,6.9
Хабаровский край,2015,5.3
Амурская область,2015,5.8
Магаданская область,2015,4.3
Сахалинская область,2015,6.3
Еврейская автономная область,2015,7.9
Чукотский автономный округ,2015,4.0
Белгородская область,2016,4.0
Брянская область,2016,4.6
Владимирская область,2016,5.6
Воронежская область,2016,4.5
Ивановская область,2016,5.6
Калужская область,2016,4.2
Костромская область,2016,5.5
Курская область,2016,4.3
Липецкая область,2016,4.0
Московская область,2016,3.3
Орловская область,2016,6.4
Рязанская область,2016,4.4
Смоленская область,2016,6.1
Тамбовская область,2016,4.5
Тверская область,2016,5.8
Тульская область,2016,4.1
Ярославская область,2016,6.7
г. Москва,2016,1.8
Республика Карелия,2016,9.2
Республика Коми,2016,8.7
Архангельская область,2016,7.1
Вологодская область,2016,6.6
Калининградская область,2016,6.0
Ленинградская область,2016,4.6
Мурманская область,2016,7.7
Новгородская область,2016,4.9
Псковская область,2016,6.7
г. Санкт-Петербург,2016,1.6
Республика Адыгея,2016,9.0
Республика Калмыкия,2016,10.6
Краснодарский край,2016,5.8
Астраханская область,2016,7.6
Волгоградская область,2016,6.8
Ростовская область,2016,5.8
Республика Дагестан,2016,10.9
Республика Ингушетия,2016,30.2
Кабардино-Балкарская Республика,2016,10.3
Карачаево-Черкесская Республика,2016,14.4
Республика Северная Осетия - Алания,2016,9.9
Ставропольский край,2016,5.7
Республика Башкортостан,2016,5.8
Республика Марий Эл,2016,6.0
Республика Мордовия,2016,4.2
Республика Татарстан,2016,3.8
Удмуртская Республика,2016,5.2
Чувашская Республика,2016,5.3
Кировская область,2016,5.4
Нижегородская область,2016,4.3
Оренбургская область,2016,4.9
Пензенская область,2016,4.6
Самарская область,2016,4.1
Саратовская область,2016,5.1
Ульяновская область,2016,4.6
Курганская область,2016,8.4
Свердловская область,2016,6.2
Тюменская область,2016,4.6
Челябинская область,2016,7.1
Республика Алтай,2016,12.0
Республика Бурятия,2016,9.6
Республика Тыва,2016,16.6
Республика Хакасия,2016,6.3
Алтайский край,2016,8.6
Красноярский край,2016,6.1
Иркутская область,2016,8.8
Кемеровская область,2016,7.9
Новосибирская область,2016,7.4
Омская область,2016,7.2
Томская область,2016,7.2
Республика Саха (Якутия),2016,7.2
Приморский край,2016,6.0
Хабаровский край,2016,5.0
Амурская область,2016,5.9
Магаданская область,2016,4.4
Сахалинская область,2016,6.3
Еврейская автономная область,2016,8.2
Чукотский автономный округ,2016,3.5
Белгородская область,2017,3.9
Брянская область,2017,4.4
Владимирская область,2017,4.8
Воронежская область,2017,4.3
Ивановская область,2017,4.7
Калужская область,2017,4.0
Костромская область,2017,5.3
Курская область,2017,4.1
Липецкая область,2017,3.9
Московская область,2017,3.2
Орловская область,2017,6.5
Рязанская область,2017,4.1
Смоленская область,2017,5.7
Тамбовская область,2017,4.4
Тверская область,2017,4.5
Тульская область,2017,3.9
Ярославская область,2017,6.6
г. Москва,2017,1.4
Республика Карелия,2017,8.6
Республика Коми,2017,7.8
Архангельская область,2017,6.4
Вологодская область,2017,5.3
Калининградская область,2017,5.2
Ленинградская область,2017,4.6
Мурманская область,2017,7.0
Новгородская область,2017,4.7
Псковская область,2017,6.5
г. Санкт-Петербург,2017,1.6
Республика Адыгея,2017,8.8
Республика Калмыкия,2017,9.9
Краснодарский край,2017,5.7
Астраханская область,2017,7.4
Волгоградская область,2017,6.0
Ростовская область,2017,5.6
Республика Дагестан,2017,12.0
Республика Ингушетия,2017,26.4
Кабардино-Балкарская Республика,2017,10.4
Карачаево-Черкесская Республика,2017,13.5
Республика Северная Осетия - Алания,2017,11.8
Ставропольский край,2017,5.2
Республика Башкортостан,2017,5.6
Республика Марий Эл,2017,6.1
Республика Мордовия,2017,4.2
Республика Татарстан,2017,3.5
Удмуртская Республика,2017,4.8
Чувашская Республика,2017,5.1
Кировская область,2017,5.3
Нижегородская область,2017,4.2
Оренбургская область,2017,4.5
Пензенская область,2017,4.5
Самарская область,2017,4.2
Саратовская область,2017,4.8
Ульяновская область,2017,4.4
Курганская область,2017,9.1
Свердловская область,2017,5.5
Тюменская область,2017,3.9
Челябинская область,2017,6.6
Республика Алтай,2017,12.0
Республика Бурятия,2017,18.3
Республика Тыва,2017,4.9
Республика Хакасия,2017,6.9
Алтайский край,2017,5.7
Красноярский край,2017,8.7
Иркутская область,2017,7.1
Кемеровская область,2017,6.0
Новосибирская область,2017,7.0
Омская область,2017,6.3
Томская область,2017,9.6
Республика Саха (Якутия),2017,7.1
Приморский край,2017,5.4
Хабаровский край,2017,4.8
Амурская область,2017,5.9
Магаданская область,2017,5.2
Сахалинская область,2017,5.9
Еврейская автономная область,2017,8.3
Чукотский автономный округ,2017,2.9
Белгородская область,2018,3.9
Брянская область,2018,3.9
Владимирская область,2018,4.7
Воронежская область,2018,3.7
Ивановская область,2018,4.2
Калужская область,2018,3.9
Костромская область,2018,4.5
Курская область,2018,4.0
Липецкая область,2018,3.8
Московская область,2018,2.7
Орловская область,2018,4.9
Рязанская область,2018,4.2
Смоленская область,2018,5.1
Тамбовская область,2018,4.1
Тверская область,2018,4.1
Тульская область,2018,3.9
Ярославская область,2018,5.5
г. Москва,2018,1.2
Республика Карелия,2018,8.7
Республика Коми,2018,7.3
Архангельская область,2018,6.4
Вологодская область,2018,5.1
Калининградская область,2018,4.7
Ленинградская область,2018,4.1
Мурманская область,2018,6.8
Новгородская область,2018,4.2
Псковская область,2018,5.7
г. Санкт-Петербург,2018,1.5
Республика Адыгея,2018,8.6
Республика Калмыкия,2018,9.7
Краснодарский край,2018,5.2
Астраханская область,2018,7.5
Волгоградская область,2018,5.6
Ростовская область,2018,5.1
Республика Дагестан,2018,11.6
Республика Ингушетия,2018,26.3
Кабардино-Балкарская Республика,2018,10.4
Карачаево-Черкесская Республика,2018,12.0
Республика Северная Осетия - Алания,2018,10.3
Ставропольский край,2018,5.0
Республика Башкортостан,2018,4.9
Республика Марий Эл,2018,5.0
Республика Мордовия,2018,4.2
Республика Татарстан,2018,3.3
Удмуртская Республика,2018,4.8
Чувашская Республика,2018,5.0
Кировская область,2018,5.1
Нижегородская область,2018,4.2
Оренбургская область,2018,4.4
Пензенская область,2018,4.4
Самарская область,2018,3.7
Саратовская область,2018,5.0
Ульяновская область,2018,3.7
Курганская область,2018,8.0
Свердловская область,2018,4.8
Тюменская область,2018,3.1
Челябинская область,2018,5.6
Республика Алтай,2018,11.2
Республика Бурятия,2018,14.8
Республика Тыва,2018,5.2
Республика Хакасия,2018,6.1
Алтайский край,2018,4.9
Красноярский край,2018,7.5
Иркутская область,2018,6.1
Кемеровская область,2018,6.7
Новосибирская область,2018,6.7
Омская область,2018,6.3
Томская область,2018,9.3
Республика Саха (Якутия),2018,6.9
Приморский край,2018,5.4
Хабаровский край,2018,3.8
Амурская область,2018,5.6
Магаданская область,2018,5.0
Сахалинская область,2018,5.3
Еврейская автономная область,2018,7.0
Чукотский автономный округ,2018,3.1
Белгородская область,2019,3.9
Брянская область,2019,3.8
Владимирская область,2019,4.0
Воронежская область,2019,3.6
Ивановская область,2019,3.8
Калужская область,2019,3.7
Костромская область,2019,4.1
Курская область,2019,4.0
Липецкая область,2019,3.7
Московская область,2019,2.7
Орловская область,2019,5.3
Рязанская область,2019,3.9
Смоленская область,2019,5.2
Тамбовская область,2019,3.9
Тверская область,2019,4.0
Тульская область,2019,3.8
Ярославская область,2019,5.4
г. Москва,2019,1.4
Республика Карелия,2019,7.4
Республика Коми,2019,6.8
Архангельская область,2019,6.3
Вологодская область,2019,4.5
Калининградская область,2019,4.4
Ленинградская область,2019,3.9
Мурманская область,2019,5.4
Новгородская область,2019,3.6
Псковская область,2019,5.1
г. Санкт-Петербург,2019,1.4
Республика Адыгея,2019,8.2
Республика Калмыкия,2019,9.2
Краснодарский край,2019,4.8
Астраханская область,2019,7.6
Волгоградская область,2019,5.3
Ростовская область,2019,4.8
Республика Дагестан,2019,13.0
Республика Ингушетия,2019,26.4
Кабардино-Балкарская Республика,2019,10.7
Карачаево-Черкесская Республика,2019,11.7
Республика Северная Осетия - Алания,2019,12.1
Ставропольский край,2019,4.8
Республика Башкортостан,2019,4.4
Республика Марий Эл,2019,4.6
Республика Мордовия,2019,4.2
Республика Татарстан,2019,3.3
Удмуртская Республика,2019,4.3
Чувашская Республика,2019,4.7
Кировская область,2019,4.8
Нижегородская область,2019,4.1
Оренбургская область,2019,4.4
Пензенская область,2019,4.3
Самарская область,2019,3.9
Саратовская область,2019,4.3
Ульяновская область,2019,3.8
Курганская область,2019,7.8
Свердловская область,2019,4.2
Тюменская область,2019,3.0
Челябинская область,2019,5.1
Республика Алтай,2019,11.0
Республика Бурятия,2019,12.3
Республика Тыва,2019,6.0
Республика Хакасия,2019,5.8
Алтайский край,2019,4.5
Красноярский край,2019,6.6
Иркутская область,2019,5.5
Кемеровская область,2019,6.1
Новосибирская область,2019,6.4
Омская область,2019,5.5
Томская область,2019,9.2
Республика Саха (Якутия),2019,6.9
Приморский край,2019,5.2
Хабаровский край,2019,3.8
Амурская область,2019,5.4
Магаданская область,2019,4.6
Сахалинская область,2019,5.2
Еврейская автономная область,2019,6.2
Чукотский автономный округ,2019,3.8
Белгородская область,2020,4.9
Брянская область,2020,4.0
Владимирская область,2020,5.6
Воронежская область,2020,4.3
Ивановская область,2020,5.4
Калужская область,2020,4.7
Костромская область,2020,5.5
Курская область,2020,4.9
Липецкая область,2020,4.3
Московская область,2020,3.6
Орловская область,2020,6.1
Рязанская область,2020,5.4
Смоленская область,2020,5.3
Тамбовская область,2020,4.6
Тверская область,2020,4.4
Тульская область,2020,4.4
Ярославская область,2020,7.3
г. Москва,2020,2.6
Республика Карелия,2020,8.7
Республика Коми,2020,7.7
Архангельская область,2020,7.4
Вологодская область,2020,6.1
Калининградская область,2020,5.9
Ленинградская область,2020,5.3
Мурманская область,2020,7.7
Новгородская область,2020,5.8
Псковская область,2020,6.5
г. Санкт-Петербург,2020,2.9
Республика Адыгея,2020,8.5
Республика Калмыкия,2020,9.6
Краснодарский край,2020,5.7
Астраханская область,2020,7.9
Волгоградская область,2020,7.6
Ростовская область,2020,5.0
Республика Дагестан,2020,15.7
Республика Ингушетия,2020,29.8
Кабардино-Балкарская Республика,2020,14.8
Карачаево-Черкесская Республика,2020,14.7
Республика Северная Осетия - Алания,2020,15.4
Ставропольский край,2020,6.2
Республика Башкортостан,2020,5.9
Республика Марий Эл,2020,6.8
Республика Мордовия,2020,5.3
Республика Татарстан,2020,3.6
Удмуртская Республика,2020,6.3
Чувашская Республика,2020,6.1
Кировская область,2020,5.4
Нижегородская область,2020,4.6
Оренбургская область,2020,5.9
Пензенская область,2020,5.0
Самарская область,2020,4.4
Саратовская область,2020,5.6
Ульяновская область,2020,4.9
Курганская область,2020,8.2
Свердловская область,2020,5.8
Тюменская область,2020,3.6
Челябинская область,2020,6.8
Республика Алтай,2020,14.0
Республика Бурятия,2020,18.0
Республика Тыва,2020,8.7
Республика Хакасия,2020,5.9
Алтайский край,2020,6.0
Красноярский край,2020,7.7
Иркутская область,2020,6.7
Кемеровская область,2020,6.7
Новосибирская область,2020,8.9
Омская область,2020,8.6
Томская область,2020,10.5
Республика Саха (Якутия),2020,7.4
Приморский край,2020,5.5
Хабаровский край,2020,4.0
Амурская область,2020,6.0
Магаданская область,2020,5.6
Сахалинская область,2020,5.5
Еврейская автономная область,2020,6.3
Чукотский автономный округ,2020,4.4
Белгородская область,2021,4.2
Брянская область,2021,3.4
Владимирская область,2021,3.9
Воронежская область,2021,3.8
Ивановская область,2021,4.5
Калужская область,2021,4.0
Костромская область,2021,4.4
Курская область,2021,4.0
Липецкая область,2021,4.2
Московская область,2021,3.4
Орловская область,2021,4.7
Рязанская область,2021,4.0
Смоленская область,2021,5.0
Тамбовская область,2021,3.9
Тверская область,2021,3.9
Тульская область,2021,3.8
Ярославская область,2021,5.9
г. Москва,2021,2.6
Республика Карелия,2021,6.6
Республика Коми,2021,7.0
Архангельская область,2021,6.6
Вологодская область,2021,4.7
Калининградская область,2021,5.0
Ленинградская область,2021,3.7
Мурманская область,2021,5.8
Новгородская область,2021,4.1
Псковская область,2021,4.7
г. Санкт-Петербург,2021,2.0
Республика Адыгея,2021,8.3
Республика Калмыкия,2021,9.0
Краснодарский край,2021,5.0
Астраханская область,2021,7.7
Волгоградская область,2021,4.9
Ростовская область,2021,4.0
Республика Дагестан,2021,15.1
Республика Ингушетия,2021,30.9
Кабардино-Балкарская Республика,2021,11.7
Карачаево-Черкесская Республика,2021,12.3
Республика Северная Осетия - Алания,2021,13.4
Ставропольский край,2021,5.3
Республика Башкортостан,2021,4.3
Республика Марий Эл,2021,5.3
Республика Мордовия,2021,4.2
Республика Татарстан,2021,2.6
Удмуртская Республика,2021,4.5
Чувашская Республика,2021,4.8
Кировская область,2021,4.9
Нижегородская область,2021,4.2
Оренбургская область,2021,4.7
Пензенская область,2021,4.2
Самарская область,2021,3.5
Саратовская область,2021,4.5
Ульяновская область,2021,4.3
Курганская область,2021,7.6
Свердловская область,2021,4.1
Тюменская область,2021,3.2
Челябинская область,2021,4.9
Республика Алтай,2021,12.0
Республика Бурятия,2021,15.0
Республика Тыва,2021,6.4
Республика Хакасия,2021,5.5
Алтайский край,2021,3.6
Красноярский край,2021,6.0
Иркутская область,2021,5.4
Кемеровская область,2021,6.1
Новосибирская область,2021,6.5
Омская область,2021,6.8
Томская область,2021,9.5
Республика Саха (Якутия),2021,6.9
Приморский край,2021,4.2
Хабаровский край,2021,3.1
Амурская область,2021,5.2
Магаданская область,2021,4.9
Сахалинская область,2021,5.2
Еврейская автономная область,2021,5.6
Чукотский автономный округ,2021,2.6
Белгородская область,2022,3.7
Брянская область,2022,3.2
Владимирская область,2022,2.6
Воронежская область,2022,3.5
Ивановская область,2022,3.1
Калужская область,2022,3.9
Костромская область,2022,3.4
Курская область,2022,3.0
Липецкая область,2022,3.7
Московская область,2022,3.1
Орловская область,2022,4.0
Рязанская область,2022,2.9
Смоленская область,2022,3.5
Тамбовская область,2022,3.3
Тверская область,2022,3.8
Тульская область,2022,3.6
Ярославская область,2022,5.0
г. Москва,2022,2.2
Республика Карелия,2022,5.8
Республика Коми,2022,6.7
Архангельская область,2022,5.6
Вологодская область,2022,3.4
Калининградская область,2022,3.1
Ленинградская область,2022,3.3
Мурманская область,2022,4.8
Новгородская область,2022,3.1
Псковская область,2022,4.0
г. Санкт-Петербург,2022,1.8
Республика Адыгея,2022,7.1
Республика Калмыкия,2022,8.1
Краснодарский край,2022,3.5
Астраханская область,2022,7.0
Волгоградская область,2022,3.5
Ростовская область,2022,3.5
Республика Дагестан,2022,12.1
Республика Ингушетия,2022,28.5
Кабардино-Балкарская Республика,2022,10.0
Карачаево-Черкесская Республика,2022,9.8
Республика Северная Осетия - Алания,2022,11.9
Ставропольский край,2022,4.3
Республика Башкортостан,2022,3.4
Республика Марий Эл,2022,3.6
Республика Мордовия,2022,3.6
Республика Татарстан,2022,2.3
Удмуртская Республика,2022,2.9
Чувашская Республика,2022,3.2
Кировская область,2022,3.8
Нижегородская область,2022,4.1
Оренбургская область,2022,3.5
Пензенская область,2022,3.7
Самарская область,2022,2.7
Саратовская область,2022,3.4
Ульяновская область,2022,4.2
Курганская область,2022,6.5
Свердловская область,2022,3.5
Тюменская область,2022,2.7
Челябинская область,2022,3.1
Республика Алтай,2022,9.8
Республика Бурятия,2022,9.5
Республика Тыва,2022,3.3
Республика Хакасия,2022,3.7
Алтайский край,2022,2.7
Красноярский край,2022,5.0
Иркутская область,2022,4.1
Кемеровская область,2022,4.7
Новосибирская область,2022,5.3
Омская область,2022,5.2
Томская область,2022,7.4
Республика Саха (Якутия),2022,6.5
Приморский край,2022,3.4
Хабаровский край,2022,2.6
Амурская область,2022,4.2
Магаданская область,2022,4.1
Сахалинская область,2022,4.2
Еврейская автономная область,2022,5.2
Чукотский автономный округ,2022,1.9
Белгородская область,2023,3.6
Брянская область,2023,2.6
Владимирская область,2023,2.0
Воронежская область,2023,3.3
Ивановская область,2023,3.1
Калужская область,2023,2.4
Костромская область,2023,3.1
Курская область,2023,2.4
Липецкая область,2023,2.9
Московская область,2023,2.6
Орловская область,2023,3.3
Рязанская область,2023,2.9
Смоленская область,2023,3.0
Тамбовская область,2023,3.1
Тверская область,2023,3.2
Тульская область,2023,2.7
Ярославская область,2023,3.8
г. Москва,2023,1.8
Республика Карелия,2023,5.3
Республика Коми,2023,4.7
Архангельская область,2023,5.6
Вологодская область,2023,3.1
Калининградская область,2023,3.0
Ленинградская область,2023,2.8
Мурманская область,2023,3.4
Новгородская область,2023,2.3
Псковская область,2023,2.9
г. Санкт-Петербург,2023,1.6
Республика Адыгея,2023,4.0
Республика Калмыкия,2023,6.5
Краснодарский край,2023,2.0
Астраханская область,2023,4.4
Волгоградская область,2023,2.9
Ростовская область,2023,3.1
Республика Дагестан,2023,11.9
Республика Ингушетия,2023,27.8
Кабардино-Балкарская Республика,2023,9.1
Карачаево-Черкесская Республика,2023,7.3
Республика Северная Осетия - Алания,2023,10.1
Ставропольский край,2023,3.8
Республика Башкортостан,2023,2.3
Республика Марий Эл,2023,3.4
Республика Мордовия,2023,2.5
Республика Татарстан,2023,2.1
Удмуртская Республика,2023,2.5
Чувашская Республика,2023,2.4
Кировская область,2023,3.2
Нижегородская область,2023,1.9
Оренбургская область,2023,2.6
Пензенская область,2023,2.9
Самарская область,2023,2.0
Саратовская область,2023,2.7
Ульяновская область,2023,2.8
Курганская область,2023,4.7
Свердловская область,2023,2.4
Тюменская область,2023,2.3
Челябинская область,2023,2.4
Республика Алтай,2023,8.9
Республика Бурятия,2023,6.6
Республика Тыва,2023,2.1
Республика Хакасия,2023,3.4
Алтайский край,2023,2.0
Красноярский край,2023,3.7
Иркутская область,2023,3.4
Кемеровская область,2023,3.4
Новосибирская область,2023,3.6
Омская область,2023,4.0
Томская область,2023,5.8
Республика Саха (Якутия),2023,5.7
Приморский край,2023,2.6
Хабаровский край,2023,2.1
Амурская область,2023,2.4
Магаданская область,2023,3.4
Сахалинская область,2023,2.8
Еврейская автономная область,2023,3.7
Чукотский автономный округ,2023,1.7
