region,year,unemployment_rate
Красноярский край,2003,11.1
Иркутская область,2003,11.7
Кемеровская область,2003,9.8
Новосибирская область,2003,11.1
Омская область,2003,9.5
Томская область,2003,13.9
Республика Саха (Якутия),2003,9.3
Приморский край,2003,8.1
Хабаровский край,2003,6.2
Амурская область,2003,10.2
Магаданская область,2003,10.1
Сахалинская область,2003,9.3
Еврейская автономная область,2003,6.5
Чукотский автономный округ,2003,4.8
Белгородская область,2004,5.9
Брянская область,2004,8.8
Владимирская область,2004,9.1
Воронежская область,2004,8.6
Ивановская область,2004,4.6
Калужская область,2004,6.3
Костромская область,2004,5.9
Курская область,2004,7.5
Липецкая область,2004,4.2
Московская область,2004,3.7
Орловская область,2004,5.9
Рязанская область,2004,5.8
Смоленская область,2004,9.1
Тамбовская область,2004,9.7
Тверская область,2004,5.3
Тульская область,2004,4.6
Ярославская область,2004,4.7
г. Москва,2004,1.6
Республика Карелия,2004,7.3
Республика Коми,2004,12.4
Архангельская область,2004,7.2
Вологодская область,2004,6.3
Калининградская область,2004,6.5
Ленинградская область,2004,6.8
Мурманская область,2004,11.0
Новгородская область,2004,6.2
Псковская область,2004,5.6
г. Санкт-Петербург,2004,2.7
Республика Адыгея,2004,17.6
Республика Калмыкия,2004,21.7
Краснодарский край,2004,8.8
Астраханская область,2004,11.0
Волгоградская область,2004,9.4
Ростовская область,2004,8.6
Республика Дагестан,2004,27.2
Республика Ингушетия,2004,46.3
Кабардино-Балкарская Республика,2004,25.7
Карачаево-Черкесская Республика,2004,16.9
Республика Северная Осетия - Алания,2004,11.7
Ставропольский край,2004,9.6
Республика Башкортостан,2004,7.1
Республика Марий Эл,2004,9.1
Республика Мордовия,2004,6.0
Республика Татарстан,2004,7.4
Удмуртская Республика,2004,8.0
Чувашская Республика,2004,9.9
Кировская область,2004,8.7
Нижегородская область,2004,7.4
Оренбургская область,2004,10.8
Пензенская область,2004,6.9
Самарская область,2004,5.3
Саратовская область,2004,9.9
Ульяновская область,2004,9.5
Курганская область,2004,12.5
Свердловская область,2004,7.3
Тюменская область,2004,8.7
Челябинская область,2004,5.2
Республика Алтай,2004,9.6
Республика Бурятия,2004,15.3
Республика Тыва,2004,19.7
Республика Хакасия,2004,10.3
Алтайский край,2004,9.0
Красноярский край,2004,9.2
Иркутская область,2004,10.5
Кемеровская область,2004,9.8
Новосибирская область,2004,9.0
Омская область,2004,9.1
Томская область,2004,10.1
Республика Саха (Якутия),2004,8.8
Приморский край,2004,9.6
Хабаровский край,2004,6.6
Амурская область,2004,11.2
Магаданская область,2004,7.9
Сахалинская область,2004,7.5
Еврейская автономная область,2004,8.3
Чукотский автономный округ,2004,3.5
Белгородская область,2005,6.0
Брянская область,2005,6.7
Владимирская область,2005,9.0
Воронежская область,2005,7.5
Ивановская область,2005,6.8
Калужская область,2005,5.7
Костромская область,2005,4.8
Курская область,2005,7.1
Липецкая область,2005,8.0
Московская область,2005,3.3
Орловская область,2005,6.1
Рязанская область,2005,5.3
Смоленская область,2005,7.8
Тамбовская область,2005,8.5
Тверская область,2005,5.9
Тульская область,2005,5.0
Ярославская область,2005,4.0
г. Москва,2005,0.8
Республика Карелия,2005,8.8
Республика Коми,2005,11.5
Архангельская область,2005,5.5
Вологодская область,2005,5.2
Калининградская область,2005,6.6
Ленинградская область,2005,7.4
Мурманская область,2005,8.8
Новгородская область,2005,5.8
Псковская область,2005,6.6
г. Санкт-Петербург,2005,2.2
Республика Адыгея,2005,12.9
Республика Калмыкия,2005,18.0
Краснодарский край,2005,7.5
Астраханская область,2005,12.0
Волгоградская область,2005,6.8
Ростовская область,2005,8.6
Республика Дагестан,2005,22.3
Республика Ингушетия,2005,64.9
Кабардино-Балкарская Республика,2005,23.4
Карачаево-Черкесская Республика,2005,13.6
Республика Северная Осетия - Алания,2005,8.8
Ставропольский край,2005,7.0
Республика Башкортостан,2005,7.1
Республика Марий Эл,2005,9.9
Республика Мордовия,2005,7.0
Республика Татарстан,2005,6.7
Удмуртская Республика,2005,7.8
Чувашская Республика,2005,11.4
Кировская область,2005,7.1
Нижегородская область,2005,6.0
Оренбургская область,2005,9.4
Пензенская область,2005,6.5
Самарская область,2005,5.3
Саратовская область,2005,9.1
Ульяновская область,2005,7.7
Курганская область,2005,11.3
Свердловская область,2005,6.7
Тюменская область,2005,6.7
Челябинская область,2005,5.4
Республика Алтай,2005,10.0
Республика Бурятия,2005,12.0
Республика Тыва,2005,21.8
Республика Хакасия,2005,8.9
Алтайский край,2005,9.0
Красноярский край,2005,9.0
Иркутская область,2005,10.0
Кемеровская область,2005,8.6
Новосибирская область,2005,7.8
Омская область,2005,8.6
Томская область,2005,10.5
Республика Саха (Якутия),2005,8.9
Приморский край,2005,8.0
Хабаровский край,2005,5.7
Амурская область,2005,10.3
Магаданская область,2005,7.0
Сахалинская область,2005,7.6
Еврейская автономная область,2005,7.9
Чукотский автономный округ,2005,4.4
Белгородская область,2006,5.6
Брянская область,2006,6.8
Владимирская область,2006,10.9
Воронежская область,2006,5.5
Ивановская область,2006,4.2
Калужская область,2006,5.6
Костромская область,2006,5.0
Курская область,2006,7.3
Липецкая область,2006,4.9
Московская область,2006,3.0
Орловская область,2006,6.0
Рязанская область,2006,5.2
Смоленская область,2006,8.0
Тамбовская область,2006,8.7
Тверская область,2006,4.5
Тульская область,2006,2.7
Ярославская область,2006,3.0
г. Москва,2006,1.6
Республика Карелия,2006,3.6
Республика Коми,2006,12.4
Архангельская область,2006,5.9
Вологодская область,2006,5.3
Калининградская область,2006,4.5
Ленинградская область,2006,5.9
Мурманская область,2006,6.7
Новгородская область,2006,5.5
Псковская область,2006,7.4
г. Санкт-Петербург,2006,2.4
Республика Адыгея,2006,13.7
Республика Калмыкия,2006,16.7
Краснодарский край,2006,7.4
Астраханская область,2006,7.9
Волгоградская область,2006,8.6
Ростовская область,2006,8.0
Республика Дагестан,2006,22.3
Республика Ингушетия,2006,58.5
Кабардино-Балкарская Республика,2006,20.7
Карачаево-Черкесская Республика,2006,19.4
Республика Северная Осетия - Алания,2006,8.5
Ставропольский край,2006,8.9
Республика Башкортостан,2006,6.5
Республика Марий Эл,2006,10.2
Республика Мордовия,2006,4.7
Республика Татарстан,2006,5.6
Удмуртская Республика,2006,8.4
Чувашская Республика,2006,8.6
Кировская область,2006,7.9
Нижегородская область,2006,5.3
Оренбургская область,2006,6.5
Пензенская область,2006,6.5
Самарская область,2006,4.3
Саратовская область,2006,8.2
Ульяновская область,2006,6.9
Курганская область,2006,12.4
Свердловская область,2006,7.0
Тюменская область,2006,6.8
Челябинская область,2006,5.1
Республика Алтай,2006,11.6
Республика Бурятия,2006,13.5
Республика Тыва,2006,20.5
Республика Хакасия,2006,9.1
Алтайский край,2006,8.8
Красноярский край,2006,9.9
Иркутская область,2006,8.9
Кемеровская область,2006,7.3
Новосибирская область,2006,7.4
Омская область,2006,9.3
Томская область,2006,9.0
Республика Саха (Якутия),2006,9.5
Приморский край,2006,8.0
Хабаровский край,2006,6.0
Амурская область,2006,8.2
Магаданская область,2006,5.4
Сахалинская область,2006,4.6
Еврейская автономная область,2006,9.8
Чукотский автономный округ,2006,3.7
Белгородская область,2007,4.2
Брянская область,2007,6.5
Владимирская область,2007,6.9
Воронежская область,2007,5.2
Ивановская область,2007,4.5
Калужская область,2007,5.0
Костромская область,2007,3.3
Курская область,2007,4.9
Липецкая область,2007,2.8
Московская область,2007,2.0
Орловская область,2007,5.8
Рязанская область,2007,4.0
Смоленская область,2007,6.5
Тамбовская область,2007,8.8
Тверская область,2007,4.2
Тульская область,2007,2.6
Ярославская область,2007,3.4
г. Москва,2007,0.8
Республика Карелия,2007,6.2
Республика Коми,2007,10.0
Архангельская область,2007,5.6
Вологодская область,2007,4.1
Калининградская область,2007,3.4
Ленинградская область,2007,4.0
Мурманская область,2007,6.5
Новгородская область,2007,5.2
Псковская область,2007,4.9
г. Санкт-Петербург,2007,2.1
Республика Адыгея,2007,10.3
Республика Калмыкия,2007,14.4
Краснодарский край,2007,6.5
Астраханская область,2007,8.9
Волгоградская область,2007,6.4
Ростовская область,2007,6.8
Республика Дагестан,2007,20.2
Республика Ингушетия,2007,47.3
Кабардино-Балкарская Республика,2007,17.6
Карачаево-Черкесская Республика,2007,18.3
Республика Северная Осетия - Алания,2007,9.7
Ставропольский край,2007,6.4
Республика Башкортостан,2007,6.6
Республика Марий Эл,2007,9.0
Республика Мордовия,2007,3.6
Республика Татарстан,2007,5.6
Удмуртская Республика,2007,7.9
Чувашская Республика,2007,8.8
Кировская область,2007,5.9
Нижегородская область,2007,4.5
Оренбургская область,2007,7.2
Пензенская область,2007,5.2
Самарская область,2007,4.3
Саратовская область,2007,8.0
Ульяновская область,2007,4.7
Курганская область,2007,8.6
Свердловская область,2007,5.3
Тюменская область,2007,5.8
Челябинская область,2007,2.5
Республика Алтай,2007,8.8
Республика Бурятия,2007,12.9
Республика Тыва,2007,17.1
Республика Хакасия,2007,6.9
Алтайский край,2007,6.5
Красноярский край,2007,8.2
Иркутская область,2007,8.1
Кемеровская область,2007,6.3
Новосибирская область,2007,7.1
Омская область,2007,8.0
Томская область,2007,6.9
Республика Саха (Якутия),2007,7.6
Приморский край,2007,7.0
Хабаровский край,2007,5.9
Амурская область,2007,6.4
Магаданская область,2007,5.7
Сахалинская область,2007,4.7
Еврейская автономная область,2007,9.7
Чукотский автономный округ,2007,3.6
Белгородская область,2008,4.1
Брянская область,2008,6.5
Владимирская область,2008,5.6
Воронежская область,2008,5.3
Ивановская область,2008,5.1
Калужская область,2008,4.8
Костромская область,2008,5.1
Курская область,2008,6.4
Липецкая область,2008,4.9
Московская область,2008,2.8
Орловская область,2008,6.0
Рязанская область,2008,5.5
Смоленская область,2008,7.1
Тамбовская область,2008,9.2
Тверская область,2008,5.1
Тульская область,2008,3.5
Ярославская область,2008,6.0
г. Москва,2008,0.9
Республика Карелия,2008,8.4
Республика Коми,2008,7.3
Архангельская область,2008,7.0
Вологодская область,2008,5.9
Калининградская область,2008,8.7
Ленинградская область,2008,6.0
Мурманская область,2008,7.0
Новгородская область,2008,4.9
Псковская область,2008,6.8
г. Санкт-Петербург,2008,2.0
Республика Адыгея,2008,7.7
Республика Калмыкия,2008,16.0
Краснодарский край,2008,4.8
Астраханская область,2008,7.5
Волгоградская область,2008,8.1
Ростовская область,2008,6.6
Республика Дагестан,2008,13.4
Республика Ингушетия,2008,55.0
Кабардино-Балкарская Республика,2008,18.3
Карачаево-Черкесская Республика,2008,16.0
Республика Северная Осетия - Алания,2008,10.1
Ставропольский край,2008,7.8
Республика Башкортостан,2008,5.2
Республика Марий Эл,2008,9.2
Республика Мордовия,2008,2.4
Республика Татарстан,2008,4.9
Удмуртская Республика,2008,7.9
Чувашская Республика,2008,8.1
Кировская область,2008,7.3
Нижегородская область,2008,5.6
Оренбургская область,2008,7.1
Пензенская область,2008,7.8
Самарская область,2008,4.2
Саратовская область,2008,7.9
Ульяновская область,2008,7.3
Курганская область,2008,9.2
Свердловская область,2008,4.8
Тюменская область,2008,6.5
Челябинская область,2008,4.4
Республика Алтай,2008,12.6
Республика Бурятия,2008,11.6
Республика Тыва,2008,19.2
Республика Хакасия,2008,7.3
Алтайский край,2008,8.4
Красноярский край,2008,6.5
Иркутская область,2008,8.7
Кемеровская область,2008,6.7
Новосибирская область,2008,7.3
Омская область,2008,8.0
Томская область,2008,8.0
Республика Саха (Якутия),2008,9.0
Приморский край,2008,7.5
Хабаровский край,2008,8.7
Амурская область,2008,5.1
Магаданская область,2008,7.3
Сахалинская область,2008,8.1
Еврейская автономная область,2008,10.1
Чукотский автономный округ,2008,4.7
Белгородская область,2009,4.8
Брянская область,2009,10.7
Владимирская область,2009,8.8
Воронежская область,2009,8.6
Ивановская область,2009,10.8
Калужская область,2009,6.2
Костромская область,2009,8.3
Курская область,2009,8.8
Липецкая область,2009,5.6
Московская область,2009,4.9
Орловская область,2009,9.9
Рязанская область,2009,9.2
Смоленская область,2009,7.7
Тамбовская область,2009,9.1
Тверская область,2009,7.7
Тульская область,2009,6.1
Ярославская область,2009,8.0
г. Москва,2009,2.7
Республика Карелия,2009,10.0
Республика Коми,2009,11.8
Архангельская область,2009,7.2
Вологодская область,2009,7.9
Калининградская область,2009,10.9
Ленинградская область,2009,7.2
Мурманская область,2009,7.6
Новгородская область,2009,6.4
Псковская область,2009,11.0
г. Санкт-Петербург,2009,4.1
Республика Адыгея,2009,7.9
Республика Калмыкия,2009,16.6
Краснодарский край,2009,7.2
Астраханская область,2009,10.0
Волгоградская область,2009,10.4
Ростовская область,2009,8.4
Республика Дагестан,2009,13.2
Республика Ингушетия,2009,52.9
Кабардино-Балкарская Республика,2009,14.4
Карачаево-Черкесская Республика,2009,12.2
Республика Северная Осетия - Алания,2009,10.6
