region,year,opzh,vrp
Московская область,2002,64.89,312950.0
Орловская область,2002,65.5,35657.4
Рязанская область,2002,64.21,45797.5
Смоленская область,2002,61.96,42166.1
Тамбовская область,2002,65.34,38897.8
Тверская область,2002,61.52,55732.6
Тульская область,2002,62.94,65416.3
Ярославская область,2002,63.34,75313.4
г. Москва,2002,67.43,1767476.7
Республика Карелия,2002,62.2,41362.4
Республика Коми,2002,63.39,86019.4
Архангельская область,2002,63.26,83158.8
Вологодская область,2002,63.77,80731.9
Калининградская область,2002,62.29,40120.3
Ленинградская область,2002,61.82,94747.0
Мурманская область,2002,65.58,68445.4
Новгородская область,2002,61.86,31466.8
Псковская область,2002,61.09,24098.9
г. Санкт-Петербург,2002,66.41,336692.3
Республика Адыгея,2002,68.76,7909.9
Республика Калмыкия,2002,65.79,7272.3
Краснодарский край,2002,66.8,217727.6
Астраханская область,2002,65.16,40994.9
Волгоградская область,2002,66.19,104341.2
Ростовская область,2002,66.23,140773.3
Республика Дагестан,2002,71.43,41441.0
Республика Ингушетия,2002,74.82,3582.1
Кабардино-Балкарская Республика,2002,68.31,22774.5
Карачаево-Черкесская Республика,2002,69.21,10234.5
Республика Северная Осетия - Алания,2002,69.11,15997.5
Ставропольский край,2002,67.0,80534.5
Республика Башкортостан,2002,66.08,187842.2
Республика Марий Эл,2002,64.01,17815.3
Республика Мордовия,2002,66.72,27508.0
Республика Татарстан,2002,67.55,250596.0
Удмуртская Республика,2002,64.34,78346.3
Чувашская Республика,2002,66.05,37180.6
Кировская область,2002,64.38,49974.2
Нижегородская область,2002,64.45,170826.5
Оренбургская область,2002,65.1,94182.5
Пензенская область,2002,66.01,41623.4
Самарская область,2002,65.5,206320.2
Саратовская область,2002,65.8,97326.4
Ульяновская область,2002,65.29,45677.0
Курганская область,2002,64.47,29940.8
Свердловская область,2002,64.1,234866.4
Тюменская область,2002,66.87,898722.4
Челябинская область,2002,64.75,172446.4
Республика Алтай,2002,61.32,5310.6
Республика Тыва,2002,55.04,6847.4
Республика Хакасия,2002,62.41,25423.3
Алтайский край,2002,65.66,73107.4
Красноярский край,2002,63.37,230994.9
Иркутская область,2002,61.51,140195.9
Кемеровская область,2002,62.41,136156.7
Новосибирская область,2002,65.8,123084.5
Омская область,2002,66.09,92628.7
Томская область,2002,64.83,75547.0
Республика Бурятия,2002,62.13,37884.5
Республика Саха (Якутия),2002,64.81,115117.1
Приморский край,2002,64.07,96832.3
Хабаровский край,2002,62.6,101048.6
Амурская область,2002,62.2,45717.5
Магаданская область,2002,65.75,22374.8
Сахалинская область,2002,62.84,47139.8
Еврейская автономная область,2002,61.6,6838.5
Чукотский автономный округ,2002,65.43,10155.4
Белгородская область,2003,68.26,76054.5
Брянская область,2003,64.62,43700.3
Владимирская область,2003,63.18,61818.6
Воронежская область,2003,66.19,100143.3
Ивановская область,2003,62.42,33214.6
Калужская область,2003,64.56,48792.7
Костромская область,2003,62.39,29692.1
Курская область,2003,65.35,56383.1
Липецкая область,2003,65.85,96241.9
Московская область,2003,65.26,412089.3
Орловская область,2003,65.23,42073.3
Рязанская область,2003,63.91,59607.2
Смоленская область,2003,62.34,49085.7
Тамбовская область,2003,65.47,46877.7
Тверская область,2003,61.53,68805.3
Тульская область,2003,63.03,72258.0
Ярославская область,2003,63.46,92073.4
г. Москва,2003,69.64,2188231.5
Республика Карелия,2003,60.81,46588.9
Республика Коми,2003,61.67,107149.0
Архангельская область,2003,62.11,103951.3
Вологодская область,2003,62.47,107544.6
Калининградская область,2003,61.68,46757.7
Ленинградская область,2003,61.74,121222.3
Мурманская область,2003,63.2,80604.1
Новгородская область,2003,60.84,38081.7
Псковская область,2003,60.86,29488.4
г. Санкт-Петербург,2003,66.49,409638.5
Республика Адыгея,2003,67.51,9849.3
Республика Калмыкия,2003,66.18,6539.5
Краснодарский край,2003,67.33,248565.5
Астраханская область,2003,65.36,50659.8
Волгоградская область,2003,66.43,128622.2
Ростовская область,2003,66.47,171849.0
Республика Дагестан,2003,72.33,57626.7
Республика Ингушетия,2003,75.13,4756.6
Кабардино-Балкарская Республика,2003,68.7,25997.4
Карачаево-Черкесская Республика,2003,68.1,11481.1
Республика Северная Осетия - Алания,2003,68.47,18925.2
Ставропольский край,2003,67.14,101382.6
Республика Башкортостан,2003,66.39,242920.5
Республика Марий Эл,2003,63.99,22987.3
Республика Мордовия,2003,66.28,33244.0
Республика Татарстан,2003,67.84,305086.1
Удмуртская Республика,2003,64.34,89034.5
Чувашская Республика,2003,66.09,45133.1
Кировская область,2003,63.71,57795.8
Нижегородская область,2003,64.03,206926.0
Оренбургская область,2003,65.35,115824.6
Пензенская область,2003,65.67,48111.5
Самарская область,2003,65.59,256554.6
Саратовская область,2003,65.46,119909.0
Ульяновская область,2003,65.25,55184.3
Курганская область,2003,63.87,37046.2
Свердловская область,2003,63.97,284576.3
Тюменская область,2003,66.07,1117514.4
Челябинская область,2003,64.78,220185.2
Республика Алтай,2003,60.24,6903.9
Республика Тыва,2003,54.31,8121.2
Республика Хакасия,2003,60.75,28969.2
Алтайский край,2003,66.05,88733.3
Красноярский край,2003,63.03,272727.0
Иркутская область,2003,60.68,167927.1
Кемеровская область,2003,61.86,164903.1
Новосибирская область,2003,65.83,153798.9
Омская область,2003,66.01,115029.5
Томская область,2003,64.44,97084.3
Республика Бурятия,2003,61.25,52253.7
Республика Саха (Якутия),2003,63.96,132964.1
Приморский край,2003,63.07,119333.7
Хабаровский край,2003,61.85,116318.1
Амурская область,2003,61.26,53199.9
Магаданская область,2003,63.03,24325.9
Сахалинская область,2003,61.44,63139.2
Еврейская автономная область,2003,60.8,8564.6
Чукотский автономный округ,2003,59.1,13501.1
Белгородская область,2004,68.17,114409.3
Брянская область,2004,64.16,51003.4
Владимирская область,2004,62.85,74207.0
Воронежская область,2004,66.13,117197.6
Ивановская область,2004,62.37,40159.4
Калужская область,2004,64.46,57993.8
Костромская область,2004,62.64,37787.4
Курская область,2004,64.95,76506.1
Липецкая область,2004,65.69,141778.3
Московская область,2004,65.57,535204.4
Орловская область,2004,65.02,46042.3
Рязанская область,2004,64.14,69996.0
Смоленская область,2004,62.27,56113.9
Тамбовская область,2004,65.57,56775.0
Тверская область,2004,61.63,88081.5
Тульская область,2004,63.02,88119.6
Ярославская область,2004,63.77,112438.7
г. Москва,2004,70.77,2853272.4
Республика Карелия,2004,61.58,53964.1
Республика Коми,2004,62.21,131588.0
Архангельская область,2004,62.33,142564.7
Вологодская область,2004,62.78,161378.6
Калининградская область,2004,61.36,66552.1
Ленинградская область,2004,61.97,166445.0
Мурманская область,2004,63.59,124972.0
Новгородская область,2004,61.44,49242.3
