region,year,opzh,vrp,real_wage_index
Самарская область,2007,67.19,584968.6,113.4
Саратовская область,2007,68.01,252867.2,120.1
Ульяновская область,2007,66.97,124676.2,114.6
Курганская область,2007,66.66,81076.0,110.5
Свердловская область,2007,67.5,820792.5,119.1
Тюменская область,2007,68.57,2758813.1,111.0
Челябинская область,2007,67.14,575643.7,117.7
Республика Алтай,2007,64.33,15108.5,115.0
Республика Тыва,2007,59.16,19384.2,114.6
Республика Хакасия,2007,66.19,63722.0,109.6
Алтайский край,2007,67.22,223563.4,116.4
Красноярский край,2007,66.58,734154.8,115.8
Иркутская область,2007,64.9,402654.7,113.0
Кемеровская область,2007,64.01,437790.2,111.9
Новосибирская область,2007,67.43,365531.2,121.3
Омская область,2007,66.54,296004.7,114.9
Томская область,2007,67.68,214487.0,117.8
Республика Бурятия,2007,64.2,107442.0,117.2
Республика Саха (Якутия),2007,66.17,242656.5,109.6
Приморский край,2007,65.11,259041.4,112.6
Хабаровский край,2007,64.76,231293.2,114.1
Амурская область,2007,63.93,111761.2,113.0
Магаданская область,2007,63.57,35314.4,112.9
Сахалинская область,2007,64.48,286273.0,112.7
Еврейская автономная область,2007,61.94,23726.1,116.4
Чукотский автономный округ,2007,58.72,20984.1,109.6
Белгородская область,2008,70.49,317656.3,112.3
Брянская область,2008,66.49,125834.4,106.8
Владимирская область,2008,65.45,175395.7,108.5
Воронежская область,2008,67.82,287072.1,113.7
Ивановская область,2008,65.96,86980.3,107.9
Калужская область,2008,66.8,150394.4,111.1
Костромская область,2008,66.34,81040.7,110.4
Курская область,2008,66.85,167865.8,108.0
Липецкая область,2008,67.53,259532.2,105.0
Московская область,2008,67.3,1645753.0,115.8
Орловская область,2008,67.7,96669.9,113.3
Рязанская область,2008,66.43,150151.2,110.0
Смоленская область,2008,64.53,121601.3,108.0
Тамбовская область,2008,68.24,120836.0,113.4
Тверская область,2008,64.82,192283.0,111.9
Тульская область,2008,65.42,231730.8,108.2
Ярославская область,2008,67.6,214946.3,106.1
г. Москва,2008,72.84,8248652.0,115.6
Республика Карелия,2008,65.48,115208.2,111.3
Республика Коми,2008,66.2,291812.1,106.5
Архангельская область,2008,66.94,289755.9,110.4
Вологодская область,2008,66.91,294926.2,108.4
Калининградская область,2008,66.51,179266.7,105.1
Ленинградская область,2008,65.22,383255.4,115.4
Мурманская область,2008,66.7,213733.5,111.9
Новгородская область,2008,63.62,115141.3,108.8
Псковская область,2008,63.62,73283.2,111.1
г. Санкт-Петербург,2008,70.48,1431839.6,111.4
Республика Адыгея,2008,68.67,36134.4,107.8
Республика Калмыкия,2008,68.99,20789.7,109.0
Краснодарский край,2008,69.72,803834.1,112.9
Астраханская область,2008,67.97,147549.1,108.6
Волгоградская область,2008,68.99,416678.5,107.2
Ростовская область,2008,68.88,576125.7,111.3
Республика Дагестан,2008,74.37,216277.2,113.0
Республика Ингушетия,2008,80.1,19172.9,103.7
Кабардино-Балкарская Республика,2008,72.53,58093.4,108.0
Карачаево-Черкесская Республика,2008,71.55,35714.2,105.7
Республика Северная Осетия - Алания,2008,71.45,57707.4,104.4
Ставропольский край,2008,69.68,274992.0,110.5
Республика Башкортостан,2008,68.0,743133.4,111.4
Республика Марий Эл,2008,66.45,65765.3,108.1
Республика Мордовия,2008,68.74,94058.3,113.7
Республика Татарстан,2008,70.05,926056.7,115.1
Удмуртская Республика,2008,67.19,243135.5,107.1
Чувашская Республика,2008,67.84,155032.3,111.1
Кировская область,2008,66.94,151116.7,107.5
Нижегородская область,2008,66.1,588790.8,110.7
Оренбургская область,2008,66.76,430023.1,109.9
Пензенская область,2008,68.67,147853.2,117.5
Самарская область,2008,67.51,699295.6,108.2
Саратовская область,2008,68.39,321747.2,116.1
Ульяновская область,2008,67.89,150680.3,111.5
Курганская область,2008,66.67,106223.2,110.7
Свердловская область,2008,67.75,923550.8,108.2
Тюменская область,2008,68.89,3121401.3,106.7
Челябинская область,2008,67.23,664492.7,108.8
Республика Алтай,2008,65.15,18701.0,109.4
Республика Тыва,2008,60.48,23870.5,110.0
Республика Хакасия,2008,66.53,72308.8,113.2
Алтайский край,2008,67.52,259343.1,108.2
Красноярский край,2008,66.94,737950.5,109.0
Иркутская область,2008,65.01,438852.4,107.7
Кемеровская область,2008,64.64,575901.9,109.5
Новосибирская область,2008,68.0,453574.6,115.0
Омская область,2008,67.54,347760.3,107.9
Томская область,2008,67.66,248906.2,108.1
Республика Бурятия,2008,64.37,124738.5,110.8
Республика Саха (Якутия),2008,65.78,309518.3,111.5
Приморский край,2008,65.5,316581.9,112.4
Хабаровский край,2008,65.27,269178.6,105.6
Амурская область,2008,63.53,131563.7,108.6
Магаданская область,2008,63.7,42053.8,108.9
Сахалинская область,2008,64.39,333581.6,113.8
Еврейская автономная область,2008,62.66,23977.0,109.4
Чукотский автономный округ,2008,59.65,30558.7,114.4
Белгородская область,2009,71.07,304345.3,93.3
Брянская область,2009,67.86,126477.4,95.1
Владимирская область,2009,66.23,185824.6,96.6
Воронежская область,2009,68.94,301729.1,97.0
Ивановская область,2009,66.72,87061.9,99.4
Калужская область,2009,67.56,154946.1,96.0
Костромская область,2009,67.17,78920.7,96.7
Курская область,2009,68.06,161570.9,94.6
Липецкая область,2009,68.44,226662.0,91.7
Московская область,2009,68.21,1519446.3,96.5
Орловская область,2009,68.68,90623.6,94.8
Рязанская область,2009,67.69,153634.1,94.0
Смоленская область,2009,65.55,125348.9,95.2
Тамбовская область,2009,68.78,136323.9,100.1
Тверская область,2009,65.3,197687.0,97.4
Тульская область,2009,66.69,214925.4,97.6
Ярославская область,2009,68.59,212684.4,92.6
г. Москва,2009,73.61,7126972.4,97.7
Республика Карелия,2009,66.56,105924.1,96.8
Республика Коми,2009,66.54,302629.2,101.5
Архангельская область,2009,67.62,323606.8,99.6
Вологодская область,2009,67.27,213396.9,92.9
Калининградская область,2009,67.67,169519.6,92.8
Ленинградская область,2009,66.73,430395.5,92.0
Мурманская область,2009,67.19,202235.5,99.1
Новгородская область,2009,64.47,117710.0,96.8
Псковская область,2009,64.52,74647.8,100.3
г. Санкт-Петербург,2009,71.19,1475805.3,94.3
Республика Адыгея,2009,69.97,41511.5,102.6
Республика Калмыкия,2009,68.61,23948.1,107.4
Краснодарский край,2009,70.66,861603.3,101.5
Астраханская область,2009,68.31,134418.2,102.1
Волгоградская область,2009,69.49,377514.3,99.4
Ростовская область,2009,69.54,555917.1,98.7
Республика Дагестан,2009,73.98,257832.7,105.4
Республика Ингушетия,2009,78.31,18953.3,109.8
Кабардино-Балкарская Республика,2009,72.08,65660.1,104.9
Карачаево-Черкесская Республика,2009,71.54,38584.1,99.1
Республика Северная Осетия - Алания,2009,71.93,64081.4,105.7
Ставропольский край,2009,70.28,277251.0,101.4
Республика Башкортостан,2009,69.01,647911.7,96.2
Республика Марий Эл,2009,67.08,69271.5,97.1
Республика Мордовия,2009,69.06,90862.4,92.2
Республика Татарстан,2009,70.82,885064.0,92.8
Удмуртская Республика,2009,68.26,230938.3,96.0
Чувашская Республика,2009,68.98,139909.5,94.2
Кировская область,2009,67.92,146321.3,98.2
Нижегородская область,2009,67.06,547223.0,98.1
Оренбургская область,2009,67.86,413395.5,101.6
Пензенская область,2009,69.38,147185.1,99.9
Самарская область,2009,68.2,583999.9,91.6
Саратовская область,2009,69.1,326370.4,98.8
Ульяновская область,2009,68.75,154247.4,97.5
Курганская область,2009,67.38,107914.5,94.1
Свердловская область,2009,68.39,825267.4,88.4
Тюменская область,2009,69.49,2870284.0,92.6
Челябинская область,2009,68.26,556985.3,91.7
Республика Алтай,2009,65.82,19911.6,100.4
Республика Тыва,2009,60.04,26921.9,106.8
Республика Хакасия,2009,67.25,81019.9,98.9
Алтайский край,2009,68.52,265613.3,98.5
Красноярский край,2009,67.63,749194.8,96.9
Иркутская область,2009,65.45,458774.9,95.3
Кемеровская область,2009,65.37,512408.0,93.9
Новосибирская область,2009,68.94,425400.2,95.7
Омская область,2009,68.72,336259.6,98.8
Томская область,2009,68.06,245808.3,99.0
Республика Бурятия,2009,65.27,121187.7,100.0
Республика Саха (Якутия),2009,66.45,328201.7,99.6
Приморский край,2009,66.72,368996.7,100.7
Хабаровский край,2009,66.33,276895.4,95.6
Амурская область,2009,64.41,151118.6,101.1
Магаданская область,2009,64.06,47895.9,97.7
Сахалинская область,2009,64.83,392380.1,95.9
Еврейская автономная область,2009,63.34,25320.0,97.7
Чукотский автономный округ,2009,58.22,45067.6,94.2
Белгородская область,2010,71.31,398361.4,105.7
Брянская область,2010,67.92,147024.0,103.2
Владимирская область,2010,67.12,224759.2,103.6
Воронежская область,2010,69.45,346568.2,105.6
Ивановская область,2010,67.09,109884.5,106.0
Калужская область,2010,68.1,188601.3,107.8
Костромская область,2010,67.5,98130.7,100.9
Курская область,2010,68.53,193648.6,104.8
Липецкая область,2010,68.59,248544.9,104.7
Московская область,2010,69.13,1832867.3,101.8
Орловская область,2010,68.4,106196.7,104.0
Рязанская область,2010,67.81,179127.9,106.7
Смоленская область,2010,66.59,154681.1,102.5
Тамбовская область,2010,69.22,143902.4,102.9
Тверская область,2010,65.9,219004.9,106.8
Тульская область,2010,67.11,237629.2,101.1
Ярославская область,2010,68.39,239644.0,103.6
г. Москва,2010,74.15,8375863.8,106.9
Республика Карелия,2010,66.42,120511.3,101.6
Республика Коми,2010,66.87,353853.0,104.0
Архангельская область,2010,67.89,372804.8,101.6
Вологодская область,2010,67.08,262432.7,105.6
Калининградская область,2010,68.75,195749.1,109.3
Ленинградская область,2010,68.09,490303.7,104.1
Мурманская область,2010,68.43,233438.9,101.6
Новгородская область,2010,65.04,127407.8,105.9
Псковская область,2010,64.59,87066.0,107.5
г. Санкт-Петербург,2010,72.06,1699486.4,106.6
Республика Адыгея,2010,69.95,47194.5,103.3
Республика Калмыкия,2010,69.35,24404.1,98.4
Краснодарский край,2010,70.95,1028308.4,101.9
Астраханская область,2010,69.08,144888.8,101.9
Волгоградская область,2010,69.66,433473.7,104.5
Ростовская область,2010,69.72,659667.4,102.4
Республика Дагестан,2010,73.87,274354.2,101.5
Республика Ингушетия,2010,74.71,19929.1,107.8
Кабардино-Балкарская Республика,2010,72.11,77086.4,99.6
Карачаево-Черкесская Республика,2010,72.44,43651.5,99.7
Республика Северная Осетия - Алания,2010,72.65,75327.4,102.0
Ставропольский край,2010,71.01,330790.8,102.7
Республика Башкортостан,2010,68.89,759203.3,101.8
Республика Марий Эл,2010,67.34,82374.4,103.0
Республика Мордовия,2010,69.25,105343.8,101.4
Республика Татарстан,2010,70.42,1001622.8,107.1
Удмуртская Республика,2010,68.1,274578.1,100.7
Чувашская Республика,2010,68.54,157704.6,105.3
Кировская область,2010,68.24,172352.0,102.7
Нижегородская область,2010,67.01,652805.9,103.6
Оренбургская область,2010,67.95,458145.4,105.5
Пензенская область,2010,69.28,172166.7,103.3
Самарская область,2010,68.13,695651.2,104.3
Саратовская область,2010,68.89,376169.4,104.3
Ульяновская область,2010,68.54,178235.4,105.9
Курганская область,2010,67.66,117879.5,102.8
Свердловская область,2010,68.81,1046600.1,105.9
Тюменская область,2010,69.46,3301573.3,102.1
Челябинская область,2010,68.41,652865.5,107.9
Республика Алтай,2010,65.68,22393.7,102.2
Республика Тыва,2010,60.45,30772.8,101.8
Республика Хакасия,2010,67.1,96039.8,105.4
Алтайский край,2010,68.36,302900.7,104.2
Красноярский край,2010,67.57,1055525.0,107.7
Иркутская область,2010,65.26,546141.0,104.9
Кемеровская область,2010,65.42,625914.9,106.1
Новосибирская область,2010,69.28,484141.3,103.8
Омская область,2010,68.78,382620.4,107.2
Томская область,2010,68.83,284676.7,104.2
Республика Бурятия,2010,66.05,133525.6,104.6
Республика Саха (Якутия),2010,66.75,386825.1,102.1
Приморский край,2010,66.63,470679.2,109.3
Хабаровский край,2010,65.68,353590.3,103.1
Амурская область,2010,64.36,178689.6,103.8
Магаданская область,2010,65.07,59619.7,104.9
Сахалинская область,2010,64.9,487659.5,100.0
Еврейская автономная область,2010,63.67,31555.9,107.9
Чукотский автономный округ,2010,57.49,38978.1,104.7
Белгородская область,2011,71.71,507839.8,102.4
Брянская область,2011,68.83,174211.8,103.4
Владимирская область,2011,68.08,261222.6,103.2
Воронежская область,2011,70.41,474973.9,103.6
Ивановская область,2011,68.56,128905.4,99.3
Калужская область,2011,69.49,234749.0,104.1
Костромская область,2011,68.45,116629.8,100.8
Курская область,2011,69.27,228851.4,107.1
Липецкая область,2011,69.87,287816.8,102.7
Московская область,2011,70.36,2176795.3,104.4
Орловская область,2011,69.48,131198.2,101.3
Рязанская область,2011,69.34,214142.6,99.9
Смоленская область,2011,68.12,180811.5,101.8
Тамбовская область,2011,70.18,173283.1,105.3
Тверская область,2011,67.02,255073.0,101.6
Тульская область,2011,68.63,279879.3,101.3
Ярославская область,2011,69.95,286967.5,102.8
г. Москва,2011,75.79,9948772.8,107.9
Республика Карелия,2011,67.95,154953.7,101.9
Республика Коми,2011,67.95,435959.3,101.7
Архангельская область,2011,68.75,439116.8,103.0
Вологодская область,2011,68.36,323067.9,99.8
Калининградская область,2011,69.9,241004.8,100.1
Ленинградская область,2011,69.44,581712.0,102.7
Мурманская область,2011,68.93,263811.7,102.3
Новгородская область,2011,66.46,153419.7,103.4
Псковская область,2011,66.47,100498.5,100.1
г. Санкт-Петербург,2011,73.06,2091914.3,100.2
Республика Адыгея,2011,70.99,56803.3,102.6
Республика Калмыкия,2011,70.8,29318.7,97.5
Краснодарский край,2011,71.15,1244652.8,103.4
Астраханская область,2011,69.84,172616.6,102.6
Волгоградская область,2011,70.5,508433.3,100.3
Ростовская область,2011,70.28,765967.2,102.5
Республика Дагестан,2011,74.26,330322.8,98.4
Республика Ингушетия,2011,76.29,26858.9,106.9
Кабардино-Балкарская Республика,2011,72.44,90594.5,101.1
Карачаево-Черкесская Республика,2011,72.85,49252.1,99.8
Республика Северная Осетия - Алания,2011,72.59,85876.7,103.7
Ставропольский край,2011,71.57,396791.6,103.5
Республика Башкортостан,2011,69.04,941023.6,103.0
Республика Марий Эл,2011,68.31,97323.3,100.8
Республика Мордовия,2011,70.11,119955.2,103.3
Республика Татарстан,2011,71.3,1305947.0,106.7
Удмуртская Республика,2011,68.88,335984.0,101.2
Чувашская Республика,2011,69.66,188785.7,105.2
Кировская область,2011,69.32,195269.5,99.7
Нижегородская область,2011,68.48,770774.0,103.5
Оренбургская область,2011,68.31,553320.9,103.0
Пензенская область,2011,70.23,213401.2,104.2
Самарская область,2011,69.02,834149.3,104.4
Саратовская область,2011,69.86,431028.0,102.9
Ульяновская область,2011,69.5,223672.7,102.4
Курганская область,2011,68.36,136325.1,102.1
Свердловская область,2011,69.29,1291019.1,102.8
Тюменская область,2011,70.45,4112596.0,103.3
Челябинская область,2011,68.79,774401.0,104.1
Республика Алтай,2011,65.4,26380.8,101.4
Республика Тыва,2011,61.39,33398.9,100.0
Республика Хакасия,2011,67.75,113088.1,103.4
Алтайский край,2011,68.97,332117.8,106.3
Красноярский край,2011,68.27,1170827.3,102.6
Иркутская область,2011,65.93,634561.4,101.3
Кемеровская область,2011,66.18,751198.4,105.1
Новосибирская область,2011,69.68,598563.5,103.7
Омская область,2011,69.5,451418.8,106.2
Томская область,2011,69.53,333885.7,103.5
Республика Бурятия,2011,66.09,153624.1,101.3
Республика Саха (Якутия),2011,67.67,486830.9,110.7
Приморский край,2011,67.17,549722.8,104.2
Хабаровский край,2011,66.0,399594.2,106.4
Амурская область,2011,64.82,225401.7,104.6
Магаданская область,2011,65.99,72174.2,104.0
Сахалинская область,2011,65.68,600247.9,100.4
Еврейская автономная область,2011,63.35,39467.0,105.5
Чукотский автономный округ,2011,61.58,44757.6,110.8
Белгородская область,2012,71.91,545517.2,109.1
Брянская область,2012,69.06,207397.5,113.0
Владимирская область,2012,68.6,286018.6,107.1
Воронежская область,2012,70.84,563965.4,117.1
Ивановская область,2012,69.3,136115.0,111.9
Калужская область,2012,69.39,285256.6,111.6
Костромская область,2012,69.5,130840.4,108.0
Курская область,2012,69.66,248213.1,108.9
Липецкая область,2012,70.03,293301.3,109.1
Московская область,2012,70.4,2357081.9,108.3
Орловская область,2012,69.51,146103.2,110.9
Рязанская область,2012,69.86,253881.6,108.7
Смоленская область,2012,68.49,201817.0,105.8
Тамбовская область,2012,70.67,203331.5,112.5
Тверская область,2012,67.86,268063.9,108.4
Тульская область,2012,68.86,311240.3,110.6
Ярославская область,2012,69.87,327279.6,107.0
г. Москва,2012,75.74,10666870.5,106.4
Республика Карелия,2012,68.0,160841.5,106.9
Республика Коми,2012,68.33,479051.3,112.5
Архангельская область,2012,69.65,472470.9,110.9
Вологодская область,2012,69.21,355291.3,106.9
Калининградская область,2012,70.12,265361.2,103.2
Ленинградская область,2012,69.77,672066.9,107.4
Мурманская область,2012,69.81,283846.2,107.4
Новгородская область,2012,67.55,170605.7,109.1
Псковская область,2012,66.53,107547.5,110.2
г. Санкт-Петербург,2012,73.43,2280426.0,106.3
Республика Адыгея,2012,71.68,65300.4,111.2
Республика Калмыкия,2012,71.22,35897.8,112.8
Краснодарский край,2012,71.74,1459490.8,110.5
Астраханская область,2012,70.36,209654.4,109.5
Волгоградская область,2012,70.99,571516.1,109.7
Ростовская область,2012,71.02,843560.3,107.4
Республика Дагестан,2012,74.9,374710.3,115.0
Республика Ингушетия,2012,77.8,37413.9,122.4
Кабардино-Балкарская Республика,2012,73.27,106711.2,117.8
Карачаево-Черкесская Республика,2012,73.38,58712.1,119.8
Республика Северная Осетия - Алания,2012,73.41,97448.8,113.1
Ставропольский край,2012,72.15,431753.4,114.0
Республика Башкортостан,2012,69.32,1149384.6,105.2
Республика Марий Эл,2012,69.04,117201.1,109.2
Республика Мордовия,2012,70.72,134315.6,109.0
Республика Татарстан,2012,71.8,1437001.0,111.1
Удмуртская Республика,2012,69.73,372782.7,108.9
Чувашская Республика,2012,70.31,217821.1,110.8
Кировская область,2012,69.79,208505.4,110.2
Нижегородская область,2012,68.98,842195.5,107.4
Оренбургская область,2012,68.64,628563.6,108.2
Пензенская область,2012,70.87,239962.5,112.0
Самарская область,2012,69.65,937434.5,107.5
Саратовская область,2012,70.27,478275.8,111.3
Ульяновская область,2012,70.62,240556.1,108.4
Курганская область,2012,68.35,146045.5,109.5
Свердловская область,2012,69.5,1484879.0,107.6
Тюменская область,2012,70.8,4625467.5,107.7
Челябинская область,2012,68.97,841972.2999999999,106.7
Республика Алтай,2012,66.8,30444.6,110.8
Республика Тыва,2012,61.09,37369.1,109.9
Республика Хакасия,2012,67.64,130638.5,107.6
Алтайский край,2012,69.11,368995.2,110.5
Красноярский край,2012,68.42,1183228.0,106.1
Иркутская область,2012,66.32,737971.6,108.4
Кемеровская область,2012,66.76,718320.4,108.1
Новосибирская область,2012,69.72,728154.0,109.4
Омская область,2012,69.25,491507.6,109.7
Томская область,2012,70.07,371472.9,105.3
Республика Бурятия,2012,66.79,164737.8,110.0
Республика Саха (Якутия),2012,67.93,541306.8,111.9
Приморский край,2012,67.79,557489.3,106.4
Хабаровский край,2012,67.13,437994.3,113.1
Амурская область,2012,65.12,229407.1,104.7
Магаданская область,2012,66.15,78417.9,110.4
Сахалинская область,2012,66.63,641886.4,108.9
Еврейская автономная область,2012,64.14,42743.6,102.8
Чукотский автономный округ,2012,60.79,45633.9,108.1
Белгородская область,2013,72.16,569006.4,103.6
Брянская область,2013,69.75,219502.8,106.6
Владимирская область,2013,69.13,306641.4,106.3
Воронежская область,2013,70.89,611720.4,104.2
Ивановская область,2013,69.84,158228.7,104.0
Калужская область,2013,70.02,292841.0,100.9
Костромская область,2013,69.86,139015.9,105.5
Курская область,2013,70.14,271542.5,107.6
Липецкая область,2013,70.66,315685.4,102.3
Московская область,2013,70.78,2545951.5,103.4
Орловская область,2013,70.22,164797.0,106.6
Рязанская область,2013,70.74,279286.5,106.0
Смоленская область,2013,68.9,225887.1,107.0
Тамбовская область,2013,70.93,236335.9,105.0
Тверская область,2013,68.13,298669.2,103.5
Тульская область,2013,69.41,348034.8,106.9
Ярославская область,2013,70.45,362861.8,104.7
г. Москва,2013,76.37,11814897.4,106.5
Республика Карелия,2013,69.19,178636.2,103.9
Республика Коми,2013,69.27,482329.9,103.8
Архангельская область,2013,70.16,500095.1,107.0
Вологодская область,2013,69.35,346227.6,104.4
Калининградская область,2013,70.51,275885.8,109.0
Ленинградская область,2013,70.36,678718.3,105.1
Мурманская область,2013,70.46,306578.7,104.6
Новгородская область,2013,67.67,178818.1,103.2
Псковская область,2013,67.82,114676.2,100.6
г. Санкт-Петербург,2013,74.22,2491423.3,104.8
Республика Адыгея,2013,71.8,70862.3,107.8
Республика Калмыкия,2013,71.35,41165.9,107.1
Краснодарский край,2013,72.29,1662969.1,105.1
Астраханская область,2013,71.34,273917.1,109.6
Волгоградская область,2013,71.42,607472.2,106.6
Ростовская область,2013,71.39,917689.1,106.5
Республика Дагестан,2013,75.63,452882.2,116.4
Республика Ингушетия,2013,78.84,45766.7,106.2
Кабардино-Балкарская Республика,2013,73.71,110971.5,105.5
Карачаево-Черкесская Республика,2013,73.94,66106.6,107.4
Республика Северная Осетия - Алания,2013,73.94,118637.5,110.3
Ставропольский край,2013,72.45,480905.3,105.2
Республика Башкортостан,2013,69.63,1163219.0,103.4
Республика Марий Эл,2013,69.3,125950.2,107.7
Республика Мордовия,2013,70.56,148705.7,112.3
Республика Татарстан,2013,72.12,1551472.1,104.9
Удмуртская Республика,2013,69.92,405126.4,107.6
Чувашская Республика,2013,70.79,223147.9,105.6
Кировская область,2013,70.26,224152.3,105.9
Нижегородская область,2013,69.42,925182.0,105.2
Оренбургская область,2013,68.9,717014.7999999999,105.3
Пензенская область,2013,71.54,270436.8,101.5
Самарская область,2013,69.4,1048545.8,106.3
Саратовская область,2013,70.67,526178.9,103.3
Ульяновская область,2013,70.5,265288.7,105.1
Курганская область,2013,68.27,167037.9,105.9
Свердловская область,2013,69.81,1568655.2,102.1
Тюменская область,2013,71.35,4950207.4,101.8
Челябинская область,2013,69.52,882339.6,107.9
Республика Алтай,2013,67.34,33313.5,106.4
Республика Тыва,2013,61.79,41298.7,105.2
Республика Хакасия,2013,68.57,141850.5,104.9
Алтайский край,2013,69.77,416110.3,104.9
Красноярский край,2013,69.06,1256934.1,104.0
Иркутская область,2013,66.72,805197.5,105.3
Кемеровская область,2013,67.72,667950.5,100.5
Новосибирская область,2013,70.19,817516.7,103.8
Омская область,2013,69.74,551734.0,105.7
Томская область,2013,70.33,402562.1,103.8
Республика Бурятия,2013,67.67,176888.9,104.9
Республика Саха (Якутия),2013,69.13,570284.7000000001,110.0
Приморский край,2013,68.19,577473.9,102.8
Хабаровский край,2013,67.92,498067.2,103.3
Амурская область,2013,66.38,210700.9,105.8
Магаданская область,2013,67.12,88905.9,105.1
Сахалинская область,2013,67.7,671743.6,103.9
Еврейская автономная область,2013,64.94,38428.7,101.2
Чукотский автономный округ,2013,62.11,44466.9,106.5
Белгородская область,2014,72.25,619677.7,100.086945586177
Брянская область,2014,69.42,242722.4,100.88676917906164
Владимирская область,2014,69.25,328064.2,98.38940924739056
Воронежская область,2014,70.82,717667.2,100.98275265410534
Ивановская область,2014,69.88,151876.8,99.60675743619444
Калужская область,2014,69.93,326459.5,100.3854987233703
Костромская область,2014,70.05,146731.5,101.04475052013812
Курская область,2014,70.11,298287.3,100.52031392869594
Липецкая область,2014,70.6,398464.5,100.1237031750346
Московская область,2014,70.94,2742886.1,99.3
Орловская область,2014,69.88,178822.5,99.77353152052716
Рязанская область,2014,70.8,295611.7,101.42172074221769
Смоленская область,2014,69.44,234710.1,99.80741009115856
Тамбовская область,2014,71.11,285656.5,99.9
Тверская область,2014,68.43,316613.2,97.46708505173216
Тульская область,2014,69.63,411122.3,103.63908458884848
Ярославская область,2014,70.64,391462.8,101.27146616436062
г. Москва,2014,76.7,12779525.7,102.20930178287418
Республика Карелия,2014,69.36,191192.1,99.38760942649058
Республика Коми,2014,69.05,484166.5,98.9
Архангельская область,2014,70.23,542695.3,100.9492412787044
Вологодская область,2014,69.74,387211.7,98.25122985294696
Калининградская область,2014,70.28,314088.3,97.37961220169647
Ленинградская область,2014,70.28,703325.6,100.4646012310448
Мурманская область,2014,69.97,328291.8,100.3
Новгородская область,2014,68.41,209304.4,99.7
Псковская область,2014,68.07,123825.6,98.16116801957004
г. Санкт-Петербург,2014,74.57,2661210.0,101.9
Республика Адыгея,2014,72.01,75622.5,100.79632222637588
Республика Калмыкия,2014,72.03,46680.6,103.96642696638298
Краснодарский край,2014,72.28,1784833.5,98.1
Астраханская область,2014,70.76,296319.3,100.682649338064
Волгоградская область,2014,71.62,715409.6,101.0689220626674
Ростовская область,2014,71.3,1007758.8,100.6
Республика Дагестан,2014,75.83,528131.3,102.457781638669
Республика Ингушетия,2014,79.42,51908.2,99.17035000690056
Кабардино-Балкарская Республика,2014,74.16,116886.0,102.21303620929623
Карачаево-Черкесская Республика,2014,73.91,65326.6,103.10732238899531
Республика Северная Осетия - Алания,2014,73.82,125960.5,101.9
Ставропольский край,2014,72.75,540796.8,102.4
Республика Башкортостан,2014,69.76,1260010.4,103.95478567554306
Республика Марий Эл,2014,69.42,143396.1,103.12467825483203
Республика Мордовия,2014,71.38,173872.7,104.2
Республика Татарстан,2014,72.17,1661413.8,101.3
Удмуртская Республика,2014,70.03,450548.9,104.2231620418256
Чувашская Республика,2014,70.62,237447.2,99.95481662676814
Кировская область,2014,70.59,254089.4,100.9
Нижегородская область,2014,69.53,1009460.1,99.8
Оренбургская область,2014,68.73,731277.7,101.30301122283612
Пензенская область,2014,71.63,295238.7,100.9
Самарская область,2014,69.63,1149147.8,102.36260517338486
Саратовская область,2014,70.95,566646.1,99.10003374947723
Ульяновская область,2014,70.37,278808.2,102.6
Курганская область,2014,68.75,170310.3,101.11551252373796
Свердловская область,2014,69.76,1659783.9,99.01205760860728
Тюменская область,2014,71.5,5295348.5,100.29096913279044
Челябинская область,2014,69.71,993900.6,100.7
Республика Алтай,2014,67.76,39191.9,101.4636957526627
Республика Тыва,2014,61.79,45947.9,103.84168048312432
Республика Хакасия,2014,68.83,158372.8,104.21593199994462
Алтайский край,2014,70.01,446023.8,99.9286539405896
Красноярский край,2014,69.23,1410719.9,101.9522331325947
Иркутская область,2014,66.87,916317.5,101.31856394613354
Кемеровская область,2014,67.8,752024.0,98.07805283313871
Новосибирская область,2014,70.28,911219.0,99.81695944938774
Омская область,2014,70.13,602605.1,98.1034456940056
Томская область,2014,70.67,430266.8,99.9
Республика Бурятия,2014,68.54,186492.9,98.58667389652194
Республика Саха (Якутия),2014,69.81,658140.4,102.3
Приморский край,2014,68.74,642423.0,100.83479870932206
Хабаровский край,2014,68.01,539338.4,100.6
Амурская область,2014,67.0,232053.0,98.48988260195696
Магаданская область,2014,67.19,96936.8,103.09609523804689
Сахалинская область,2014,67.89,799165.4,104.8
Еврейская автономная область,2014,65.2,41948.1,99.58958832616118
Чукотский автономный округ,2014,62.32,57751.3,106.7
Белгородская область,2015,72.61,693379.4,93.22115732697593
Брянская область,2015,70.36,271782.5,88.96653921225351
Владимирская область,2015,69.82,368489.2,91.02875102641195
Воронежская область,2015,71.67,805969.6,89.09724106029937
Ивановская область,2015,70.62,180517.5,87.9
Калужская область,2015,70.73,339760.8,90.31731480856048
Костромская область,2015,70.38,160579.8,90.1
Курская область,2015,70.8,336999.4,89.8
Липецкая область,2015,71.07,448994.3,92.07195947984098
Московская область,2015,72.26,3180924.6,91.13456736115508
Орловская область,2015,70.38,208237.9,89.29126003058452
Рязанская область,2015,71.46,323131.8,90.03780428810498
Смоленская область,2015,69.74,256706.8,90.8
Тамбовская область,2015,71.67,317213.7,90.86989608642658
Тверская область,2015,69.1,329616.0,89.33430840674079
