region,year,opzh,vrp,real_wage_index
Республика Алтай,2001,62.37,4499.4,124.2
Республика Тыва,2001,56.48,5197.2,125.9
Республика Хакасия,2001,63.57,20041.0,113.4
Алтайский край,2001,66.3,61854.4,110.3
Красноярский край,2001,63.34,239420.0,110.5
Иркутская область,2001,61.82,120240.0,112.9
Кемеровская область,2001,62.77,113800.2,112.6
Новосибирская область,2001,66.26,95298.9,121.1
Омская область,2001,66.65,61535.7,130.7
Томская область,2001,65.49,57041.1,125.7
Республика Бурятия,2001,62.47,30075.1,115.3
Республика Саха (Якутия),2001,64.37,100922.4,114.9
Приморский край,2001,64.37,72826.1,114.5
Хабаровский край,2001,63.02,79891.5,114.8
Амурская область,2001,62.43,39052.8,118.5
Магаданская область,2001,65.06,17151.6,110.9
Сахалинская область,2001,62.73,47140.1,112.2
Еврейская автономная область,2001,62.27,4788.9,117.7
Чукотский автономный округ,2001,62.54,6944.6,132.7
Белгородская область,2002,67.53,62404.4,119.2
Брянская область,2002,64.07,37374.1,123.9
Владимирская область,2002,62.79,50359.9,119.8
Воронежская область,2002,66.07,83001.1,117.0
Ивановская область,2002,62.12,26981.3,126.2
Калужская область,2002,64.26,37283.1,117.2
Костромская область,2002,62.88,25952.9,118.6
Курская область,2002,65.34,45309.4,120.2
Липецкая область,2002,66.34,70590.5,113.0
Московская область,2002,64.89,312950.0,117.8
Орловская область,2002,65.5,35657.4,117.7
Рязанская область,2002,64.21,45797.5,123.4
Смоленская область,2002,61.96,42166.1,121.1
Тамбовская область,2002,65.34,38897.8,127.6
Тверская область,2002,61.52,55732.6,122.1
Тульская область,2002,62.94,65416.3,117.6
Ярославская область,2002,63.34,75313.4,117.7
г. Москва,2002,67.43,1767476.7,108.8
Республика Карелия,2002,62.2,41362.4,119.2
Республика Коми,2002,63.39,86019.4,109.1
Архангельская область,2002,63.26,83158.8,114.5
Вологодская область,2002,63.77,80731.9,111.8
Калининградская область,2002,62.29,40120.3,125.0
Ленинградская область,2002,61.82,94747.0,120.1
Мурманская область,2002,65.58,68445.4,110.9
Новгородская область,2002,61.86,31466.8,120.2
Псковская область,2002,61.09,24098.9,122.6
г. Санкт-Петербург,2002,66.41,336692.3,127.2
Республика Адыгея,2002,68.76,7909.9,123.3
Республика Калмыкия,2002,65.79,7272.3,122.6
Краснодарский край,2002,66.8,217727.6,115.9
Астраханская область,2002,65.16,40994.9,113.8
Волгоградская область,2002,66.19,104341.2,110.2
Ростовская область,2002,66.23,140773.3,119.9
Республика Дагестан,2002,71.43,41441.0,136.6
Республика Ингушетия,2002,74.82,3582.1,127.5
Кабардино-Балкарская Республика,2002,68.31,22774.5,120.8
Карачаево-Черкесская Республика,2002,69.21,10234.5,125.8
Республика Северная Осетия - Алания,2002,69.11,15997.5,127.3
Ставропольский край,2002,67.0,80534.5,116.2
Республика Башкортостан,2002,66.08,187842.2,114.5
Республика Марий Эл,2002,64.01,17815.3,126.2
Республика Мордовия,2002,66.72,27508.0,126.0
Республика Татарстан,2002,67.55,250596.0,109.1
Удмуртская Республика,2002,64.34,78346.3,112.6
Чувашская Республика,2002,66.05,37180.6,120.5
Кировская область,2002,64.38,49974.2,120.9
Нижегородская область,2002,64.45,170826.5,116.3
Оренбургская область,2002,65.1,94182.5,112.6
Пензенская область,2002,66.01,41623.4,125.8
Самарская область,2002,65.5,206320.2,114.5
Саратовская область,2002,65.8,97326.4,121.2
Ульяновская область,2002,65.29,45677.0,119.8
Курганская область,2002,64.47,29940.8,116.3
Свердловская область,2002,64.1,234866.4,119.2
Тюменская область,2002,66.87,898722.4,102.4
Челябинская область,2002,64.75,172446.4,113.7
Республика Алтай,2002,61.32,5310.6,141.7
Республика Тыва,2002,55.04,6847.4,142.8
Республика Хакасия,2002,62.41,25423.3,116.5
Алтайский край,2002,65.66,73107.4,120.2
Красноярский край,2002,63.37,230994.9,106.0
Иркутская область,2002,61.51,140195.9,120.0
Кемеровская область,2002,62.41,136156.7,111.1
Новосибирская область,2002,65.8,123084.5,122.1
Омская область,2002,66.09,92628.7,133.1
Томская область,2002,64.83,75547.0,110.6
Республика Бурятия,2002,62.13,37884.5,128.5
Республика Саха (Якутия),2002,64.81,115117.1,119.0
Приморский край,2002,64.07,96832.3,119.1
Хабаровский край,2002,62.6,101048.6,116.9
Амурская область,2002,62.2,45717.5,126.8
Магаданская область,2002,65.75,22374.8,116.1
Сахалинская область,2002,62.84,47139.8,119.6
Еврейская автономная область,2002,61.6,6838.5,126.7
Чукотский автономный округ,2002,65.43,10155.4,127.7
Белгородская область,2003,68.26,76054.5,114.6
Брянская область,2003,64.62,43700.3,110.6
Владимирская область,2003,63.18,61818.6,109.7
Воронежская область,2003,66.19,100143.3,121.8
Ивановская область,2003,62.42,33214.6,109.0
Калужская область,2003,64.56,48792.7,112.2
Костромская область,2003,62.39,29692.1,110.8
Курская область,2003,65.35,56383.1,119.8
Липецкая область,2003,65.85,96241.9,113.3
Московская область,2003,65.26,412089.3,110.5
Орловская область,2003,65.23,42073.3,103.1
Рязанская область,2003,63.91,59607.2,113.7
Смоленская область,2003,62.34,49085.7,109.1
Тамбовская область,2003,65.47,46877.7,115.0
Тверская область,2003,61.53,68805.3,112.6
Тульская область,2003,63.03,72258.0,109.3
Ярославская область,2003,63.46,92073.4,112.4
г. Москва,2003,69.64,2188231.5,119.3
Республика Карелия,2003,60.81,46588.9,106.7
Республика Коми,2003,61.67,107149.0,104.5
Архангельская область,2003,62.11,103951.3,110.8
Вологодская область,2003,62.47,107544.6,108.3
Калининградская область,2003,61.68,46757.7,111.9
Ленинградская область,2003,61.74,121222.3,106.0
Мурманская область,2003,63.2,80604.1,101.5
Новгородская область,2003,60.84,38081.7,111.8
Псковская область,2003,60.86,29488.4,114.8
г. Санкт-Петербург,2003,66.49,409638.5,104.8
Республика Адыгея,2003,67.51,9849.3,110.1
Республика Калмыкия,2003,66.18,6539.5,102.2
Краснодарский край,2003,67.33,248565.5,105.7
Астраханская область,2003,65.36,50659.8,109.5
Волгоградская область,2003,66.43,128622.2,113.7
Ростовская область,2003,66.47,171849.0,109.6
Республика Дагестан,2003,72.33,57626.7,117.3
Республика Ингушетия,2003,75.13,4756.6,111.8
Кабардино-Балкарская Республика,2003,68.7,25997.4,111.3
