,region,year,opzh,vrp,real_wage_index,unemployment_rate,living_wage,capture_mass_level,emissions_mass_level,hospital_beds,doctors,lag_opzh
1386,Тюменская область,2003,66.07,1117514.4,107.6,8.3,2127.0,37.0,3421.0,103.4,47.3,65.38375
1470,Челябинская область,2003,64.78,220185.2,113.0,5.9,2046.0,3782.0,910.0,119.1,40.0,64.0325
819,Республика Алтай,2003,60.24,6903.9,109.3,10.2,2103.0,3.0,11.0,122.3,37.8,65.94714285714285
1092,Республика Тыва,2003,54.31,8121.2,112.3,20.7,2336.0,44.0,30.0,158.0,40.4,0.0
1113,Республика Хакасия,2003,60.75,28969.2,110.4,10.5,2169.0,183.0,93.0,115.0,37.5,63.614
0,Алтайский край,2003,66.05,88733.3,108.0,12.1,1823.0,820.0,248.0,111.1,44.1,64.80799999999999
441,Красноярский край,2003,63.03,272727.0,99.6,11.1,2579.0,9201.0,2480.0,116.0,48.7,64.46
252,Иркутская область,2003,60.68,167927.1,106.5,11.7,2428.0,2886.0,520.0,124.8,48.0,65.50800000000001
357,Кемеровская область,2003,61.86,164903.1,109.6,9.8,2157.0,4256.0,1208.0,97.0,46.3,65.87666666666667
651,Новосибирская область,2003,65.83,153798.9,109.5,11.1,2317.0,893.0,206.0,122.8,57.1,65.668
672,Омская область,2003,66.01,115029.5,112.7,9.5,2012.0,1863.0,237.0,115.6,54.6,65.75200000000001
1344,Томская область,2003,64.44,97084.3,110.2,13.9,2481.0,281.0,336.0,120.4,68.6,63.6725
861,Республика Бурятия,2003,61.25,52253.7,111.4,16.9,2371.0,474.0,86.0,103.9,38.4,64.22
1029,Республика Саха (Якутия),2003,63.96,132964.1,106.0,9.3,3677.0,374.0,134.0,149.6,49.1,65.36999999999999
756,Приморский край,2003,63.07,119333.7,112.5,8.1,2924.0,2824.0,303.0,103.2,54.0,65.016
1449,Хабаровский край,2003,61.85,116318.1,113.0,6.2,3092.0,1014.0,158.0,106.7,58.3,63.822500000000005
21,Амурская область,2003,61.26,53199.9,110.7,10.2,2636.0,255.0,90.0,142.2,59.2,64.99600000000001
546,Магаданская область,2003,63.03,24325.9,115.0,10.1,3562.0,61.0,34.0,178.0,54.7,63.265
1218,Сахалинская область,2003,61.44,63139.2,116.4,9.3,3887.0,377.0,87.0,145.1,43.8,63.69499999999999
210,Еврейская автономная область,2003,60.8,8564.6,110.6,6.5,2593.0,138.0,30.0,140.3,35.0,66.49
1512,Чукотский автономный округ,2003,59.1,13501.1,109.2,4.8,5744.0,38.0,38.0,239.9,73.2,63.2
85,Белгородская область,2004,68.17,114409.3,106.1,5.9,2019.0,865.0,99.0,117.7,39.2,67.95333333333333
106,Брянская область,2004,64.16,51003.4,112.2,8.8,2000.0,735.0,53.0,127.0,37.1,64.56666666666666
127,Владимирская область,2004,62.85,74207.0,104.2,9.1,2177.0,9.0,29.0,110.8,34.4,64.3775
190,Воронежская область,2004,66.13,117197.6,109.5,8.6,2109.0,60.0,53.0,108.0,52.3,64.575
232,Ивановская область,2004,62.37,40159.4,110.4,4.6,2365.0,30.0,42.0,139.7,51.7,63.77
316,Калужская область,2004,64.46,57993.8,111.5,6.3,2307.0,107.0,12.0,116.9,39.3,65.805
400,Костромская область,2004,62.64,37787.4,107.1,5.9,2212.0,86.0,48.0,155.9,36.5,65.37800000000001
484,Курская область,2004,64.95,76506.1,111.4,7.5,2334.0,29.0,27.0,114.6,48.4,64.29
526,Липецкая область,2004,65.69,141778.3,111.0,4.2,1963.0,1221.0,387.0,134.8,40.1,63.4725
568,Московская область,2004,65.57,535204.4,109.7,3.7,2817.0,1047.0,163.0,105.7,35.4,62.442857142857136
715,Орловская область,2004,65.02,46042.3,110.6,5.9,1980.0,5.0,13.0,119.3,37.8,63.56
1156,Рязанская область,2004,64.14,69996.0,110.4,5.8,2192.0,269.0,119.0,130.4,53.5,63.4075
1261,Смоленская область,2004,62.27,56113.9,106.7,9.1,2165.0,138.0,30.0,132.5,62.1,64.305
1303,Тамбовская область,2004,65.57,56775.0,110.7,9.7,2016.0,11.0,26.0,127.7,34.2,64.35
1324,Тверская область,2004,61.63,88081.5,112.7,5.3,2361.0,19.0,46.0,128.3,51.4,0.0
1366,Тульская область,2004,63.02,88119.6,108.5,4.6,2108.0,876.0,143.0,139.1,33.7,67.136
1534,Ярославская область,2004,63.77,112438.7,111.6,4.7,2255.0,69.0,94.0,130.7,57.0,63.82999999999999
1555,г. Москва,2004,70.77,2853272.4,112.1,1.6,3703.0,79.0,91.0,98.0,73.2,65.58333333333334
946,Республика Карелия,2004,61.58,53964.1,109.6,7.3,2784.0,149.0,136.0,125.1,50.3,64.06
967,Республика Коми,2004,62.21,131588.0,106.0,12.4,3229.0,371.0,660.0,118.0,44.5,64.03800000000001
43,Архангельская область,2004,62.33,142564.7,112.9,7.2,2866.0,959.0,336.0,123.7,52.7,65.05000000000001
169,Вологодская область,2004,62.78,161378.6,114.2,6.3,2354.0,1465.0,464.0,118.6,34.2,65.59333333333333
295,Калининградская область,2004,61.36,66552.1,104.9,6.5,2703.0,6.0,33.0,109.1,36.1,63.303333333333335
505,Ленинградская область,2004,61.97,166445.0,108.4,6.8,2524.0,871.0,177.0,92.2,30.5,65.308
589,Мурманская область,2004,63.59,124972.0,104.8,11.0,3798.0,1865.0,316.0,115.5,49.9,65.30199999999999
631,Новгородская область,2004,61.44,49242.3,111.1,6.2,2401.0,89.0,53.0,124.7,38.8,65.55666666666666
778,Псковская область,2004,60.63,35816.0,108.1,5.6,2060.0,7.0,16.0,128.5,34.4,63.70666666666666
1576,г. Санкт-Петербург,2004,67.34,542359.2,110.8,2.7,2919.0,68.0,57.0,97.5,78.8,63.32375
799,Республика Адыгея,2004,67.76,12493.2,113.4,17.6,2074.0,8.0,3.0,110.6,37.3,66.31
925,Республика Калмыкия,2004,67.29,8518.5,109.7,21.7,2079.0,0.5,3.0,134.7,50.4,63.32875000000001
421,Краснодарский край,2004,67.52,313623.6,115.3,8.8,2278.0,494.0,119.0,98.4,42.3,65.2625
64,Астраханская область,2004,65.31,56710.9,111.7,11.0,2147.0,17.0,123.0,124.3,66.0,67.865
148,Волгоградская область,2004,66.94,154337.7,110.9,9.4,1978.0,327.0,224.0,119.9,48.0,65.41666666666666
1135,Ростовская область,2004,66.74,221167.4,112.5,8.6,2180.0,615.0,132.0,100.7,36.8,63.968
883,Республика Дагестан,2004,72.7,80712.4,114.2,27.2,1897.0,4.0,33.0,68.8,37.8,63.308
904,Республика Ингушетия,2004,75.92,6210.4,104.2,46.3,2193.0,0.2,1.0,45.8,25.4,63.632000000000005
274,Кабардино-Балкарская Республика,2004,69.8,29052.9,110.9,25.7,1823.0,1.0,2.0,103.1,42.2,62.96
337,Карачаево-Черкесская Республика,2004,69.54,13127.2,109.2,16.9,1973.0,262.0,14.0,97.5,32.8,64.7175
1051,Республика Северная Осетия - Алания,2004,68.42,24268.0,110.3,11.7,1841.0,207.0,10.0,114.5,67.8,62.33
1282,Ставропольский край,2004,67.78,122235.4,112.6,9.6,2244.0,103.0,77.0,87.4,43.2,67.04
841,Республика Башкортостан,2004,66.26,310845.1,107.3,7.1,2001.0,566.0,410.0,103.9,41.8,63.60999999999999
988,Республика Марий Эл,2004,63.38,30085.6,108.9,9.1,2001.0,5.0,25.0,125.1,35.1,63.80500000000001
1009,Республика Мордовия,2004,66.58,38334.9,109.2,6.0,2190.0,451.0,43.0,133.4,51.1,63.895
1072,Республика Татарстан,2004,67.65,391116.0,108.4,7.4,2012.0,231.0,240.0,109.0,44.9,65.69
1408,Удмуртская Республика,2004,64.2,100833.1,106.3,8.0,2178.0,36.0,130.0,130.7,56.4,65.134
1492,Чувашская Республика,2004,66.31,59573.8,112.7,9.9,2007.0,27.0,42.0,116.4,47.1,64.9725
379,Кировская область,2004,63.93,70706.2,111.5,8.7,2275.0,115.0,97.0,165.6,46.6,62.26666666666666
610,Нижегородская область,2004,63.75,241230.4,111.0,7.4,2355.0,227.0,161.0,116.3,44.6,63.7025
694,Оренбургская область,2004,65.37,169876.7,110.8,10.8,2059.0,774.0,905.0,130.9,50.3,66.872
736,Пензенская область,2004,65.72,59711.7,99.4,6.9,2123.0,40.0,33.0,103.9,38.2,62.54
1177,Самарская область,2004,65.69,327118.5,108.3,5.3,2630.0,499.0,354.0,86.7,48.6,65.60333333333332
1198,Саратовская область,2004,65.63,151636.9,112.4,9.9,2325.0,365.0,276.0,106.7,50.7,63.57749999999999
1429,Ульяновская область,2004,65.34,67501.0,105.2,9.5,2276.0,210.0,41.0,97.2,35.7,64.018
463,Курганская область,2004,63.88,42470.6,112.1,12.5,2313.0,15.0,48.0,122.2,27.6,66.6675
1240,Свердловская область,2004,64.42,364368.8,112.9,7.3,2432.0,7467.0,1240.0,109.9,41.9,64.128
1387,Тюменская область,2004,66.63,1536733.7,107.1,8.7,2428.0,42.0,4129.0,104.7,47.7,65.80875
1471,Челябинская область,2004,64.64,291179.9,110.8,5.2,2303.0,4353.0,945.0,120.9,40.4,64.4275
820,Республика Алтай,2004,61.13,8516.7,106.0,9.6,2458.0,3.0,14.0,124.3,38.3,66.12142857142857
1093,Республика Тыва,2004,56.49,9838.5,103.4,19.7,2659.0,57.0,25.0,179.8,43.2,0.0
1114,Республика Хакасия,2004,62.37,33102.9,107.9,10.3,2464.0,165.0,89.0,110.7,37.5,63.818000000000005
1,Алтайский край,2004,65.53,114840.5,113.6,9.0,2095.0,769.0,237.0,115.8,44.7,65.31800000000001
442,Красноярский край,2004,63.59,365454.1,107.5,9.2,2865.0,9129.0,2550.0,117.0,49.3,64.65142857142857
253,Иркутская область,2004,60.82,213244.2,107.9,10.5,2706.0,2674.0,490.0,126.6,47.6,66.138
358,Кемеровская область,2004,62.23,244462.0,116.0,9.8,2376.0,4289.0,1167.0,104.0,47.0,66.185
652,Новосибирская область,2004,65.58,191826.7,115.5,9.0,2573.0,868.0,201.0,120.6,57.1,66.232
673,Омская область,2004,65.65,192877.3,112.8,9.1,2153.0,1716.0,219.0,120.0,54.7,66.226
1345,Томская область,2004,65.36,132439.3,106.5,10.1,2774.0,300.0,296.0,124.7,65.9,64.0625
862,Республика Бурятия,2004,61.13,63918.5,106.0,15.3,2974.0,524.0,84.0,108.7,38.2,64.49
1030,Республика Саха (Якутия),2004,64.21,153496.7,105.8,8.8,4153.0,421.0,154.0,146.4,49.3,65.5
757,Приморский край,2004,62.96,152301.1,110.2,9.6,3259.0,2485.0,256.0,97.3,53.2,65.066
1450,Хабаровский край,2004,62.18,133330.5,106.6,6.6,3662.0,996.0,156.0,109.4,59.2,64.1825
22,Амурская область,2004,60.31,64250.2,108.2,11.2,3091.0,252.0,105.0,142.9,60.1,65.25
547,Магаданская область,2004,62.44,24612.3,107.0,7.9,4008.0,57.0,32.0,180.3,56.5,63.175
1219,Сахалинская область,2004,61.49,91729.6,113.8,7.5,4435.0,397.0,86.0,146.4,45.2,64.04166666666667
211,Еврейская автономная область,2004,59.4,11230.9,105.7,8.3,2940.0,114.0,30.0,149.1,35.7,67.34
1513,Чукотский автономный округ,2004,57.45,12357.8,95.0,3.5,6382.0,32.0,38.0,243.2,77.8,63.59
86,Белгородская область,2005,68.42,144987.8,111.5,6.0,2369.0,911.0,102.0,111.5,39.6,67.97
107,Брянская область,2005,63.41,66692.3,110.9,6.7,2342.0,737.0,49.0,127.4,36.4,64.47333333333333
128,Владимирская область,2005,63.28,86926.8,112.3,9.0,2595.0,9.0,29.0,104.2,33.7,64.6625
191,Воронежская область,2005,66.24,133586.6,109.6,7.5,2485.0,42.0,52.0,107.1,53.1,64.66499999999999
233,Ивановская область,2005,62.11,44415.4,113.2,6.8,2599.0,30.0,40.0,125.7,51.0,63.82000000000001
317,Калужская область,2005,64.26,70953.9,110.1,5.7,2668.0,106.0,12.0,115.2,38.8,65.70500000000001
401,Костромская область,2005,62.66,44684.7,113.5,4.8,2579.0,173.0,52.0,158.0,36.7,65.22
485,Курская область,2005,64.99,86624.9,100.4,7.1,2535.0,26.0,27.0,114.2,50.0,64.24600000000001
527,Липецкая область,2005,66.02,145194.4,112.3,8.0,2369.0,1291.0,378.0,132.2,39.8,63.43125
