,region,year,opzh,vrp,real_wage_index,unemployment_rate,living_wage,capture_mass_level,emissions_mass_level,hospital_beds,doctors,lag_opzh
1055,Республика Северная Осетия - Алания,2008,71.45,57707.4,104.4,10.1,3570.0,221.0,5.0,97.5,69.5,66.94
1286,Ставропольский край,2008,69.68,274992.0,110.5,7.8,4331.0,83.0,77.0,81.0,43.7,69.4725
845,Республика Башкортостан,2008,68.0,743133.4,111.4,5.2,3974.0,500.0,417.0,89.2,41.6,66.688
992,Республика Марий Эл,2008,66.45,65765.3,108.1,9.2,3933.0,6.0,39.0,114.2,34.1,66.21000000000001
1013,Республика Мордовия,2008,68.74,94058.3,113.7,2.4,3867.0,537.0,44.0,107.2,51.0,67.065
1076,Республика Татарстан,2008,70.05,926056.7,115.1,4.9,3846.0,381.0,274.0,80.8,43.0,67.51
1412,Удмуртская Республика,2008,67.19,243135.5,107.1,7.9,4065.0,30.0,119.0,117.3,58.4,67.62
1496,Чувашская Республика,2008,67.84,155032.3,111.1,8.1,3981.0,19.0,37.0,91.6,48.6,67.0875
383,Кировская область,2008,66.94,151116.7,107.5,7.3,4344.0,84.0,84.0,129.0,47.8,65.82
614,Нижегородская область,2008,66.1,588790.8,110.7,5.6,4713.0,246.0,166.0,107.2,46.8,66.5975
698,Оренбургская область,2008,66.76,430023.1,109.9,7.1,4033.0,914.0,738.0,106.9,51.2,69.458
740,Пензенская область,2008,68.67,147853.2,117.5,7.8,4072.0,34.0,29.0,95.4,38.2,65.125
1181,Самарская область,2008,67.51,699295.6,108.2,4.2,4984.0,294.0,305.0,84.5,47.7,68.41
1202,Саратовская область,2008,68.39,321747.2,116.1,7.9,4203.0,408.0,157.0,96.5,52.4,66.17125
1433,Ульяновская область,2008,67.89,150680.3,111.5,7.3,4074.0,185.0,37.0,97.0,36.2,66.848
467,Курганская область,2008,66.67,106223.2,110.7,9.2,4249.0,153.0,58.0,96.5,29.4,69.33
1244,Свердловская область,2008,67.75,923550.8,108.2,4.8,4714.0,10597.0,1289.0,108.5,44.6,67.044
1391,Тюменская область,2008,68.89,3121401.3,106.7,6.5,4717.0,36.0,3494.0,88.8,50.9,68.60499999999999
1475,Челябинская область,2008,67.23,664492.7,108.8,4.4,4320.0,2656.0,958.0,99.0,40.9,67.05
824,Республика Алтай,2008,65.15,18701.0,109.4,12.6,5512.0,5.0,11.0,98.6,41.8,68.73571428571428
1097,Республика Тыва,2008,60.48,23870.5,110.0,19.2,4581.0,29.0,22.0,153.3,45.0,0.0
1118,Республика Хакасия,2008,66.53,72308.8,113.2,7.3,4448.0,197.0,99.0,87.6,39.4,66.876
5,Алтайский край,2008,67.52,259343.1,108.2,8.4,4510.0,746.0,212.0,115.0,47.5,67.778
446,Красноярский край,2008,66.94,737950.5,109.0,6.5,5232.0,9388.0,2458.0,101.0,51.8,67.71
257,Иркутская область,2008,65.01,438852.4,107.7,8.7,4743.0,3260.0,632.0,110.9,49.7,69.012
362,Кемеровская область,2008,64.64,575901.9,109.5,6.7,4099.0,5040.0,1503.0,93.1,48.1,68.53166666666665
656,Новосибирская область,2008,68.0,453574.6,115.0,7.3,4927.0,1048.0,232.0,110.8,57.8,68.87400000000001
677,Омская область,2008,67.54,347760.3,107.9,8.0,4528.0,1920.0,236.0,112.5,57.8,68.55600000000001
1349,Томская область,2008,67.66,248906.2,108.1,8.0,4812.0,261.0,322.0,112.7,66.8,67.5075
866,Республика Бурятия,2008,64.37,124738.5,110.8,11.6,4647.0,1091.0,98.0,101.1,39.9,67.28999999999999
1034,Республика Саха (Якутия),2008,65.78,309518.3,111.5,9.0,7516.0,360.0,183.0,121.2,54.1,68.52666666666667
761,Приморский край,2008,65.5,316581.9,112.4,7.5,6071.0,2552.0,242.0,91.6,52.4,67.80199999999999
1454,Хабаровский край,2008,65.27,269178.6,105.6,8.7,6902.0,545.0,115.0,98.5,59.2,67.47999999999999
26,Амурская область,2008,63.53,131563.7,108.6,5.1,5688.0,251.0,109.0,114.7,61.0,67.20400000000001
551,Магаданская область,2008,63.7,42053.8,108.9,7.3,7506.0,45.0,24.0,153.8,55.7,66.145
1223,Сахалинская область,2008,64.39,333581.6,113.8,8.1,7531.0,410.0,87.0,143.1,48.7,66.93666666666667
215,Еврейская автономная область,2008,62.66,23977.0,109.4,10.1,5386.0,71.0,21.0,141.9,36.7,70.48
1517,Чукотский автономный округ,2008,59.65,30558.7,114.4,4.7,9856.0,33.0,25.0,226.3,76.7,66.7
90,Белгородская область,2009,71.07,304345.3,93.3,4.8,4172.0,647.0,126.0,81.9,40.6,70.73333333333333
111,Брянская область,2009,67.86,126477.4,95.1,10.7,4311.0,345.0,33.0,96.1,36.9,68.25999999999999
132,Владимирская область,2009,66.23,185824.6,96.6,8.8,4973.0,13.0,31.0,77.5,33.4,67.97500000000001
195,Воронежская область,2009,68.94,301729.1,97.0,8.6,4924.0,53.0,75.0,90.2,52.4,68.16
237,Ивановская область,2009,66.72,87061.9,99.4,10.8,4642.0,67.0,39.0,103.9,51.0,67.47
321,Калужская область,2009,67.56,154946.1,96.0,6.2,4583.0,131.0,12.0,100.5,40.1,68.98
405,Костромская область,2009,67.17,78920.7,96.7,8.3,4789.0,53.0,55.0,110.5,36.1,68.362
489,Курская область,2009,68.06,161570.9,94.6,8.8,4493.0,28.0,37.0,94.8,54.6,67.924
531,Липецкая область,2009,68.44,226662.0,91.7,5.6,4563.0,1012.0,346.0,103.5,41.6,67.04500000000002
573,Московская область,2009,68.21,1519446.3,96.5,4.9,5850.0,940.0,194.0,87.9,36.0,66.52
720,Орловская область,2009,68.68,90623.6,94.8,9.9,4145.0,6.0,22.0,102.7,40.2,67.28999999999999
1161,Рязанская область,2009,67.69,153634.1,94.0,9.2,4868.0,305.0,132.0,106.7,55.0,66.7875
1266,Смоленская область,2009,65.55,125348.9,95.2,7.7,4977.0,84.0,43.0,112.1,58.5,68.12
1308,Тамбовская область,2009,68.78,136323.9,100.1,9.1,3805.0,10.0,86.0,100.2,34.6,68.13999999999999
1329,Тверская область,2009,65.3,197687.0,97.4,7.7,4968.0,29.0,54.0,102.7,51.5,0.0
1371,Тульская область,2009,66.69,214925.4,97.6,6.1,4752.0,441.0,156.0,109.6,33.9,69.994
1539,Ярославская область,2009,68.59,212684.4,92.6,8.0,5113.0,52.0,78.0,114.8,61.6,68.00999999999999
1560,г. Москва,2009,73.61,7126972.4,97.7,2.7,7406.0,86.0,60.0,94.3,75.9,68.87499999999999
951,Республика Карелия,2009,66.56,105924.1,96.8,10.0,5990.0,104.0,106.0,106.8,51.8,67.39625000000001
972,Республика Коми,2009,66.54,302629.2,101.5,11.8,6798.0,268.0,598.0,115.8,48.5,67.226
48,Архангельская область,2009,67.62,323606.8,99.6,7.2,6210.0,608.0,426.0,103.8,55.1,69.135
174,Вологодская область,2009,67.27,213396.9,92.9,7.9,5270.0,1578.0,412.0,97.2,35.6,68.93499999999999
300,Калининградская область,2009,67.67,169519.6,92.8,10.9,5209.0,6.0,30.0,79.8,34.7,67.21333333333334
510,Ленинградская область,2009,66.73,430395.5,92.0,7.2,4843.0,689.0,215.0,74.7,34.8,68.188
594,Мурманская область,2009,67.19,202235.5,99.1,7.6,7579.0,1622.0,281.0,133.3,57.2,67.568
636,Новгородская область,2009,64.47,117710.0,96.8,6.4,4924.0,90.0,38.0,98.9,41.3,68.76333333333332
783,Псковская область,2009,64.52,74647.8,100.3,11.0,4603.0,9.0,21.0,101.7,33.5,66.72
1581,г. Санкт-Петербург,2009,71.19,1475805.3,94.3,4.1,5232.0,47.0,51.0,91.8,83.2,66.76625
804,Республика Адыгея,2009,69.97,41511.5,102.6,7.9,4393.0,4.0,3.0,97.4,38.1,68.98
930,Республика Калмыкия,2009,68.61,23948.1,107.4,16.6,4311.0,0.2,2.0,100.3,49.2,67.09750000000001
426,Краснодарский край,2009,70.66,861603.3,101.5,7.2,5253.0,735.0,150.0,83.8,42.9,68.135
69,Астраханская область,2009,68.31,134418.2,102.1,10.0,4598.0,15.0,103.0,103.2,67.9,70.7775
153,Волгоградская область,2009,69.49,377514.3,99.4,10.4,4647.0,276.0,195.0,111.1,50.6,68.43666666666667
1140,Ростовская область,2009,69.54,555917.1,98.7,8.4,4744.0,859.0,175.0,90.4,38.1,67.70400000000001
888,Республика Дагестан,2009,73.98,257832.7,105.4,13.2,4066.0,3.0,20.0,65.0,37.6,66.834
909,Республика Ингушетия,2009,78.31,18953.3,109.8,52.9,4439.0,0.1,1.0,50.0,31.5,67.01400000000001
279,Кабардино-Балкарская Республика,2009,72.08,65660.1,104.9,14.4,3847.0,2.0,3.0,99.3,45.0,66.72
342,Карачаево-Черкесская Республика,2009,71.54,38584.1,99.1,12.2,4119.0,264.0,19.0,86.6,35.0,67.935
1056,Республика Северная Осетия - Алания,2009,71.93,64081.4,105.7,10.6,3895.0,203.0,4.0,100.4,70.9,67.62
1287,Ставропольский край,2009,70.28,277251.0,101.4,8.7,4820.0,71.0,64.0,80.2,46.3,70.2025
846,Республика Башкортостан,2009,69.01,647911.7,96.2,9.3,4274.0,685.0,398.0,89.9,42.8,67.498
993,Республика Марий Эл,2009,67.08,69271.5,97.1,11.6,4292.0,11.0,37.0,106.4,34.4,67.15
1014,Республика Мордовия,2009,69.06,90862.4,92.2,5.4,4228.0,463.0,33.0,105.7,50.7,67.945
1077,Республика Татарстан,2009,70.82,885064.0,92.8,8.5,4101.0,358.0,268.0,79.9,43.9,68.2
1413,Удмуртская Республика,2009,68.26,230938.3,96.0,8.7,4342.0,31.0,94.0,110.7,58.6,68.416
1497,Чувашская Республика,2009,68.98,139909.5,94.2,11.5,4215.0,17.0,36.0,91.7,47.3,67.95750000000001
384,Кировская область,2009,67.92,146321.3,98.2,10.9,4746.0,173.0,109.0,119.5,47.7,66.68
615,Нижегородская область,2009,67.06,547223.0,98.1,7.4,5040.0,220.0,161.0,103.5,47.4,67.17
699,Оренбургская область,2009,67.86,413395.5,101.6,8.8,4445.0,825.0,647.0,105.4,50.6,69.454
741,Пензенская область,2009,69.38,147185.1,99.9,7.9,4341.0,41.0,22.0,95.2,38.4,65.99666666666666
1182,Самарская область,2009,68.2,583999.9,91.6,6.1,5408.0,306.0,289.0,84.6,48.4,69.07666666666665
1203,Саратовская область,2009,69.1,326370.4,98.8,8.8,4488.0,463.0,121.0,95.2,51.8,67.07
1434,Ульяновская область,2009,68.75,154247.4,97.5,9.0,4414.0,175.0,31.0,94.3,36.3,67.512
468,Курганская область,2009,67.38,107914.5,94.1,13.3,4589.0,57.0,58.0,96.9,29.9,69.97749999999999
1245,Свердловская область,2009,68.39,825267.4,88.4,8.3,5201.0,7932.0,1138.0,104.7,43.3,67.956
1392,Тюменская область,2009,69.49,2870284.0,92.6,6.8,5297.0,27.0,3268.0,84.9,52.1,68.9725
1476,Челябинская область,2009,68.26,556985.3,91.7,8.0,4595.0,4119.0,798.0,95.0,41.1,67.72749999999999
825,Республика Алтай,2009,65.82,19911.6,100.4,13.9,6670.0,1.0,10.0,92.3,43.7,69.18285714285715
1098,Республика Тыва,2009,60.04,26921.9,106.8,21.5,5084.0,27.0,20.0,145.8,45.8,0.0
1119,Республика Хакасия,2009,67.25,81019.9,98.9,9.0,4890.0,191.0,96.0,91.1,38.6,67.798
6,Алтайский край,2009,68.52,265613.3,98.5,12.3,5113.0,681.0,197.0,113.4,48.2,68.47
447,Красноярский край,2009,67.63,749194.8,96.9,9.5,5889.0,8579.0,2446.0,103.1,52.4,68.41428571428571
258,Иркутская область,2009,65.45,458774.9,95.3,10.8,5163.0,2578.0,560.0,108.7,50.8,69.26
363,Кемеровская область,2009,65.37,512408.0,93.9,9.7,4260.0,4366.0,1408.0,92.3,48.2,69.19666666666666
657,Новосибирская область,2009,68.94,425400.2,95.7,10.0,5391.0,885.0,233.0,112.4,57.5,69.34800000000001
678,Омская область,2009,68.72,336259.6,98.8,8.5,4869.0,1633.0,214.0,108.0,57.7,69.164
1350,Томская область,2009,68.06,245808.3,99.0,8.7,5644.0,310.0,360.0,111.9,68.2,68.3375
867,Республика Бурятия,2009,65.27,121187.7,100.0,14.1,4968.0,670.0,96.0,98.0,40.7,68.22333333333333
1035,Республика Саха (Якутия),2009,66.45,328201.7,99.6,8.7,8627.0,357.0,194.0,120.8,55.1,68.96
762,Приморский край,2009,66.72,368996.7,100.7,9.8,6401.0,2398.0,226.0,90.8,53.0,68.504
1455,Хабаровский край,2009,66.33,276895.4,95.6,10.5,7993.0,706.0,114.0,97.5,59.8,68.3675
27,Амурская область,2009,64.41,151118.6,101.1,8.7,6402.0,301.0,116.0,114.9,60.5,67.816
552,Магаданская область,2009,64.06,47895.9,97.7,6.6,8638.0,47.0,24.0,150.4,56.0,66.94999999999999
1224,Сахалинская область,2009,64.83,392380.1,95.9,10.0,8362.0,422.0,116.0,145.5,48.8,67.73333333333332
216,Еврейская автономная область,2009,63.34,25320.0,97.7,8.5,6116.0,90.0,19.0,140.6,36.1,71.19
1518,Чукотский автономный округ,2009,58.22,45067.6,94.2,4.4,10818.0,39.0,25.0,168.4,74.1,67.19
91,Белгородская область,2010,71.31,398361.4,105.7,5.2,4777.0,764.0,132.0,81.4,40.4,71.41333333333333
112,Брянская область,2010,67.92,147024.0,103.2,8.0,4933.0,560.0,35.0,92.2,36.2,68.10333333333332
133,Владимирская область,2010,67.12,224759.2,103.6,6.1,5774.0,14.0,35.0,77.3,33.1,67.9475
196,Воронежская область,2010,69.45,346568.2,105.6,7.5,5594.0,51.0,77.0,91.1,52.6,68.315
238,Ивановская область,2010,67.09,109884.5,106.0,7.6,5440.0,26.0,37.0,104.0,51.9,68.61
322,Калужская область,2010,68.1,188601.3,107.8,6.7,5256.0,134.0,12.0,99.8,39.6,69.3575
406,Костромская область,2010,67.5,98130.7,100.9,6.0,5668.0,45.0,54.0,96.6,34.6,68.71600000000001
490,Курская область,2010,68.53,193648.6,104.8,8.2,5120.0,40.0,41.0,94.0,58.0,68.23400000000001
532,Липецкая область,2010,68.59,248544.9,104.7,4.5,5276.0,1134.0,368.0,99.9,40.4,67.33125000000001
574,Московская область,2010,69.13,1832867.3,101.8,3.3,6585.0,873.0,205.0,75.2,35.8,66.92857142857142
721,Орловская область,2010,68.4,106196.7,104.0,8.9,4813.0,6.0,23.0,102.1,39.9,67.275
1162,Рязанская область,2010,67.81,179127.9,106.7,8.4,5669.0,538.0,134.0,99.2,56.8,67.155
1267,Смоленская область,2010,66.59,154681.1,102.5,7.4,5817.0,112.0,48.0,110.3,59.7,68.06
1309,Тамбовская область,2010,69.22,143902.4,102.9,7.8,4199.0,10.0,46.0,100.3,34.0,68.02999999999999
1330,Тверская область,2010,65.9,219004.9,106.8,6.6,5633.0,30.0,60.0,108.4,53.1,0.0
1372,Тульская область,2010,67.11,237629.2,101.1,5.8,5374.0,597.0,167.0,106.2,33.1,70.234
1540,Ярославская область,2010,68.39,239644.0,103.6,7.5,5386.0,53.0,81.0,115.2,62.9,68.22666666666666
1561,г. Москва,2010,74.15,8375863.8,106.9,1.8,8656.0,74.0,63.0,93.4,77.7,69.23666666666666
952,Республика Карелия,2010,66.42,120511.3,101.6,9.3,6754.0,140.0,108.0,106.0,50.4,67.765
973,Республика Коми,2010,66.87,353853.0,104.0,10.1,7556.0,363.0,595.0,111.7,47.5,67.414
49,Архангельская область,2010,67.89,372804.8,101.6,6.9,7308.0,688.0,545.0,102.6,56.6,69.355
175,Вологодская область,2010,67.08,262432.7,105.6,7.8,6066.0,1773.0,474.0,89.5,34.6,69.25
301,Калининградская область,2010,68.75,195749.1,109.3,10.3,5729.0,13.0,29.0,78.0,34.5,67.20333333333333
511,Ленинградская область,2010,68.09,490303.7,104.1,5.2,5380.0,978.0,226.0,73.7,34.4,68.64600000000002
595,Мурманская область,2010,68.43,233438.9,101.6,8.6,8432.0,2225.0,288.0,124.7,57.4,67.602
637,Новгородская область,2010,65.04,127407.8,105.9,5.6,5569.0,89.0,46.0,98.6,41.3,69.09833333333333
784,Псковская область,2010,64.59,87066.0,107.5,9.5,5254.0,8.0,22.0,103.4,34.6,66.99333333333333
1582,г. Санкт-Петербург,2010,72.06,1699486.4,106.6,2.6,5773.0,109.0,57.0,89.3,84.8,66.89999999999999
805,Республика Адыгея,2010,69.95,47194.5,103.3,9.3,4914.0,5.0,4.0,96.0,37.9,68.54
931,Республика Калмыкия,2010,69.35,24404.1,98.4,14.8,4956.0,0.2,3.0,95.0,46.7,67.1725
427,Краснодарский край,2010,70.95,1028308.4,101.9,6.7,5737.0,697.0,139.0,81.7,41.9,68.72
70,Астраханская область,2010,69.08,144888.8,101.9,8.2,5209.0,15.0,125.0,101.8,68.2,71.1
154,Волгоградская область,2010,69.66,433473.7,104.5,8.0,5583.0,232.0,201.0,109.0,50.5,69.06333333333333
1141,Ростовская область,2010,69.72,659667.4,102.4,7.7,5442.0,869.0,176.0,87.2,38.6,67.51
889,Республика Дагестан,2010,73.87,274354.2,101.5,14.8,4629.0,2.0,18.0,67.8,39.2,67.424
910,Республика Ингушетия,2010,74.71,19929.1,107.8,49.7,4800.0,0.0,1.0,49.6,33.8,67.02000000000001
280,Кабардино-Балкарская Республика,2010,72.11,77086.4,99.6,12.7,4726.0,2.0,3.0,97.3,44.0,66.63
343,Карачаево-Черкесская Республика,2010,72.44,43651.5,99.7,10.3,4894.0,303.0,20.0,86.0,33.0,68.29
1057,Республика Северная Осетия - Алания,2010,72.65,75327.4,102.0,9.7,4776.0,215.0,6.0,100.1,70.8,67.89
1288,Ставропольский край,2010,71.01,330790.8,102.7,6.9,5539.0,68.0,66.0,77.8,39.5,70.41499999999999
847,Республика Башкортостан,2010,68.89,759203.3,101.8,8.9,5255.0,495.0,388.0,86.2,42.2,67.488
994,Республика Марий Эл,2010,67.34,82374.4,103.0,10.5,5098.0,10.0,33.0,111.5,33.5,67.565
1015,Республика Мордовия,2010,69.25,105343.8,101.4,5.4,5007.0,450.0,34.0,105.9,51.8,67.835
1078,Республика Татарстан,2010,70.42,1001622.8,107.1,6.2,4733.0,329.0,263.0,77.6,44.2,68.13
1414,Удмуртская Республика,2010,68.1,274578.1,100.7,9.3,5090.0,18.0,101.0,102.0,58.5,68.72200000000001
1498,Чувашская Республика,2010,68.54,157704.6,105.3,9.5,5007.0,14.0,31.0,89.4,47.6,68.52250000000001
385,Кировская область,2010,68.24,172352.0,102.7,8.6,5437.0,131.0,102.0,111.1,48.9,66.88
616,Нижегородская область,2010,67.01,652805.9,103.6,7.7,5688.0,256.0,156.0,102.9,47.6,67.255
700,Оренбургская область,2010,67.95,458145.4,105.5,7.2,5132.0,764.0,617.0,103.1,52.2,68.92599999999999
742,Пензенская область,2010,69.28,172166.7,103.3,6.4,5163.0,22.0,22.0,91.4,39.2,66.31333333333333
1183,Самарская область,2010,68.13,695651.2,104.3,5.8,6191.0,367.0,308.0,82.1,47.7,69.07
1204,Саратовская область,2010,68.89,376169.4,104.3,6.3,5059.0,501.0,95.0,91.3,52.0,67.20124999999999
1435,Ульяновская область,2010,68.54,178235.4,105.9,8.8,5164.0,172.0,39.0,91.6,36.2,67.936
469,Курганская область,2010,67.66,117879.5,102.8,12.1,5238.0,151.0,55.0,97.7,29.7,70.19500000000001
1246,Свердловская область,2010,68.81,1046600.1,105.9,8.4,5946.0,9492.0,1169.0,101.6,45.7,68.244
1393,Тюменская область,2010,69.46,3301573.3,102.1,6.9,5651.0,43.0,3132.0,83.5,53.9,68.83125
1477,Челябинская область,2010,68.41,652865.5,107.9,7.5,5234.0,4695.0,749.0,94.0,43.0,67.76
826,Республика Алтай,2010,65.68,22393.7,102.2,12.2,5612.0,2.0,6.0,92.5,43.5,68.92999999999999
1099,Республика Тыва,2010,60.45,30772.8,101.8,21.7,5622.0,32.0,23.0,143.9,45.6,0.0
1120,Республика Хакасия,2010,67.1,96039.8,105.4,9.1,5434.0,169.0,96.0,90.6,38.1,68.078
7,Алтайский край,2010,68.36,302900.7,104.2,8.8,5871.0,776.0,207.0,112.1,48.7,69.026
448,Красноярский край,2010,67.57,1055525.0,107.7,6.2,6557.0,9012.0,2491.0,102.1,53.7,68.54142857142857
259,Иркутская область,2010,65.26,546141.0,104.9,10.1,5667.0,2821.0,597.0,108.7,49.9,68.804
364,Кемеровская область,2010,65.42,625914.9,106.1,8.9,4811.0,4823.0,1411.0,92.7,47.7,69.55
658,Новосибирская область,2010,69.28,484141.3,103.8,7.7,6000.0,1009.0,228.0,109.1,58.3,69.76
679,Омская область,2010,68.78,382620.4,107.2,8.1,5028.0,1787.0,230.0,99.2,53.9,69.50800000000001
1351,Томская область,2010,68.83,284676.7,104.2,7.7,6139.0,406.0,345.0,113.5,69.1,68.69749999999999
868,Республика Бурятия,2010,66.05,133525.6,104.6,10.4,5643.0,669.0,95.0,97.0,41.3,68.06666666666666
1036,Республика Саха (Якутия),2010,66.75,386825.1,102.1,8.9,9207.0,403.0,161.0,114.9,57.1,68.33333333333331
763,Приморский край,2010,66.63,470679.2,109.3,9.5,6865.0,2587.0,233.0,91.7,52.7,68.46000000000001
1456,Хабаровский край,2010,65.68,353590.3,103.1,8.9,8676.0,646.0,117.0,97.3,61.1,68.61500000000001
28,Амурская область,2010,64.36,178689.6,103.8,6.9,7163.0,284.0,119.0,114.7,62.8,67.99000000000001
553,Магаданская область,2010,65.07,59619.7,104.9,5.6,9236.0,53.0,25.0,148.8,55.6,66.935
1225,Сахалинская область,2010,64.9,487659.5,100.0,8.9,9084.0,406.0,100.0,142.2,49.1,68.04166666666666
217,Еврейская автономная область,2010,63.67,31555.9,107.9,9.3,6752.0,147.0,23.0,141.1,35.4,72.06
1519,Чукотский автономный округ,2010,57.49,38978.1,104.7,4.5,10961.0,30.0,22.0,171.2,76.7,68.43
92,Белгородская область,2011,71.71,507839.8,102.4,4.3,4959.0,785.0,134.0,80.3,40.1,72.4
113,Брянская область,2011,68.83,174211.8,103.4,7.1,5128.0,477.0,37.0,91.4,36.1,68.96000000000001
134,Владимирская область,2011,68.08,261222.6,103.2,5.7,5983.0,14.0,35.0,83.9,34.8,69.19999999999999
197,Воронежская область,2011,70.41,474973.9,103.6,6.4,5662.0,52.0,72.0,94.0,54.0,69.07499999999999
239,Ивановская область,2011,68.56,128905.4,99.3,6.6,5738.0,24.0,37.0,101.4,54.5,69.9
323,Калужская область,2011,69.49,234749.0,104.1,5.6,5412.0,135.0,13.0,102.6,39.9,70.32499999999999
407,Костромская область,2011,68.45,116629.8,100.8,5.1,5962.0,34.0,50.0,99.5,35.7,69.86600000000001
491,Курская область,2011,69.27,228851.4,107.1,6.3,5180.0,46.0,42.0,91.1,57.1,68.86800000000001
533,Липецкая область,2011,69.87,287816.8,102.7,4.9,5356.0,1200.0,345.0,94.1,41.5,68.1975
575,Московская область,2011,70.36,2176795.3,104.4,3.7,6801.0,860.0,192.0,82.4,40.8,67.7642857142857
722,Орловская область,2011,69.48,131198.2,101.3,6.3,4966.0,7.0,23.0,101.9,40.4,68.0
1163,Рязанская область,2011,69.34,214142.6,99.9,7.2,5901.0,506.0,122.0,98.3,57.3,68.22
1268,Смоленская область,2011,68.12,180811.5,101.8,7.6,6574.0,91.0,48.0,109.2,60.0,69.10000000000001
1310,Тамбовская область,2011,70.18,173283.1,105.3,6.6,4593.0,11.0,48.0,92.8,33.9,69.08
1331,Тверская область,2011,67.02,255073.0,101.6,6.0,5837.0,23.0,67.0,106.7,54.6,0.0
1373,Тульская область,2011,68.63,279879.3,101.3,5.3,5493.0,667.0,193.0,95.4,33.8,71.05600000000001
1541,Ярославская область,2011,69.95,286967.5,102.8,5.1,5518.0,44.0,78.0,109.4,65.8,69.06666666666666
1562,г. Москва,2011,75.79,9948772.8,107.9,1.4,9128.0,67.0,61.0,92.7,77.9,69.91999999999999
953,Республика Карелия,2011,67.95,154953.7,101.9,8.4,7228.0,108.0,96.0,101.1,50.4,68.80625
974,Республика Коми,2011,67.95,435959.3,101.7,8.2,8226.0,336.0,712.0,111.5,47.8,68.72800000000001
50,Архангельская область,2011,68.75,439116.8,103.0,5.9,7722.0,656.0,373.0,101.9,56.6,70.025
176,Вологодская область,2011,68.36,323067.9,99.8,7.3,6346.0,1609.0,469.0,89.5,34.8,70.27999999999999
302,Калининградская область,2011,69.9,241004.8,100.1,9.1,5955.0,13.0,25.0,77.2,35.4,67.75999999999999
512,Ленинградская область,2011,69.44,581712.0,102.7,4.3,5775.0,943.0,216.0,70.2,34.2,69.82600000000001
596,Мурманская область,2011,68.93,263811.7,102.3,8.6,8737.0,1792.0,263.0,123.7,57.9,69.022
638,Новгородская область,2011,66.46,153419.7,103.4,4.9,5801.0,99.0,42.0,98.4,41.1,69.99
785,Псковская область,2011,66.47,100498.5,100.1,9.3,6113.0,11.0,28.0,103.4,35.5,67.79666666666665
1583,г. Санкт-Петербург,2011,73.06,2091914.3,100.2,2.0,6221.0,123.0,69.0,94.8,87.2,67.65125
806,Республика Адыгея,2011,70.99,56803.3,102.6,8.4,5100.0,4.0,4.0,90.5,38.4,69.66
932,Республика Калмыкия,2011,70.8,29318.7,97.5,14.2,5331.0,0.1,4.0,95.8,50.1,68.21875
428,Краснодарский край,2011,71.15,1244652.8,103.4,5.9,5976.0,649.0,161.0,83.3,41.9,69.45750000000001
71,Астраханская область,2011,69.84,172616.6,102.6,8.8,5378.0,13.0,132.0,106.6,70.3,71.92
155,Волгоградская область,2011,70.5,508433.3,100.3,6.9,5742.0,201.0,178.0,106.7,50.5,69.68333333333334
1142,Ростовская область,2011,70.28,765967.2,102.5,7.3,5824.0,882.0,154.0,90.8,39.8,67.81800000000001
890,Республика Дагестан,2011,74.26,330322.8,98.4,12.7,4871.0,1.0,17.0,69.4,39.5,68.70400000000001
911,Республика Ингушетия,2011,76.29,26858.9,106.9,48.1,4959.0,0.0,0.1,47.8,34.1,67.552
281,Кабардино-Балкарская Республика,2011,72.44,90594.5,101.1,10.5,4918.0,1.0,2.0,96.9,46.4,67.17
344,Карачаево-Черкесская Республика,2011,72.85,49252.1,99.8,9.8,5081.0,337.0,25.0,83.6,35.4,68.8075
1058,Республика Северная Осетия - Алания,2011,72.59,85876.7,103.7,8.3,4984.0,209.0,4.0,105.0,74.5,68.75
1289,Ставропольский край,2011,71.57,396791.6,103.5,6.0,5802.0,59.0,68.0,76.4,44.7,71.34
848,Республика Башкортостан,2011,69.04,941023.6,103.0,7.6,5407.0,520.0,406.0,84.8,43.1,67.99600000000001
995,Республика Марий Эл,2011,68.31,97323.3,100.8,10.1,5114.0,9.0,29.0,101.0,34.6,68.81
1016,Республика Мордовия,2011,70.11,119955.2,103.3,5.2,5352.0,476.0,34.0,106.5,51.8,68.57499999999999
1079,Республика Татарстан,2011,71.3,1305947.0,106.7,4.7,5001.0,322.0,278.0,76.7,44.2,69.02
1415,Удмуртская Республика,2011,68.88,335984.0,101.2,6.9,5277.0,20.0,104.0,97.9,58.2,69.47
1499,Чувашская Республика,2011,69.66,188785.7,105.2,7.8,5247.0,11.0,28.0,88.6,48.9,69.4675
386,Кировская область,2011,69.32,195269.5,99.7,8.3,5718.0,101.0,99.0,105.7,49.1,67.92666666666666
617,Нижегородская область,2011,68.48,770774.0,103.5,7.2,5950.0,215.0,142.0,105.5,50.2,68.3575
701,Оренбургская область,2011,68.31,553320.9,103.0,6.3,5345.0,683.0,658.0,101.8,52.2,70.006
743,Пензенская область,2011,70.23,213401.2,104.2,5.4,5338.0,23.0,37.0,93.3,40.4,67.49
1184,Самарская область,2011,69.02,834149.3,104.4,5.1,6420.0,455.0,292.0,89.7,49.4,69.91666666666666
1205,Саратовская область,2011,69.86,431028.0,102.9,6.0,5271.0,457.0,109.0,98.5,53.0,67.89000000000001
1436,Ульяновская область,2011,69.5,223672.7,102.4,6.8,5432.0,199.0,42.0,92.1,36.8,68.944
