region,year,living_wage
Новосибирская область,2003,2317
Омская область,2003,2012
Томская область,2003,2481
Республика Саха (Якутия),2003,3677
Приморский край,2003,2924
Хабаровский край,2003,3092
Амурская область,2003,2636
Магаданская область,2003,3562
Сахалинская область,2003,3887
Еврейская автономная область,2003,2593
Чукотский автономный округ,2003,
Белгородская область,2004,2019.0
Брянская область,2004,2000.0
Владимирская область,2004,2177.0
Воронежская область,2004,2109.0
Ивановская область,2004,2365.0
Калужская область,2004,2307.0
Костромская область,2004,2212.0
Курская область,2004,2334.0
Липецкая область,2004,1963.0
Московская область,2004,2817.0
Орловская область,2004,1980.0
Рязанская область,2004,2192.0
Смоленская область,2004,2165.0
Тамбовская область,2004,2016.0
Тверская область,2004,2361.0
Тульская область,2004,2108.0
Ярославская область,2004,2255.0
г. Москва,2004,3703.0
Республика Карелия,2004,2784.0
Республика Коми,2004,3229.0
Архангельская область,2004,2866.0
Вологодская область,2004,2354.0
Калининградская область,2004,2703.0
Ленинградская область,2004,2524.0
Мурманская область,2004,3798.0
Новгородская область,2004,2401.0
Псковская область,2004,2060.0
г. Санкт-Петербург,2004,2919.0
Республика Адыгея,2004,2074.0
Республика Калмыкия,2004,2079.0
Краснодарский край,2004,2278.0
Астраханская область,2004,2147.0
Волгоградская область,2004,1978.0
Ростовская область,2004,2180.0
Республика Дагестан,2004,1897.0
Республика Ингушетия,2004,2193.0
Кабардино-Балкарская Республика,2004,1823.0
Карачаево-Черкесская Республика,2004,1973.0
Республика Северная Осетия - Алания,2004,1841.0
Ставропольский край,2004,2244.0
Республика Башкортостан,2004,2001.0
Республика Марий Эл,2004,2001.0
Республика Мордовия,2004,2190.0
Республика Татарстан,2004,2012.0
Удмуртская Республика,2004,2178.0
Чувашская Республика,2004,2007.0
Кировская область,2004,2275.0
Нижегородская область,2004,2355.0
Оренбургская область,2004,2059.0
Пензенская область,2004,2123.0
Самарская область,2004,2630.0
Саратовская область,2004,2325.0
Ульяновская область,2004,2276.0
Курганская область,2004,2313.0
Свердловская область,2004,2432.0
Тюменская область,2004,2428.0
Челябинская область,2004,2303.0
Республика Алтай,2004,2458.0
Республика Бурятия,2004,2974.0
Республика Тыва,2004,2659.0
Республика Хакасия,2004,2464.0
Алтайский край,2004,2095.0
Красноярский край,2004,2865.0
Иркутская область,2004,2706.0
Кемеровская область,2004,2376.0
Новосибирская область,2004,2573.0
Омская область,2004,2153.0
Томская область,2004,2774.0
Республика Саха (Якутия),2004,4153.0
Приморский край,2004,3259.0
Хабаровский край,2004,3662.0
Амурская область,2004,3091.0
Магаданская область,2004,4008.0
Сахалинская область,2004,4435.0
Еврейская автономная область,2004,2940.0
Чукотский автономный округ,2004,
Белгородская область,2005,2369.0
Брянская область,2005,2342.0
Владимирская область,2005,2595.0
Воронежская область,2005,2485.0
Ивановская область,2005,2599.0
Калужская область,2005,2668.0
Костромская область,2005,2579.0
Курская область,2005,2535.0
Липецкая область,2005,2369.0
Московская область,2005,3227.0
Орловская область,2005,2333.0
Рязанская область,2005,2495.0
Смоленская область,2005,2510.0
Тамбовская область,2005,2303.0
Тверская область,2005,2720.0
Тульская область,2005,2478.0
Ярославская область,2005,2633.0
г. Москва,2005,4171.0
Республика Карелия,2005,3216.0
Республика Коми,2005,3750.0
Архангельская область,2005,3574.0
Вологодская область,2005,3011.0
Калининградская область,2005,3221.0
Ленинградская область,2005,2829.0
Мурманская область,2005,4820.0
Новгородская область,2005,2825.0
Псковская область,2005,2471.0
г. Санкт-Петербург,2005,3259.0
Республика Адыгея,2005,2540.0
Республика Калмыкия,2005,2340.0
Краснодарский край,2005,2739.0
Астраханская область,2005,2528.0
Волгоградская область,2005,2460.0
Ростовская область,2005,2648.0
Республика Дагестан,2005,2227.0
Республика Ингушетия,2005,2568.0
Кабардино-Балкарская Республика,2005,2231.0
Карачаево-Черкесская Республика,2005,2347.0
Республика Северная Осетия - Алания,2005,2091.0
Ставропольский край,2005,2594.0
Республика Башкортостан,2005,2390.0
Республика Марий Эл,2005,2305.0
Республика Мордовия,2005,2454.0
Республика Татарстан,2005,2460.0
Удмуртская Республика,2005,2463.0
Чувашская Республика,2005,2236.0
Кировская область,2005,2717.0
Нижегородская область,2005,2738.0
Оренбургская область,2005,2431.0
Пензенская область,2005,2497.0
Самарская область,2005,3152.0
Саратовская область,2005,2634.0
Ульяновская область,2005,2530.0
Курганская область,2005,2630.0
Свердловская область,2005,2861.0
Тюменская область,2005,2727.0
Челябинская область,2005,2571.0
Республика Алтай,2005,3016.0
Республика Бурятия,2005,3372.0
Республика Тыва,2005,3105.0
Республика Хакасия,2005,2899.0
Алтайский край,2005,2375.0
Красноярский край,2005,3250.0
Иркутская область,2005,2948.0
Кемеровская область,2005,2673.0
Новосибирская область,2005,3005.0
Омская область,2005,2898.0
Томская область,2005,3212.0
Республика Саха (Якутия),2005,4851.0
Приморский край,2005,3970.0
Хабаровский край,2005,4331.0
Амурская область,2005,3771.0
Магаданская область,2005,4756.0
Сахалинская область,2005,5118.0
Еврейская автономная область,2005,3594.0
Чукотский автономный округ,2005,
Белгородская область,2006,2901.0
Брянская область,2006,2873.0
Владимирская область,2006,3222.0
Воронежская область,2006,2813.0
Ивановская область,2006,3090.0
Калужская область,2006,3197.0
Костромская область,2006,2952.0
Курская область,2006,2849.0
Липецкая область,2006,2721.0
Московская область,2006,3775.0
Орловская область,2006,2629.0
Рязанская область,2006,2966.0
Смоленская область,2006,3187.0
Тамбовская область,2006,2736.0
Тверская область,2006,2990.0
Тульская область,2006,2795.0
Ярославская область,2006,2995.0
г. Москва,2006,5121.0
Республика Карелия,2006,3699.0
Республика Коми,2006,4525.0
Архангельская область,2006,4060.0
Вологодская область,2006,3450.0
Калининградская область,2006,3696.0
Ленинградская область,2006,3321.0
Мурманская область,2006,5333.0
Новгородская область,2006,3225.0
Псковская область,2006,2951.0
г. Санкт-Петербург,2006,3544.0
Республика Адыгея,2006,2962.0
Республика Калмыкия,2006,2664.0
Краснодарский край,2006,3278.0
Астраханская область,2006,2883.0
Волгоградская область,2006,2762.0
Ростовская область,2006,3086.0
Республика Дагестан,2006,2484.0
Республика Ингушетия,2006,2839.0
Кабардино-Балкарская Республика,2006,2558.0
Карачаево-Черкесская Республика,2006,2709.0
Республика Северная Осетия - Алания,2006,2638.0
Ставропольский край,2006,3050.0
Республика Башкортостан,2006,2973.0
Республика Марий Эл,2006,2789.0
Республика Мордовия,2006,2816.0
Республика Татарстан,2006,2695.0
Удмуртская Республика,2006,2947.0
Чувашская Республика,2006,2712.0
Кировская область,2006,3066.0
Нижегородская область,2006,3255.0
Оренбургская область,2006,2734.0
Пензенская область,2006,2999.0
Самарская область,2006,3727.0
Саратовская область,2006,2919.0
Ульяновская область,2006,2936.0
Курганская область,2006,2977.0
Свердловская область,2006,3324.0
Тюменская область,2006,3555.0
Челябинская область,2006,2939.0
Республика Алтай,2006,3841.0
Республика Бурятия,2006,4014.0
Республика Тыва,2006,3321.0
Республика Хакасия,2006,3275.0
Алтайский край,2006,3049.0
Красноярский край,2006,3716.0
Иркутская область,2006,3373.0
Кемеровская область,2006,2933.0
Новосибирская область,2006,3674.0
Омская область,2006,3375.0
Томская область,2006,3572.0
Республика Саха (Якутия),2006,5456.0
Приморский край,2006,4423.0
Хабаровский край,2006,4854.0
Амурская область,2006,4353.0
Магаданская область,2006,5329.0
Сахалинская область,2006,5974.0
Еврейская автономная область,2006,3894.0
Чукотский автономный округ,2006,
Белгородская область,2007,3306.0
Брянская область,2007,3405.0
Владимирская область,2007,3777.0
Воронежская область,2007,3607.0
Ивановская область,2007,3707.0
Калужская область,2007,3600.0
Костромская область,2007,3637.0
Курская область,2007,3422.0
Липецкая область,2007,3394.0
Московская область,2007,4467.0
Орловская область,2007,3176.0
Рязанская область,2007,3686.0
Смоленская область,2007,3723.0
Тамбовская область,2007,3076.0
Тверская область,2007,3877.0
Тульская область,2007,3633.0
Ярославская область,2007,3997.0
г. Москва,2007,5855.0
Республика Карелия,2007,4625.0
Республика Коми,2007,5167.0
Архангельская область,2007,4907.0
Вологодская область,2007,4073.0
Калининградская область,2007,4097.0
Ленинградская область,2007,3835.0
Мурманская область,2007,5930.0
Новгородская область,2007,3964.0
Псковская область,2007,3559.0
г. Санкт-Петербург,2007,4158.0
Республика Адыгея,2007,3531.0
Республика Калмыкия,2007,3317.0
Краснодарский край,2007,3832.0
Астраханская область,2007,3466.0
Волгоградская область,2007,3701.0
Ростовская область,2007,3728.0
Республика Дагестан,2007,3153.0
Республика Ингушетия,2007,3172.0
Кабардино-Балкарская Республика,2007,3034.0
Карачаево-Черкесская Республика,2007,3144.0
Республика Северная Осетия - Алания,2007,3029.0
Ставропольский край,2007,3523.0
Республика Башкортостан,2007,3371.0
Республика Марий Эл,2007,3277.0
Республика Мордовия,2007,3260.0
Республика Татарстан,2007,3172.0
Удмуртская Республика,2007,3605.0
Чувашская Республика,2007,3351.0
Кировская область,2007,3753.0
Нижегородская область,2007,3865.0
Оренбургская область,2007,3442.0
Пензенская область,2007,3448.0
Самарская область,2007,4279.0
Саратовская область,2007,3735.0
Ульяновская область,2007,3507.0
Курганская область,2007,3509.0
Свердловская область,2007,3902.0
Тюменская область,2007,3983.0
Челябинская область,2007,3578.0
Республика Алтай,2007,4525.0
Республика Бурятия,2007,4148.0
