region,year,emissions_mass_level
Псковская область,2013,27.0
г. Санкт-Петербург,2013,72.0
Республика Адыгея,2013,9.0
Республика Калмыкия,2013,7.0
Краснодарский край,2013,205.0
Астраханская область,2013,130.0
Волгоградская область,2013,173.0
Ростовская область,2013,193.0
Республика Дагестан,2013,16.0
Республика Ингушетия,2013,0.6
Кабардино-Балкарская Республика,2013,2.0
Карачаево-Черкесская Республика,2013,21.0
Республика Северная Осетия - Алания,2013,5.0
Ставропольский край,2013,75.0
Республика Башкортостан,2013,449.0
Республика Марий Эл,2013,27.0
Республика Мордовия,2013,36.0
Республика Татарстан,2013,298.0
Удмуртская Республика,2013,172.0
Чувашская Республика,2013,29.0
Кировская область,2013,103.0
Нижегородская область,2013,126.0
Оренбургская область,2013,513.0
Пензенская область,2013,28.0
Самарская область,2013,261.0
Саратовская область,2013,99.0
Ульяновская область,2013,38.0
Курганская область,2013,55.0
Свердловская область,2013,1097.0
Тюменская область,2013,2751.0
Челябинская область,2013,667.0
Республика Алтай,2013,9.0
Республика Бурятия,2013,114.0
Республика Тыва,2013,19.0
Республика Хакасия,2013,90.0
Алтайский край,2013,201.0
Красноярский край,2013,2497.0
Иркутская область,2013,686.0
Кемеровская область,2013,1356.0
Новосибирская область,2013,196.0
Омская область,2013,214.0
Томская область,2013,306.0
Республика Саха (Якутия),2013,165.0
Приморский край,2013,181.0
Хабаровский край,2013,114.0
Амурская область,2013,125.0
Магаданская область,2013,29.0
Сахалинская область,2013,77.0
Еврейская автономная область,2013,24.0
Чукотский автономный округ,2013,21.0
Белгородская область,2014,127.0
Брянская область,2014,36.0
Владимирская область,2014,31.0
Воронежская область,2014,68.0
Ивановская область,2014,33.0
Калужская область,2014,19.0
Костромская область,2014,49.0
Курская область,2014,36.0
Липецкая область,2014,330.0
Московская область,2014,197.0
Орловская область,2014,15.0
Рязанская область,2014,108.0
Смоленская область,2014,53.0
Тамбовская область,2014,45.0
Тверская область,2014,69.0
Тульская область,2014,181.0
Ярославская область,2014,88.0
г. Москва,2014,68.0
Республика Карелия,2014,95.0
Республика Коми,2014,707.0
Архангельская область,2014,262.0
Вологодская область,2014,491.0
Калининградская область,2014,19.0
Ленинградская область,2014,272.0
Мурманская область,2014,276.0
Новгородская область,2014,43.0
Псковская область,2014,29.0
г. Санкт-Петербург,2014,71.0
Республика Адыгея,2014,10.0
Республика Калмыкия,2014,5.0
Краснодарский край,2014,189.0
Астраханская область,2014,118.0
Волгоградская область,2014,154.0
Ростовская область,2014,194.0
Республика Дагестан,2014,13.0
Республика Ингушетия,2014,0.4
Кабардино-Балкарская Республика,2014,2.0
Карачаево-Черкесская Республика,2014,16.0
Республика Северная Осетия - Алания,2014,3.0
Ставропольский край,2014,79.0
Республика Башкортостан,2014,459.0
Республика Марий Эл,2014,25.0
Республика Мордовия,2014,35.0
Республика Татарстан,2014,294.0
Удмуртская Республика,2014,176.0
Чувашская Республика,2014,36.0
Кировская область,2014,115.0
Нижегородская область,2014,126.0
Оренбургская область,2014,411.0
Пензенская область,2014,33.0
Самарская область,2014,266.0
Саратовская область,2014,120.0
Ульяновская область,2014,34.0
Курганская область,2014,43.0
Свердловская область,2014,1021.0
Тюменская область,2014,2181.0
Челябинская область,2014,653.0
Республика Алтай,2014,8.0
Республика Бурятия,2014,106.0
Республика Тыва,2014,19.0
Республика Хакасия,2014,84.0
Алтайский край,2014,203.0
Красноярский край,2014,2356.0
Иркутская область,2014,637.0
Кемеровская область,2014,1332.0
Новосибирская область,2014,208.0
Омская область,2014,204.0
Томская область,2014,290.0
Республика Саха (Якутия),2014,307.0
Приморский край,2014,190.0
Хабаровский край,2014,103.0
Амурская область,2014,132.0
Магаданская область,2014,30.0
Сахалинская область,2014,65.0
Еврейская автономная область,2014,18.0
Чукотский автономный округ,2014,18.0
Белгородская область,2015,118.0
Брянская область,2015,37.0
Владимирская область,2015,30.0
Воронежская область,2015,69.0
Ивановская область,2015,33.0
Калужская область,2015,26.0
Костромская область,2015,46.0
Курская область,2015,31.0
Липецкая область,2015,328.0
Московская область,2015,221.0
Орловская область,2015,13.0
Рязанская область,2015,98.0
Смоленская область,2015,59.0
Тамбовская область,2015,56.0
Тверская область,2015,60.0
Тульская область,2015,149.0
Ярославская область,2015,91.0
г. Москва,2015,63.0
Республика Карелия,2015,96.0
Республика Коми,2015,612.0
Архангельская область,2015,260.0
Вологодская область,2015,461.0
Калининградская область,2015,20.0
Ленинградская область,2015,247.0
Мурманская область,2015,276.0
Новгородская область,2015,70.0
Псковская область,2015,27.0
г. Санкт-Петербург,2015,73.0
Республика Адыгея,2015,11.0
Республика Калмыкия,2015,3.0
Краснодарский край,2015,191.0
Астраханская область,2015,119.0
Волгоградская область,2015,160.0
Ростовская область,2015,165.0
Республика Дагестан,2015,11.0
Республика Ингушетия,2015,0.4
Кабардино-Балкарская Республика,2015,3.0
Карачаево-Черкесская Республика,2015,15.0
Республика Северная Осетия - Алания,2015,5.0
Ставропольский край,2015,85.0
Республика Башкортостан,2015,435.0
Республика Марий Эл,2015,22.0
Республика Мордовия,2015,32.0
Республика Татарстан,2015,294.0
Удмуртская Республика,2015,148.0
Чувашская Республика,2015,27.0
Кировская область,2015,96.0
Нижегородская область,2015,133.0
Оренбургская область,2015,490.0
Пензенская область,2015,39.0
Самарская область,2015,261.0
Саратовская область,2015,118.0
Ульяновская область,2015,33.0
Курганская область,2015,52.0
Свердловская область,2015,984.0
Тюменская область,2015,2146.0
Челябинская область,2015,627.0
Республика Алтай,2015,8.0
Республика Бурятия,2015,109.0
Республика Тыва,2015,20.0
Республика Хакасия,2015,89.0
Алтайский край,2015,204.0
Красноярский край,2015,2476.0
Иркутская область,2015,639.0
Кемеровская область,2015,1344.0
Новосибирская область,2015,185.0
Омская область,2015,202.0
Томская область,2015,293.0
Республика Саха (Якутия),2015,287.0
Приморский край,2015,193.0
Хабаровский край,2015,116.0
Амурская область,2015,127.0
Магаданская область,2015,27.0
Сахалинская область,2015,72.0
Еврейская автономная область,2015,19.0
Чукотский автономный округ,2015,21.0
Белгородская область,2016,113.0
Брянская область,2016,39.0
Владимирская область,2016,33.0
Воронежская область,2016,73.0
Ивановская область,2016,27.0
Калужская область,2016,23.0
Костромская область,2016,50.0
Курская область,2016,39.0
Липецкая область,2016,320.0
Московская область,2016,253.0
Орловская область,2016,21.0
Рязанская область,2016,99.0
Смоленская область,2016,58.0
Тамбовская область,2016,56.0
Тверская область,2016,63.0
Тульская область,2016,142.0
Ярославская область,2016,86.0
г. Москва,2016,63.0
Республика Карелия,2016,116.0
Республика Коми,2016,569.0
Архангельская область,2016,245.0
Вологодская область,2016,441.0
Калининградская область,2016,21.0
Ленинградская область,2016,243.0
Мурманская область,2016,232.0
Новгородская область,2016,46.0
Псковская область,2016,33.0
г. Санкт-Петербург,2016,78.0
Республика Адыгея,2016,11.0
Республика Калмыкия,2016,2.0
Краснодарский край,2016,242.0
Астраханская область,2016,127.0
Волгоградская область,2016,161.0
Ростовская область,2016,169.0
Республика Дагестан,2016,14.0
Республика Ингушетия,2016,1.0
Кабардино-Балкарская Республика,2016,4.0
Карачаево-Черкесская Республика,2016,17.0
Республика Северная Осетия - Алания,2016,5.0
Ставропольский край,2016,88.0
Республика Башкортостан,2016,461.0
Республика Марий Эл,2016,36.0
Республика Мордовия,2016,41.0
Республика Татарстан,2016,338.0
Удмуртская Республика,2016,147.0
Чувашская Республика,2016,25.0
Кировская область,2016,99.0
Нижегородская область,2016,150.0
Оренбургская область,2016,512.0
Пензенская область,2016,44.0
Самарская область,2016,253.0
Саратовская область,2016,110.0
Ульяновская область,2016,33.0
Курганская область,2016,42.0
Свердловская область,2016,906.0
Тюменская область,2016,2292.0
Челябинская область,2016,597.0
Республика Алтай,2016,7.0
Республика Бурятия,2016,19.0
Республика Тыва,2016,92.0
Республика Хакасия,2016,213.0
Алтайский край,2016,2363.0
Красноярский край,2016,642.0
Иркутская область,2016,1349.0
Кемеровская область,2016,201.0
Новосибирская область,2016,200.0
Омская область,2016,301.0
Томская область,2016,1084.0
Республика Саха (Якутия),2016,257.0
Приморский край,2016,186.0
Хабаровский край,2016,114.0
Амурская область,2016,135.0
Магаданская область,2016,31.0
Сахалинская область,2016,77.0
Еврейская автономная область,2016,19.0
Чукотский автономный округ,2016,21.0
Белгородская область,2017,117.0
Брянская область,2017,47.0
Владимирская область,2017,37.0
Воронежская область,2017,76.0
Ивановская область,2017,23.0
Калужская область,2017,27.0
Костромская область,2017,54.0
Курская область,2017,40.0
Липецкая область,2017,326.0
Московская область,2017,227.0
Орловская область,2017,21.0
Рязанская область,2017,96.0
Смоленская область,2017,62.0
Тамбовская область,2017,63.0
Тверская область,2017,74.0
Тульская область,2017,120.0
Ярославская область,2017,76.0
г. Москва,2017,60.0
Республика Карелия,2017,114.0
Республика Коми,2017,451.0
Архангельская область,2017,251.0
Вологодская область,2017,429.0
Калининградская область,2017,26.0
Ленинградская область,2017,226.0
Мурманская область,2017,243.0
Новгородская область,2017,53.0
Псковская область,2017,35.0
г. Санкт-Петербург,2017,87.0
Республика Адыгея,2017,10.0
Республика Калмыкия,2017,3.0
Краснодарский край,2017,427.0
Астраханская область,2017,103.0
Волгоградская область,2017,138.0
Ростовская область,2017,195.0
Республика Дагестан,2017,14.0
Республика Ингушетия,2017,1.0
Кабардино-Балкарская Республика,2017,3.0
Карачаево-Черкесская Республика,2017,17.0
Республика Северная Осетия - Алания,2017,4.0
Ставропольский край,2017,95.0
Республика Башкортостан,2017,418.0
Республика Марий Эл,2017,35.0
Республика Мордовия,2017,54.0
Республика Татарстан,2017,286.0
Удмуртская Республика,2017,139.0
Чувашская Республика,2017,43.0
Кировская область,2017,98.0
Нижегородская область,2017,151.0
Оренбургская область,2017,475.0
Пензенская область,2017,37.0
Самарская область,2017,251.0
Саратовская область,2017,123.0
Ульяновская область,2017,34.0
Курганская область,2017,44.0
Свердловская область,2017,928.0
Тюменская область,2017,2336.0
Челябинская область,2017,533.0
Республика Алтай,2017,7.0
Республика Бурятия,2017,20.0
Республика Тыва,2017,115.0
Республика Хакасия,2017,204.0
Алтайский край,2017,2371.0
Красноярский край,2017,660.0
Иркутская область,2017,1488.0
Кемеровская область,2017,195.0
Новосибирская область,2017,193.0
Омская область,2017,263.0
Томская область,2017,1148.0
Республика Саха (Якутия),2017,244.0
Приморский край,2017,186.0
Хабаровский край,2017,118.0
Амурская область,2017,133.0
Магаданская область,2017,33.0
Сахалинская область,2017,105.0
Еврейская автономная область,2017,23.0
Чукотский автономный округ,2017,20.0
Белгородская область,2018,175.0
Брянская область,2018,40.0
Владимирская область,2018,42.0
Воронежская область,2018,104.0
Ивановская область,2018,22.0
Калужская область,2018,29.0
Костромская область,2018,32.0
Курская область,2018,51.0
Липецкая область,2018,316.0
Московская область,2018,223.0
Орловская область,2018,28.0
Рязанская область,2018,83.0
Смоленская область,2018,57.0
Тамбовская область,2018,56.0
Тверская область,2018,28.0
Тульская область,2018,109.0
Ярославская область,2018,73.0
г. Москва,2018,61.0
Республика Карелия,2018,124.0
Республика Коми,2018,488.0
Архангельская область,2018,204.0
Вологодская область,2018,376.0
Калининградская область,2018,24.0
Ленинградская область,2018,218.0
Мурманская область,2018,215.0
Новгородская область,2018,56.0
Псковская область,2018,37.0
г. Санкт-Петербург,2018,84.0
Республика Адыгея,2018,8.0
Республика Калмыкия,2018,4.0
Краснодарский край,2018,825.0
Астраханская область,2018,33.0
Волгоградская область,2018,145.0
Ростовская область,2018,57.0
Республика Дагестан,2018,14.0
Республика Ингушетия,2018,1.0
Кабардино-Балкарская Республика,2018,3.0
Карачаево-Черкесская Республика,2018,15.0
Республика Северная Осетия - Алания,2018,11.0
Ставропольский край,2018,95.0
Республика Башкортостан,2018,455.0
Республика Марий Эл,2018,38.0
Республика Мордовия,2018,38.0
Республика Татарстан,2018,394.0
Удмуртская Республика,2018,179.0
Чувашская Республика,2018,42.0
Кировская область,2018,94.0
Нижегородская область,2018,92.0
Оренбургская область,2018,508.0
Пензенская область,2018,27.0
Самарская область,2018,218.0
Саратовская область,2018,118.0
Ульяновская область,2018,31.0
Курганская область,2018,39.0
Свердловская область,2018,857.0
Тюменская область,2018,2308.0
Челябинская область,2018,488.0
Республика Алтай,2018,4.0
Республика Бурятия,2018,4.0
Республика Тыва,2018,107.0
Республика Хакасия,2018,192.0
Алтайский край,2018,2319.0
Красноярский край,2018,641.0
Иркутская область,2018,1384.0
Кемеровская область,2018,126.0
Новосибирская область,2018,202.0
Омская область,2018,238.0
Томская область,2018,1026.0
Республика Саха (Якутия),2018,256.0
Приморский край,2018,181.0
Хабаровский край,2018,84.0
Амурская область,2018,113.0
Магаданская область,2018,29.0
Сахалинская область,2018,85.0
Еврейская автономная область,2018,19.0
Чукотский автономный округ,2018,23.0
Белгородская область,2019,157.0
Брянская область,2019,46.0
Владимирская область,2019,54.0
Воронежская область,2019,105.0
Ивановская область,2019,17.0
Калужская область,2019,27.0
Костромская область,2019,44.0
Курская область,2019,58.0
Липецкая область,2019,310.0
Московская область,2019,189.0
Орловская область,2019,26.0
Рязанская область,2019,102.0
Смоленская область,2019,53.0
Тамбовская область,2019,73.0
Тверская область,2019,67.0
Тульская область,2019,107.0
Ярославская область,2019,92.0
г. Москва,2019,75.0
Республика Карелия,2019,122.0
Республика Коми,2019,392.0
Архангельская область,2019,204.0
Вологодская область,2019,413.0
Калининградская область,2019,23.0
Ленинградская область,2019,194.0
Мурманская область,2019,231.0
Новгородская область,2019,61.0
Псковская область,2019,40.0
г. Санкт-Петербург,2019,67.0
Республика Адыгея,2019,6.0
Республика Калмыкия,2019,6.0
Краснодарский край,2019,432.0
Астраханская область,2019,104.0
Волгоградская область,2019,144.0
Ростовская область,2019,158.0
Республика Дагестан,2019,13.0
Республика Ингушетия,2019,8.0
Кабардино-Балкарская Республика,2019,3.0
Карачаево-Черкесская Республика,2019,15.0
Республика Северная Осетия - Алания,2019,7.0
Ставропольский край,2019,102.0
Республика Башкортостан,2019,471.0
Республика Марий Эл,2019,37.0
Республика Мордовия,2019,51.0
Республика Татарстан,2019,290.0
Удмуртская Республика,2019,197.0
Чувашская Республика,2019,37.0
Кировская область,2019,89.0
Нижегородская область,2019,162.0
Оренбургская область,2019,452.0
Пензенская область,2019,28.0
Самарская область,2019,254.0
Саратовская область,2019,120.0
Ульяновская область,2019,28.0
Курганская область,2019,45.0
Свердловская область,2019,898.0
Тюменская область,2019,2220.0
Челябинская область,2019,493.0
Республика Алтай,2019,6.0
Республика Бурятия,2019,5.0
Республика Тыва,2019,105.0
Республика Хакасия,2019,169.0
Алтайский край,2019,2432.0
Красноярский край,2019,644.0
Иркутская область,2019,1760.0
Кемеровская область,2019,136.0
Новосибирская область,2019,151.0
Омская область,2019,225.0
Томская область,2019,1099.0
Республика Саха (Якутия),2019,288.0
Приморский край,2019,178.0
Хабаровский край,2019,112.0
Амурская область,2019,124.0
Магаданская область,2019,60.0
Сахалинская область,2019,57.0
Еврейская автономная область,2019,16.0
Чукотский автономный округ,2019,18.0
Белгородская область,2020,168.0
Брянская область,2020,47.0
Владимирская область,2020,60.0
Воронежская область,2020,116.0
Ивановская область,2020,25.0
Калужская область,2020,26.0
Костромская область,2020,45.0
Курская область,2020,53.0
Липецкая область,2020,322.0
Московская область,2020,203.0
Орловская область,2020,27.0
Рязанская область,2020,77.0
Смоленская область,2020,58.0
Тамбовская область,2020,69.0
Тверская область,2020,97.0
Тульская область,2020,119.0
Ярославская область,2020,84.0
г. Москва,2020,60.0
Республика Карелия,2020,129.0
Республика Коми,2020,350.0
Архангельская область,2020,191.0
Вологодская область,2020,377.0
Калининградская область,2020,21.0
Ленинградская область,2020,214.0
Мурманская область,2020,199.0
Новгородская область,2020,63.0
Псковская область,2020,37.0
г. Санкт-Петербург,2020,67.0
Республика Адыгея,2020,8.0
Республика Калмыкия,2020,3.0
Краснодарский край,2020,415.0
Астраханская область,2020,112.0
Волгоградская область,2020,175.0
Ростовская область,2020,175.0
Республика Дагестан,2020,10.0
Республика Ингушетия,2020,2.0
Кабардино-Балкарская Республика,2020,3.0
Карачаево-Черкесская Республика,2020,16.0
Республика Северная Осетия - Алания,2020,10.0
Ставропольский край,2020,110.0
Республика Башкортостан,2020,441.0
Республика Марий Эл,2020,55.0
Республика Мордовия,2020,59.0
Республика Татарстан,2020,325.0
Удмуртская Республика,2020,131.0
Чувашская Республика,2020,25.0
Кировская область,2020,87.0
Нижегородская область,2020,122.0
Оренбургская область,2020,405.0
Пензенская область,2020,33.0
Самарская область,2020,255.0
Саратовская область,2020,127.0
Ульяновская область,2020,31.0
Курганская область,2020,39.0
Свердловская область,2020,784.0
Тюменская область,2020,2183.0
Челябинская область,2020,457.0
Республика Алтай,2020,7.0
Республика Бурятия,2020,5.0
Республика Тыва,2020,110.0
Республика Хакасия,2020,175.0
Алтайский край,2020,2540.0
Красноярский край,2020,655.0
Иркутская область,2020,1612.0
Кемеровская область,2020,164.0
Новосибирская область,2020,147.0
Омская область,2020,177.0
Томская область,2020,1120.0
Республика Саха (Якутия),2020,286.0
Приморский край,2020,170.0
Хабаровский край,2020,121.0
Амурская область,2020,136.0
Магаданская область,2020,40.0
Сахалинская область,2020,64.0
Еврейская автономная область,2020,17.0
Чукотский автономный округ,2020,17.0
Белгородская область,2021,156.0
Брянская область,2021,44.0
Владимирская область,2021,62.0
Воронежская область,2021,111.0
Ивановская область,2021,25.0
Калужская область,2021,30.0
Костромская область,2021,41.0
Курская область,2021,56.0
Липецкая область,2021,322.0
Московская область,2021,171.0
Орловская область,2021,27.0
Рязанская область,2021,97.0
Смоленская область,2021,55.0
Тамбовская область,2021,68.0
Тверская область,2021,63.0
Тульская область,2021,116.0
Ярославская область,2021,87.0
г. Москва,2021,63.0
Республика Карелия,2021,136.0
Республика Коми,2021,370.0
Архангельская область,2021,197.0
Вологодская область,2021,380.0
Калининградская область,2021,23.0
Ленинградская область,2021,234.0
Мурманская область,2021,134.0
Новгородская область,2021,66.0
Псковская область,2021,39.0
г. Санкт-Петербург,2021,72.0
Республика Адыгея,2021,8.0
Республика Калмыкия,2021,4.0
Краснодарский край,2021,435.0
Астраханская область,2021,91.0
Волгоградская область,2021,223.0
Ростовская область,2021,177.0
Республика Дагестан,2021,11.0
Республика Ингушетия,2021,2.0
Кабардино-Балкарская Республика,2021,5.0
Карачаево-Черкесская Республика,2021,14.0
Республика Северная Осетия - Алания,2021,10.0
Ставропольский край,2021,124.0
Республика Башкортостан,2021,449.0
Республика Марий Эл,2021,39.0
Республика Мордовия,2021,53.0
Республика Татарстан,2021,323.0
Удмуртская Республика,2021,145.0
Чувашская Республика,2021,27.0
Кировская область,2021,89.0
Нижегородская область,2021,123.0
Оренбургская область,2021,433.0
Пензенская область,2021,29.0
Самарская область,2021,235.0
Саратовская область,2021,117.0
Ульяновская область,2021,31.0
Курганская область,2021,40.0
Свердловская область,2021,784.0
Тюменская область,2021,2343.0
Челябинская область,2021,467.0
Республика Алтай,2021,7.0
Республика Бурятия,2021,7.0
Республика Тыва,2021,110.0
Республика Хакасия,2021,177.0
Алтайский край,2021,2418.0
Красноярский край,2021,663.0
Иркутская область,2021,1603.0
Кемеровская область,2021,188.0
Новосибирская область,2021,159.0
Омская область,2021,178.0
Томская область,2021,1275.0
Республика Саха (Якутия),2021,390.0
Приморский край,2021,197.0
Хабаровский край,2021,125.0
Амурская область,2021,150.0
Магаданская область,2021,39.0
Сахалинская область,2021,62.0
Еврейская автономная область,2021,17.0
Чукотский автономный округ,2021,18.0
Белгородская область,2022,158.0
Брянская область,2022,54.0
Владимирская область,2022,73.0
Воронежская область,2022,115.0
Ивановская область,2022,25.0
Калужская область,2022,31.0
Костромская область,2022,40.0
Курская область,2022,51.0
Липецкая область,2022,300.0
Московская область,2022,169.0
Орловская область,2022,25.0
Рязанская область,2022,83.0
Смоленская область,2022,48.0
Тамбовская область,2022,62.0
Тверская область,2022,51.0
Тульская область,2022,110.0
Ярославская область,2022,87.0
г. Москва,2022,65.0
Республика Карелия,2022,134.0
Республика Коми,2022,352.0
Архангельская область,2022,206.0
Вологодская область,2022,352.0
Калининградская область,2022,27.0
Ленинградская область,2022,248.0
Мурманская область,2022,130.0
Новгородская область,2022,62.0
Псковская область,2022,42.0
г. Санкт-Петербург,2022,70.0
Республика Адыгея,2022,18.0
Республика Калмыкия,2022,3.0
Краснодарский край,2022,358.0
Астраханская область,2022,104.0
Волгоградская область,2022,217.0
Ростовская область,2022,125.0
Республика Дагестан,2022,7.0
Республика Ингушетия,2022,2.0
Кабардино-Балкарская Республика,2022,4.0
Карачаево-Черкесская Республика,2022,13.0
Республика Северная Осетия - Алания,2022,8.0
Ставропольский край,2022,107.0
Республика Башкортостан,2022,433.0
Республика Марий Эл,2022,33.0
Республика Мордовия,2022,50.0
Республика Татарстан,2022,320.0
Удмуртская Республика,2022,155.0
Чувашская Республика,2022,32.0
Кировская область,2022,86.0
Нижегородская область,2022,122.0
Оренбургская область,2022,398.0
Пензенская область,2022,31.0
Самарская область,2022,234.0
Саратовская область,2022,118.0
Ульяновская область,2022,25.0
Курганская область,2022,35.0
Свердловская область,2022,796.0
Тюменская область,2022,2337.0
Челябинская область,2022,425.0
Республика Алтай,2022,8.0
Республика Бурятия,2022,9.0
Республика Тыва,2022,107.0
Республика Хакасия,2022,195.0
Алтайский край,2022,2632.0
Красноярский край,2022,739.0
Иркутская область,2022,1593.0
Кемеровская область,2022,198.0
Новосибирская область,2022,165.0
Омская область,2022,160.0
Томская область,2022,1279.0
Республика Саха (Якутия),2022,338.0
Приморский край,2022,203.0
Хабаровский край,2022,146.0
Амурская область,2022,159.0
Магаданская область,2022,37.0
Сахалинская область,2022,74.0
Еврейская автономная область,2022,20.0
Чукотский автономный округ,2022,19.0
Белгородская область,2023,165.0
Брянская область,2023,55.0
Владимирская область,2023,75.0
Воронежская область,2023,120.0
Ивановская область,2023,27.0
Калужская область,2023,57.0
Костромская область,2023,44.0
Курская область,2023,54.0
Липецкая область,2023,308.0
Московская область,2023,205.0
Орловская область,2023,28.0
Рязанская область,2023,85.0
Смоленская область,2023,52.0
Тамбовская область,2023,76.0
Тверская область,2023,60.0
Тульская область,2023,108.0
Ярославская область,2023,101.0
г. Москва,2023,63.0
Республика Карелия,2023,135.0
Республика Коми,2023,344.0
Архангельская область,2023,187.0
Вологодская область,2023,367.0
Калининградская область,2023,30.0
Ленинградская область,2023,234.0
Мурманская область,2023,147.0
Новгородская область,2023,71.0
Псковская область,2023,43.0
г. Санкт-Петербург,2023,67.0
Республика Адыгея,2023,19.0
Республика Калмыкия,2023,5.0
Краснодарский край,2023,361.0
Астраханская область,2023,100.0
Волгоградская область,2023,172.0
Ростовская область,2023,128.0
Республика Дагестан,2023,12.0
Республика Ингушетия,2023,3.0
Кабардино-Балкарская Республика,2023,5.0
Карачаево-Черкесская Республика,2023,14.0
Республика Северная Осетия - Алания,2023,9.0
Ставропольский край,2023,99.0
Республика Башкортостан,2023,447.0
Республика Марий Эл,2023,44.0
Республика Мордовия,2023,58.0
Республика Татарстан,2023,320.0
Удмуртская Республика,2023,148.0
Чувашская Республика,2023,26.0
Кировская область,2023,89.0
Нижегородская область,2023,129.0
Оренбургская область,2023,366.0
Пензенская область,2023,38.0
Самарская область,2023,222.0
Саратовская область,2023,138.0
Ульяновская область,2023,27.0
Курганская область,2023,29.0
Свердловская область,2023,817.0
Тюменская область,2023,2223.0
Челябинская область,2023,410.0
Республика Алтай,2023,10.0
Республика Бурятия,2023,11.0
Республика Тыва,2023,111.0
Республика Хакасия,2023,179.0
Алтайский край,2023,2489.0
Красноярский край,2023,769.0
Иркутская область,2023,1429.0
Кемеровская область,2023,199.0
Новосибирская область,2023,159.0
Омская область,2023,157.0
Томская область,2023,1327.0
Республика Саха (Якутия),2023,374.0
Приморский край,2023,204.0
Хабаровский край,2023,144.0
Амурская область,2023,157.0
Магаданская область,2023,42.0
Сахалинская область,2023,81.0
Еврейская автономная область,2023,20.0
Чукотский автономный округ,2023,20.0
