region,year,emissions_mass_level
Алтайский край,2003,248.0
Красноярский край,2003,2480.0
Иркутская область,2003,520.0
Кемеровская область,2003,1208.0
Новосибирская область,2003,206.0
Омская область,2003,237.0
Томская область,2003,336.0
Республика Саха (Якутия),2003,134.0
Приморский край,2003,303.0
Хабаровский край,2003,158.0
Амурская область,2003,90.0
Магаданская область,2003,34.0
Сахалинская область,2003,87.0
Еврейская автономная область,2003,30.0
Чукотский автономный округ,2003,38.0
Белгородская область,2004,99.0
Брянская область,2004,53.0
Владимирская область,2004,29.0
Воронежская область,2004,53.0
Ивановская область,2004,42.0
Калужская область,2004,12.0
Костромская область,2004,48.0
Курская область,2004,27.0
Липецкая область,2004,387.0
Московская область,2004,163.0
Орловская область,2004,13.0
Рязанская область,2004,119.0
Смоленская область,2004,30.0
Тамбовская область,2004,26.0
Тверская область,2004,46.0
Тульская область,2004,143.0
Ярославская область,2004,94.0
г. Москва,2004,91.0
Республика Карелия,2004,136.0
Республика Коми,2004,660.0
Архангельская область,2004,336.0
Вологодская область,2004,464.0
Калининградская область,2004,33.0
Ленинградская область,2004,177.0
Мурманская область,2004,316.0
Новгородская область,2004,53.0
Псковская область,2004,16.0
г. Санкт-Петербург,2004,57.0
Республика Адыгея,2004,3.0
Республика Калмыкия,2004,3.0
Краснодарский край,2004,119.0
Астраханская область,2004,123.0
Волгоградская область,2004,224.0
Ростовская область,2004,132.0
Республика Дагестан,2004,33.0
Республика Ингушетия,2004,1.0
Кабардино-Балкарская Республика,2004,2.0
Карачаево-Черкесская Республика,2004,14.0
Республика Северная Осетия - Алания,2004,10.0
Ставропольский край,2004,77.0
Республика Башкортостан,2004,410.0
Республика Марий Эл,2004,25.0
Республика Мордовия,2004,43.0
Республика Татарстан,2004,240.0
Удмуртская Республика,2004,130.0
Чувашская Республика,2004,42.0
Кировская область,2004,97.0
Нижегородская область,2004,161.0
Оренбургская область,2004,905.0
Пензенская область,2004,33.0
Самарская область,2004,354.0
Саратовская область,2004,276.0
Ульяновская область,2004,41.0
Курганская область,2004,48.0
Свердловская область,2004,1240.0
Тюменская область,2004,4129.0
Челябинская область,2004,945.0
Республика Алтай,2004,14.0
Республика Бурятия,2004,84.0
Республика Тыва,2004,25.0
Республика Хакасия,2004,89.0
Алтайский край,2004,237.0
Красноярский край,2004,2550.0
Иркутская область,2004,490.0
Кемеровская область,2004,1167.0
Новосибирская область,2004,201.0
Омская область,2004,219.0
Томская область,2004,296.0
Республика Саха (Якутия),2004,154.0
Приморский край,2004,256.0
Хабаровский край,2004,156.0
Амурская область,2004,105.0
Магаданская область,2004,32.0
Сахалинская область,2004,86.0
Еврейская автономная область,2004,30.0
Чукотский автономный округ,2004,38.0
Белгородская область,2005,102.0
Брянская область,2005,49.0
Владимирская область,2005,29.0
Воронежская область,2005,52.0
Ивановская область,2005,40.0
Калужская область,2005,12.0
Костромская область,2005,52.0
Курская область,2005,27.0
Липецкая область,2005,378.0
Московская область,2005,167.0
Орловская область,2005,13.0
Рязанская область,2005,141.0
Смоленская область,2005,34.0
Тамбовская область,2005,27.0
Тверская область,2005,43.0
Тульская область,2005,148.0
Ярославская область,2005,93.0
г. Москва,2005,89.0
Республика Карелия,2005,129.0
Республика Коми,2005,671.0
Архангельская область,2005,314.0
Вологодская область,2005,478.0
Калининградская область,2005,28.0
Ленинградская область,2005,209.0
Мурманская область,2005,301.0
Новгородская область,2005,55.0
Псковская область,2005,17.0
г. Санкт-Петербург,2005,53.0
Республика Адыгея,2005,2.0
Республика Калмыкия,2005,3.0
Краснодарский край,2005,113.0
Астраханская область,2005,131.0
Волгоградская область,2005,221.0
Ростовская область,2005,146.0
Республика Дагестан,2005,27.0
Республика Ингушетия,2005,1.0
Кабардино-Балкарская Республика,2005,2.0
Карачаево-Черкесская Республика,2005,16.0
Республика Северная Осетия - Алания,2005,6.0
Ставропольский край,2005,75.0
Республика Башкортостан,2005,411.0
Республика Марий Эл,2005,29.0
Республика Мордовия,2005,37.0
Республика Татарстан,2005,240.0
Удмуртская Республика,2005,143.0
Чувашская Республика,2005,38.0
Кировская область,2005,91.0
Нижегородская область,2005,167.0
Оренбургская область,2005,906.0
Пензенская область,2005,24.0
Самарская область,2005,321.0
Саратовская область,2005,182.0
Ульяновская область,2005,35.0
Курганская область,2005,61.0
Свердловская область,2005,1177.0
Тюменская область,2005,4179.0
Челябинская область,2005,880.0
Республика Алтай,2005,13.0
Республика Бурятия,2005,87.0
Республика Тыва,2005,24.0
Республика Хакасия,2005,96.0
Алтайский край,2005,233.0
Красноярский край,2005,2543.0
Иркутская область,2005,502.0
Кемеровская область,2005,1282.0
Новосибирская область,2005,213.0
Омская область,2005,202.0
Томская область,2005,281.0
Республика Саха (Якутия),2005,163.0
Приморский край,2005,260.0
Хабаровский край,2005,145.0
Амурская область,2005,104.0
Магаданская область,2005,29.0
Сахалинская область,2005,89.0
Еврейская автономная область,2005,28.0
Чукотский автономный округ,2005,32.0
Белгородская область,2006,105.0
Брянская область,2006,46.0
Владимирская область,2006,27.0
Воронежская область,2006,67.0
Ивановская область,2006,44.0
Калужская область,2006,12.0
Костромская область,2006,61.0
Курская область,2006,29.0
Липецкая область,2006,379.0
Московская область,2006,178.0
Орловская область,2006,12.0
Рязанская область,2006,131.0
Смоленская область,2006,42.0
Тамбовская область,2006,42.0
Тверская область,2006,61.0
Тульская область,2006,164.0
Ярославская область,2006,75.0
г. Москва,2006,95.0
Республика Карелия,2006,124.0
Республика Коми,2006,670.0
Архангельская область,2006,335.0
Вологодская область,2006,483.0
Калининградская область,2006,26.0
Ленинградская область,2006,247.0
Мурманская область,2006,293.0
Новгородская область,2006,55.0
Псковская область,2006,17.0
г. Санкт-Петербург,2006,52.0
Республика Адыгея,2006,2.0
Республика Калмыкия,2006,8.0
Краснодарский край,2006,152.0
Астраханская область,2006,117.0
Волгоградская область,2006,221.0
Ростовская область,2006,174.0
Республика Дагестан,2006,24.0
Республика Ингушетия,2006,1.0
Кабардино-Балкарская Республика,2006,2.0
Карачаево-Черкесская Республика,2006,19.0
Республика Северная Осетия - Алания,2006,5.0
Ставропольский край,2006,73.0
Республика Башкортостан,2006,395.0
Республика Марий Эл,2006,36.0
Республика Мордовия,2006,40.0
Республика Татарстан,2006,285.0
Удмуртская Республика,2006,120.0
Чувашская Республика,2006,32.0
Кировская область,2006,95.0
Нижегородская область,2006,157.0
Оренбургская область,2006,883.0
Пензенская область,2006,27.0
Самарская область,2006,336.0
Саратовская область,2006,188.0
Ульяновская область,2006,43.0
Курганская область,2006,53.0
Свердловская область,2006,1250.0
Тюменская область,2006,4022.0
Челябинская область,2006,996.0
Республика Алтай,2006,13.0
Республика Бурятия,2006,84.0
Республика Тыва,2006,23.0
Республика Хакасия,2006,91.0
Алтайский край,2006,219.0
Красноярский край,2006,2470.0
Иркутская область,2006,532.0
Кемеровская область,2006,1311.0
Новосибирская область,2006,214.0
Омская область,2006,198.0
Томская область,2006,285.0
Республика Саха (Якутия),2006,160.0
Приморский край,2006,237.0
Хабаровский край,2006,130.0
Амурская область,2006,103.0
Магаданская область,2006,28.0
Сахалинская область,2006,98.0
Еврейская автономная область,2006,24.0
Чукотский автономный округ,2006,30.0
Белгородская область,2007,124.0
Брянская область,2007,48.0
Владимирская область,2007,32.0
Воронежская область,2007,71.0
Ивановская область,2007,44.0
Калужская область,2007,13.0
Костромская область,2007,63.0
Курская область,2007,27.0
Липецкая область,2007,382.0
Московская область,2007,163.0
Орловская область,2007,12.0
Рязанская область,2007,135.0
Смоленская область,2007,37.0
Тамбовская область,2007,50.0
Тверская область,2007,69.0
Тульская область,2007,163.0
Ярославская область,2007,78.0
г. Москва,2007,79.0
Республика Карелия,2007,120.0
Республика Коми,2007,655.0
Архангельская область,2007,403.0
Вологодская область,2007,463.0
Калининградская область,2007,36.0
Ленинградская область,2007,237.0
Мурманская область,2007,295.0
Новгородская область,2007,49.0
Псковская область,2007,16.0
г. Санкт-Петербург,2007,46.0
Республика Адыгея,2007,3.0
Республика Калмыкия,2007,6.0
Краснодарский край,2007,143.0
Астраханская область,2007,129.0
Волгоградская область,2007,227.0
Ростовская область,2007,163.0
Республика Дагестан,2007,17.0
Республика Ингушетия,2007,1.0
Кабардино-Балкарская Республика,2007,3.0
Карачаево-Черкесская Республика,2007,20.0
Республика Северная Осетия - Алания,2007,5.0
Ставропольский край,2007,69.0
Республика Башкортостан,2007,407.0
Республика Марий Эл,2007,28.0
Республика Мордовия,2007,32.0
Республика Татарстан,2007,266.0
Удмуртская Республика,2007,120.0
Чувашская Республика,2007,29.0
Кировская область,2007,93.0
Нижегородская область,2007,149.0
Оренбургская область,2007,804.0
Пензенская область,2007,26.0
Самарская область,2007,325.0
Саратовская область,2007,162.0
Ульяновская область,2007,43.0
Курганская область,2007,50.0
Свердловская область,2007,1220.0
Тюменская область,2007,4086.0
Челябинская область,2007,970.0
Республика Алтай,2007,11.0
Республика Бурятия,2007,91.0
Республика Тыва,2007,21.0
Республика Хакасия,2007,94.0
Алтайский край,2007,215.0
Красноярский край,2007,2500.0
Иркутская область,2007,554.0
Кемеровская область,2007,1454.0
Новосибирская область,2007,207.0
Омская область,2007,198.0
Томская область,2007,320.0
Республика Саха (Якутия),2007,162.0
Приморский край,2007,227.0
Хабаровский край,2007,128.0
Амурская область,2007,117.0
Магаданская область,2007,28.0
Сахалинская область,2007,100.0
Еврейская автономная область,2007,24.0
Чукотский автономный округ,2007,27.0
Белгородская область,2008,116.0
Брянская область,2008,30.0
Владимирская область,2008,39.0
Воронежская область,2008,78.0
Ивановская область,2008,41.0
Калужская область,2008,13.0
Костромская область,2008,61.0
Курская область,2008,25.0
Липецкая область,2008,353.0
Московская область,2008,195.0
Орловская область,2008,20.0
Рязанская область,2008,146.0
Смоленская область,2008,43.0
Тамбовская область,2008,59.0
Тверская область,2008,58.0
Тульская область,2008,160.0
Ярославская область,2008,81.0
г. Москва,2008,70.0
Республика Карелия,2008,120.0
Республика Коми,2008,618.0
Архангельская область,2008,396.0
Вологодская область,2008,459.0
Калининградская область,2008,33.0
Ленинградская область,2008,219.0
Мурманская область,2008,276.0
Новгородская область,2008,46.0
Псковская область,2008,18.0
г. Санкт-Петербург,2008,40.0
Республика Адыгея,2008,3.0
Республика Калмыкия,2008,4.0
Краснодарский край,2008,147.0
Астраханская область,2008,125.0
Волгоградская область,2008,221.0
Ростовская область,2008,185.0
Республика Дагестан,2008,19.0
Республика Ингушетия,2008,1.0
Кабардино-Балкарская Республика,2008,3.0
Карачаево-Черкесская Республика,2008,17.0
Республика Северная Осетия - Алания,2008,5.0
Ставропольский край,2008,77.0
Республика Башкортостан,2008,417.0
Республика Марий Эл,2008,39.0
Республика Мордовия,2008,44.0
Республика Татарстан,2008,274.0
Удмуртская Республика,2008,119.0
Чувашская Республика,2008,37.0
Кировская область,2008,84.0
Нижегородская область,2008,166.0
Оренбургская область,2008,738.0
Пензенская область,2008,29.0
Самарская область,2008,305.0
Саратовская область,2008,157.0
Ульяновская область,2008,37.0
Курганская область,2008,58.0
Свердловская область,2008,1289.0
Тюменская область,2008,3494.0
Челябинская область,2008,958.0
Республика Алтай,2008,11.0
Республика Бурятия,2008,98.0
Республика Тыва,2008,22.0
Республика Хакасия,2008,99.0
Алтайский край,2008,212.0
Красноярский край,2008,2458.0
Иркутская область,2008,632.0
Кемеровская область,2008,1503.0
Новосибирская область,2008,232.0
Омская область,2008,236.0
Томская область,2008,322.0
Республика Саха (Якутия),2008,183.0
Приморский край,2008,242.0
Хабаровский край,2008,115.0
Амурская область,2008,109.0
Магаданская область,2008,24.0
Сахалинская область,2008,87.0
Еврейская автономная область,2008,21.0
Чукотский автономный округ,2008,25.0
Белгородская область,2009,126.0
Брянская область,2009,33.0
Владимирская область,2009,31.0
Воронежская область,2009,75.0
Ивановская область,2009,39.0
Калужская область,2009,12.0
Костромская область,2009,55.0
Курская область,2009,37.0
Липецкая область,2009,346.0
Московская область,2009,194.0
Орловская область,2009,22.0
Рязанская область,2009,132.0
Смоленская область,2009,43.0
Тамбовская область,2009,86.0
