region,year,vrp
Оренбургская область,2002,94182.5
Пензенская область,2002,41623.4
Самарская область,2002,206320.2
Саратовская область,2002,97326.4
Ульяновская область,2002,45677.0
Курганская область,2002,29940.8
Свердловская область,2002,234866.4
Тюменская область,2002,898722.4
Челябинская область,2002,172446.4
Республика Алтай,2002,5310.6
Республика Тыва,2002,6847.4
Республика Хакасия,2002,25423.3
Алтайский край,2002,73107.4
Красноярский край,2002,230994.9
Иркутская область,2002,140195.9
Кемеровская область,2002,136156.7
Новосибирская область,2002,123084.5
Омская область,2002,92628.7
Томская область,2002,75547.0
Республика Бурятия,2002,37884.5
Республика Саха (Якутия),2002,115117.1
Приморский край,2002,96832.3
Хабаровский край,2002,101048.6
Амурская область,2002,45717.5
Магаданская область,2002,22374.8
Сахалинская область,2002,47139.8
Еврейская автономная область,2002,6838.5
Чукотский автономный округ,2002,10155.4
Белгородская область,2003,76054.5
Брянская область,2003,43700.3
Владимирская область,2003,61818.6
Воронежская область,2003,100143.3
Ивановская область,2003,33214.6
Калужская область,2003,48792.7
Костромская область,2003,29692.1
Курская область,2003,56383.1
Липецкая область,2003,96241.9
Московская область,2003,412089.3
Орловская область,2003,42073.3
Рязанская область,2003,59607.2
Смоленская область,2003,49085.7
Тамбовская область,2003,46877.7
Тверская область,2003,68805.3
Тульская область,2003,72258.0
Ярославская область,2003,92073.4
г. Москва,2003,2188231.5
Республика Карелия,2003,46588.9
Республика Коми,2003,107149.0
Архангельская область,2003,103951.3
Вологодская область,2003,107544.6
Калининградская область,2003,46757.7
Ленинградская область,2003,121222.3
Мурманская область,2003,80604.1
Новгородская область,2003,38081.7
Псковская область,2003,29488.4
г. Санкт-Петербург,2003,409638.5
Республика Адыгея,2003,9849.3
Республика Калмыкия,2003,6539.5
Краснодарский край,2003,248565.5
Астраханская область,2003,50659.8
Волгоградская область,2003,128622.2
Ростовская область,2003,171849.0
Республика Дагестан,2003,57626.7
Республика Ингушетия,2003,4756.6
Кабардино-Балкарская Республика,2003,25997.4
Карачаево-Черкесская Республика,2003,11481.1
Республика Северная Осетия - Алания,2003,18925.2
Ставропольский край,2003,101382.6
Республика Башкортостан,2003,242920.5
Республика Марий Эл,2003,22987.3
Республика Мордовия,2003,33244.0
Республика Татарстан,2003,305086.1
Удмуртская Республика,2003,89034.5
