region,year,opzh,vrp,real_wage_index,unemployment_rate,living_wage,capture_mass_level,emissions_mass_level
Республика Алтай,2008,65.15,18701.0,109.4,12.6,5512.0,5.0,11.0
Республика Тыва,2008,60.48,23870.5,110.0,19.2,4581.0,29.0,22.0
Республика Хакасия,2008,66.53,72308.8,113.2,7.3,4448.0,197.0,99.0
Алтайский край,2008,67.52,259343.1,108.2,8.4,4510.0,746.0,212.0
Красноярский край,2008,66.94,737950.5,109.0,6.5,5232.0,9388.0,2458.0
Иркутская область,2008,65.01,438852.4,107.7,8.7,4743.0,3260.0,632.0
Кемеровская область,2008,64.64,575901.9,109.5,6.7,4099.0,5040.0,1503.0
Новосибирская область,2008,68.0,453574.6,115.0,7.3,4927.0,1048.0,232.0
Омская область,2008,67.54,347760.3,107.9,8.0,4528.0,1920.0,236.0
Томская область,2008,67.66,248906.2,108.1,8.0,4812.0,261.0,322.0
Республика Бурятия,2008,64.37,124738.5,110.8,11.6,4647.0,1091.0,98.0
Республика Саха (Якутия),2008,65.78,309518.3,111.5,9.0,7516.0,360.0,183.0
Приморский край,2008,65.5,316581.9,112.4,7.5,6071.0,2552.0,242.0
Хабаровский край,2008,65.27,269178.6,105.6,8.7,6902.0,545.0,115.0
Амурская область,2008,63.53,131563.7,108.6,5.1,5688.0,251.0,109.0
Магаданская область,2008,63.7,42053.8,108.9,7.3,7506.0,45.0,24.0
Сахалинская область,2008,64.39,333581.6,113.8,8.1,7531.0,410.0,87.0
Еврейская автономная область,2008,62.66,23977.0,109.4,10.1,5386.0,71.0,21.0
Чукотский автономный округ,2008,59.65,30558.7,114.4,4.7,,33.0,25.0
Белгородская область,2009,71.07,304345.3,93.3,4.8,4172.0,647.0,126.0
Брянская область,2009,67.86,126477.4,95.1,10.7,4311.0,345.0,33.0
Владимирская область,2009,66.23,185824.6,96.6,8.8,4973.0,13.0,31.0
Воронежская область,2009,68.94,301729.1,97.0,8.6,4924.0,53.0,75.0
Ивановская область,2009,66.72,87061.9,99.4,10.8,4642.0,67.0,39.0
Калужская область,2009,67.56,154946.1,96.0,6.2,4583.0,131.0,12.0
Костромская область,2009,67.17,78920.7,96.7,8.3,4789.0,53.0,55.0
Курская область,2009,68.06,161570.9,94.6,8.8,4493.0,28.0,37.0
Липецкая область,2009,68.44,226662.0,91.7,5.6,4563.0,1012.0,346.0
Московская область,2009,68.21,1519446.3,96.5,4.9,5850.0,940.0,194.0
Орловская область,2009,68.68,90623.6,94.8,9.9,4145.0,6.0,22.0
Рязанская область,2009,67.69,153634.1,94.0,9.2,4868.0,305.0,132.0
Смоленская область,2009,65.55,125348.9,95.2,7.7,4977.0,84.0,43.0
Тамбовская область,2009,68.78,136323.9,100.1,9.1,3805.0,10.0,86.0
Тверская область,2009,65.3,197687.0,97.4,7.7,4968.0,29.0,54.0
Тульская область,2009,66.69,214925.4,97.6,6.1,4752.0,441.0,156.0
Ярославская область,2009,68.59,212684.4,92.6,8.0,5113.0,52.0,78.0
г. Москва,2009,73.61,7126972.4,97.7,2.7,7406.0,86.0,60.0
Республика Карелия,2009,66.56,105924.1,96.8,10.0,5990.0,104.0,106.0
Республика Коми,2009,66.54,302629.2,101.5,11.8,6798.0,268.0,598.0
Архангельская область,2009,67.62,323606.8,99.6,7.2,6210.0,608.0,426.0
Вологодская область,2009,67.27,213396.9,92.9,7.9,5270.0,1578.0,412.0
Калининградская область,2009,67.67,169519.6,92.8,10.9,5209.0,6.0,30.0
Ленинградская область,2009,66.73,430395.5,92.0,7.2,4843.0,689.0,215.0
Мурманская область,2009,67.19,202235.5,99.1,7.6,7579.0,1622.0,281.0
Новгородская область,2009,64.47,117710.0,96.8,6.4,4924.0,90.0,38.0
Псковская область,2009,64.52,74647.8,100.3,11.0,4603.0,9.0,21.0
г. Санкт-Петербург,2009,71.19,1475805.3,94.3,4.1,5232.0,47.0,51.0
Республика Адыгея,2009,69.97,41511.5,102.6,7.9,4393.0,4.0,3.0
Республика Калмыкия,2009,68.61,23948.1,107.4,16.6,4311.0,0.2,2.0
Краснодарский край,2009,70.66,861603.3,101.5,7.2,5253.0,735.0,150.0
Астраханская область,2009,68.31,134418.2,102.1,10.0,4598.0,15.0,103.0
Волгоградская область,2009,69.49,377514.3,99.4,10.4,4647.0,276.0,195.0
Ростовская область,2009,69.54,555917.1,98.7,8.4,4744.0,859.0,175.0
Республика Дагестан,2009,73.98,257832.7,105.4,13.2,4066.0,3.0,20.0
Республика Ингушетия,2009,78.31,18953.3,109.8,52.9,4439.0,0.1,1.0
Кабардино-Балкарская Республика,2009,72.08,65660.1,104.9,14.4,3847.0,2.0,3.0
Карачаево-Черкесская Республика,2009,71.54,38584.1,99.1,12.2,4119.0,264.0,19.0
Республика Северная Осетия - Алания,2009,71.93,64081.4,105.7,10.6,3895.0,203.0,4.0
Ставропольский край,2009,70.28,277251.0,101.4,8.7,4820.0,71.0,64.0
Республика Башкортостан,2009,69.01,647911.7,96.2,9.3,4274.0,685.0,398.0
Республика Марий Эл,2009,67.08,69271.5,97.1,11.6,4292.0,11.0,37.0
Республика Мордовия,2009,69.06,90862.4,92.2,5.4,4228.0,463.0,33.0
Республика Татарстан,2009,70.82,885064.0,92.8,8.5,4101.0,358.0,268.0
Удмуртская Республика,2009,68.26,230938.3,96.0,8.7,4342.0,31.0,94.0
Чувашская Республика,2009,68.98,139909.5,94.2,11.5,4215.0,17.0,36.0
Кировская область,2009,67.92,146321.3,98.2,10.9,4746.0,173.0,109.0
Нижегородская область,2009,67.06,547223.0,98.1,7.4,5040.0,220.0,161.0
Оренбургская область,2009,67.86,413395.5,101.6,8.8,4445.0,825.0,647.0
Пензенская область,2009,69.38,147185.1,99.9,7.9,4341.0,41.0,22.0
Самарская область,2009,68.2,583999.9,91.6,6.1,5408.0,306.0,289.0
Саратовская область,2009,69.1,326370.4,98.8,8.8,4488.0,463.0,121.0
Ульяновская область,2009,68.75,154247.4,97.5,9.0,4414.0,175.0,31.0
Курганская область,2009,67.38,107914.5,94.1,13.3,4589.0,57.0,58.0
Свердловская область,2009,68.39,825267.4,88.4,8.3,5201.0,7932.0,1138.0
Тюменская область,2009,69.49,2870284.0,92.6,6.8,5297.0,27.0,3268.0
Челябинская область,2009,68.26,556985.3,91.7,8.0,4595.0,4119.0,798.0
Республика Алтай,2009,65.82,19911.6,100.4,13.9,6670.0,1.0,10.0
Республика Тыва,2009,60.04,26921.9,106.8,21.5,5084.0,27.0,20.0
Республика Хакасия,2009,67.25,81019.9,98.9,9.0,4890.0,191.0,96.0
Алтайский край,2009,68.52,265613.3,98.5,12.3,5113.0,681.0,197.0
Красноярский край,2009,67.63,749194.8,96.9,9.5,5889.0,8579.0,2446.0
Иркутская область,2009,65.45,458774.9,95.3,10.8,5163.0,2578.0,560.0
Кемеровская область,2009,65.37,512408.0,93.9,9.7,4260.0,4366.0,1408.0
Новосибирская область,2009,68.94,425400.2,95.7,10.0,5391.0,885.0,233.0
Омская область,2009,68.72,336259.6,98.8,8.5,4869.0,1633.0,214.0
Томская область,2009,68.06,245808.3,99.0,8.7,5644.0,310.0,360.0
Республика Бурятия,2009,65.27,121187.7,100.0,14.1,4968.0,670.0,96.0
Республика Саха (Якутия),2009,66.45,328201.7,99.6,8.7,8627.0,357.0,194.0
Приморский край,2009,66.72,368996.7,100.7,9.8,6401.0,2398.0,226.0
Хабаровский край,2009,66.33,276895.4,95.6,10.5,7993.0,706.0,114.0
Амурская область,2009,64.41,151118.6,101.1,8.7,6402.0,301.0,116.0
Магаданская область,2009,64.06,47895.9,97.7,6.6,8638.0,47.0,24.0
Сахалинская область,2009,64.83,392380.1,95.9,10.0,8362.0,422.0,116.0
Еврейская автономная область,2009,63.34,25320.0,97.7,8.5,6116.0,90.0,19.0
Чукотский автономный округ,2009,58.22,45067.6,94.2,4.4,,39.0,25.0
Белгородская область,2010,71.31,398361.4,105.7,5.2,4777.0,764.0,132.0
Брянская область,2010,67.92,147024.0,103.2,8.0,4933.0,560.0,35.0
Владимирская область,2010,67.12,224759.2,103.6,6.1,5774.0,14.0,35.0
Воронежская область,2010,69.45,346568.2,105.6,7.5,5594.0,51.0,77.0
Ивановская область,2010,67.09,109884.5,106.0,7.6,5440.0,26.0,37.0
Калужская область,2010,68.1,188601.3,107.8,6.7,5256.0,134.0,12.0
Костромская область,2010,67.5,98130.7,100.9,6.0,5668.0,45.0,54.0
Курская область,2010,68.53,193648.6,104.8,8.2,5120.0,40.0,41.0
Липецкая область,2010,68.59,248544.9,104.7,4.5,5276.0,1134.0,368.0
Московская область,2010,69.13,1832867.3,101.8,3.3,6585.0,873.0,205.0
Орловская область,2010,68.4,106196.7,104.0,8.9,4813.0,6.0,23.0
Рязанская область,2010,67.81,179127.9,106.7,8.4,5669.0,538.0,134.0
Смоленская область,2010,66.59,154681.1,102.5,7.4,5817.0,112.0,48.0
Тамбовская область,2010,69.22,143902.4,102.9,7.8,4199.0,10.0,46.0
Тверская область,2010,65.9,219004.9,106.8,6.6,5633.0,30.0,60.0
Тульская область,2010,67.11,237629.2,101.1,5.8,5374.0,597.0,167.0
Ярославская область,2010,68.39,239644.0,103.6,7.5,5386.0,53.0,81.0
г. Москва,2010,74.15,8375863.8,106.9,1.8,8656.0,74.0,63.0
Республика Карелия,2010,66.42,120511.3,101.6,9.3,6754.0,140.0,108.0
Республика Коми,2010,66.87,353853.0,104.0,10.1,7556.0,363.0,595.0
Архангельская область,2010,67.89,372804.8,101.6,6.9,7308.0,688.0,545.0
Вологодская область,2010,67.08,262432.7,105.6,7.8,6066.0,1773.0,474.0
Калининградская область,2010,68.75,195749.1,109.3,10.3,5729.0,13.0,29.0
Ленинградская область,2010,68.09,490303.7,104.1,5.2,5380.0,978.0,226.0
Мурманская область,2010,68.43,233438.9,101.6,8.6,8432.0,2225.0,288.0
Новгородская область,2010,65.04,127407.8,105.9,5.6,5569.0,89.0,46.0
Псковская область,2010,64.59,87066.0,107.5,9.5,5254.0,8.0,22.0
г. Санкт-Петербург,2010,72.06,1699486.4,106.6,2.6,5773.0,109.0,57.0
Республика Адыгея,2010,69.95,47194.5,103.3,9.3,4914.0,5.0,4.0
Республика Калмыкия,2010,69.35,24404.1,98.4,14.8,4956.0,0.2,3.0
Краснодарский край,2010,70.95,1028308.4,101.9,6.7,5737.0,697.0,139.0
Астраханская область,2010,69.08,144888.8,101.9,8.2,5209.0,15.0,125.0
Волгоградская область,2010,69.66,433473.7,104.5,8.0,5583.0,232.0,201.0
Ростовская область,2010,69.72,659667.4,102.4,7.7,5442.0,869.0,176.0
Республика Дагестан,2010,73.87,274354.2,101.5,14.8,4629.0,2.0,18.0
Республика Ингушетия,2010,74.71,19929.1,107.8,49.7,4800.0,0.0,1.0
Кабардино-Балкарская Республика,2010,72.11,77086.4,99.6,12.7,4726.0,2.0,3.0
Карачаево-Черкесская Республика,2010,72.44,43651.5,99.7,10.3,4894.0,303.0,20.0
Республика Северная Осетия - Алания,2010,72.65,75327.4,102.0,9.7,4776.0,215.0,6.0
Ставропольский край,2010,71.01,330790.8,102.7,6.9,5539.0,68.0,66.0
Республика Башкортостан,2010,68.89,759203.3,101.8,8.9,5255.0,495.0,388.0
Республика Марий Эл,2010,67.34,82374.4,103.0,10.5,5098.0,10.0,33.0
Республика Мордовия,2010,69.25,105343.8,101.4,5.4,5007.0,450.0,34.0
Республика Татарстан,2010,70.42,1001622.8,107.1,6.2,4733.0,329.0,263.0
Удмуртская Республика,2010,68.1,274578.1,100.7,9.3,5090.0,18.0,101.0
Чувашская Республика,2010,68.54,157704.6,105.3,9.5,5007.0,14.0,31.0
Кировская область,2010,68.24,172352.0,102.7,8.6,5437.0,131.0,102.0
Нижегородская область,2010,67.01,652805.9,103.6,7.7,5688.0,256.0,156.0
Оренбургская область,2010,67.95,458145.4,105.5,7.2,5132.0,764.0,617.0
Пензенская область,2010,69.28,172166.7,103.3,6.4,5163.0,22.0,22.0
Самарская область,2010,68.13,695651.2,104.3,5.8,6191.0,367.0,308.0
Саратовская область,2010,68.89,376169.4,104.3,6.3,5059.0,501.0,95.0
Ульяновская область,2010,68.54,178235.4,105.9,8.8,5164.0,172.0,39.0
Курганская область,2010,67.66,117879.5,102.8,12.1,5238.0,151.0,55.0
Свердловская область,2010,68.81,1046600.1,105.9,8.4,5946.0,9492.0,1169.0
Тюменская область,2010,69.46,3301573.3,102.1,6.9,5651.0,43.0,3132.0
Челябинская область,2010,68.41,652865.5,107.9,7.5,5234.0,4695.0,749.0
Республика Алтай,2010,65.68,22393.7,102.2,12.2,5612.0,2.0,6.0
Республика Тыва,2010,60.45,30772.8,101.8,21.7,5622.0,32.0,23.0
Республика Хакасия,2010,67.1,96039.8,105.4,9.1,5434.0,169.0,96.0
Алтайский край,2010,68.36,302900.7,104.2,8.8,5871.0,776.0,207.0
Красноярский край,2010,67.57,1055525.0,107.7,6.2,6557.0,9012.0,2491.0
Иркутская область,2010,65.26,546141.0,104.9,10.1,5667.0,2821.0,597.0
Кемеровская область,2010,65.42,625914.9,106.1,8.9,4811.0,4823.0,1411.0
Новосибирская область,2010,69.28,484141.3,103.8,7.7,6000.0,1009.0,228.0
Омская область,2010,68.78,382620.4,107.2,8.1,5028.0,1787.0,230.0
Томская область,2010,68.83,284676.7,104.2,7.7,6139.0,406.0,345.0
Республика Бурятия,2010,66.05,133525.6,104.6,10.4,5643.0,669.0,95.0
Республика Саха (Якутия),2010,66.75,386825.1,102.1,8.9,9207.0,403.0,161.0
Приморский край,2010,66.63,470679.2,109.3,9.5,6865.0,2587.0,233.0
Хабаровский край,2010,65.68,353590.3,103.1,8.9,8676.0,646.0,117.0
Амурская область,2010,64.36,178689.6,103.8,6.9,7163.0,284.0,119.0
Магаданская область,2010,65.07,59619.7,104.9,5.6,9236.0,53.0,25.0
Сахалинская область,2010,64.9,487659.5,100.0,8.9,9084.0,406.0,100.0
Еврейская автономная область,2010,63.67,31555.9,107.9,9.3,6752.0,147.0,23.0
Чукотский автономный округ,2010,57.49,38978.1,104.7,4.5,,30.0,22.0
Белгородская область,2011,71.71,507839.8,102.4,4.3,4959.0,785.0,134.0
Брянская область,2011,68.83,174211.8,103.4,7.1,5128.0,477.0,37.0
Владимирская область,2011,68.08,261222.6,103.2,5.7,5983.0,14.0,35.0
Воронежская область,2011,70.41,474973.9,103.6,6.4,5662.0,52.0,72.0
Ивановская область,2011,68.56,128905.4,99.3,6.6,5738.0,24.0,37.0
Калужская область,2011,69.49,234749.0,104.1,5.6,5412.0,135.0,13.0
Костромская область,2011,68.45,116629.8,100.8,5.1,5962.0,34.0,50.0
Курская область,2011,69.27,228851.4,107.1,6.3,5180.0,46.0,42.0
Липецкая область,2011,69.87,287816.8,102.7,4.9,5356.0,1200.0,345.0
Московская область,2011,70.36,2176795.3,104.4,3.7,6801.0,860.0,192.0
Орловская область,2011,69.48,131198.2,101.3,6.3,4966.0,7.0,23.0
Рязанская область,2011,69.34,214142.6,99.9,7.2,5901.0,506.0,122.0
Смоленская область,2011,68.12,180811.5,101.8,7.6,6574.0,91.0,48.0
Тамбовская область,2011,70.18,173283.1,105.3,6.6,4593.0,11.0,48.0
Тверская область,2011,67.02,255073.0,101.6,6.0,5837.0,23.0,67.0
Тульская область,2011,68.63,279879.3,101.3,5.3,5493.0,667.0,193.0
Ярославская область,2011,69.95,286967.5,102.8,5.1,5518.0,44.0,78.0
г. Москва,2011,75.79,9948772.8,107.9,1.4,9128.0,67.0,61.0
Республика Карелия,2011,67.95,154953.7,101.9,8.4,7228.0,108.0,96.0
Республика Коми,2011,67.95,435959.3,101.7,8.2,8226.0,336.0,712.0
Архангельская область,2011,68.75,439116.8,103.0,5.9,7722.0,656.0,373.0
Вологодская область,2011,68.36,323067.9,99.8,7.3,6346.0,1609.0,469.0
Калининградская область,2011,69.9,241004.8,100.1,9.1,5955.0,13.0,25.0
Ленинградская область,2011,69.44,581712.0,102.7,4.3,5775.0,943.0,216.0
Мурманская область,2011,68.93,263811.7,102.3,8.6,8737.0,1792.0,263.0
Новгородская область,2011,66.46,153419.7,103.4,4.9,5801.0,99.0,42.0
Псковская область,2011,66.47,100498.5,100.1,9.3,6113.0,11.0,28.0
г. Санкт-Петербург,2011,73.06,2091914.3,100.2,2.0,6221.0,123.0,69.0
Республика Адыгея,2011,70.99,56803.3,102.6,8.4,5100.0,4.0,4.0
Республика Калмыкия,2011,70.8,29318.7,97.5,14.2,5331.0,0.1,4.0
Краснодарский край,2011,71.15,1244652.8,103.4,5.9,5976.0,649.0,161.0
Астраханская область,2011,69.84,172616.6,102.6,8.8,5378.0,13.0,132.0
Волгоградская область,2011,70.5,508433.3,100.3,6.9,5742.0,201.0,178.0
Ростовская область,2011,70.28,765967.2,102.5,7.3,5824.0,882.0,154.0
Республика Дагестан,2011,74.26,330322.8,98.4,12.7,4871.0,1.0,17.0
Республика Ингушетия,2011,76.29,26858.9,106.9,48.1,4959.0,0.0,0.1
Кабардино-Балкарская Республика,2011,72.44,90594.5,101.1,10.5,4918.0,1.0,2.0
Карачаево-Черкесская Республика,2011,72.85,49252.1,99.8,9.8,5081.0,337.0,25.0
Республика Северная Осетия - Алания,2011,72.59,85876.7,103.7,8.3,4984.0,209.0,4.0
Ставропольский край,2011,71.57,396791.6,103.5,6.0,5802.0,59.0,68.0
Республика Башкортостан,2011,69.04,941023.6,103.0,7.6,5407.0,520.0,406.0
Республика Марий Эл,2011,68.31,97323.3,100.8,10.1,5114.0,9.0,29.0
Республика Мордовия,2011,70.11,119955.2,103.3,5.2,5352.0,476.0,34.0
Республика Татарстан,2011,71.3,1305947.0,106.7,4.7,5001.0,322.0,278.0
Удмуртская Республика,2011,68.88,335984.0,101.2,6.9,5277.0,20.0,104.0
Чувашская Республика,2011,69.66,188785.7,105.2,7.8,5247.0,11.0,28.0
Кировская область,2011,69.32,195269.5,99.7,8.3,5718.0,101.0,99.0
Нижегородская область,2011,68.48,770774.0,103.5,7.2,5950.0,215.0,142.0
Оренбургская область,2011,68.31,553320.9,103.0,6.3,5345.0,683.0,658.0
Пензенская область,2011,70.23,213401.2,104.2,5.4,5338.0,23.0,37.0
Самарская область,2011,69.02,834149.3,104.4,5.1,6420.0,455.0,292.0
Саратовская область,2011,69.86,431028.0,102.9,6.0,5271.0,457.0,109.0
Ульяновская область,2011,69.5,223672.7,102.4,6.8,5432.0,199.0,42.0
Курганская область,2011,68.36,136325.1,102.1,10.0,5570.0,115.0,47.0
Свердловская область,2011,69.29,1291019.1,102.8,7.2,6513.0,9354.0,1091.0
Тюменская область,2011,70.45,4112596.0,103.3,5.8,6325.0,41.0,3293.0
Челябинская область,2011,68.79,774401.0,104.1,6.6,5552.0,3888.0,694.0
Республика Алтай,2011,65.4,26380.8,101.4,12.8,5870.0,11.0,9.0
Республика Тыва,2011,61.39,33398.9,100.0,17.3,5994.0,20.0,19.0
Республика Хакасия,2011,67.75,113088.1,103.4,7.2,5895.0,144.0,90.0
Алтайский край,2011,68.97,332117.8,106.3,8.5,5943.0,712.0,204.0
Красноярский край,2011,68.27,1170827.3,102.6,6.0,7028.0,9067.0,2517.0
Иркутская область,2011,65.93,634561.4,101.3,9.1,6086.0,3003.0,621.0
Кемеровская область,2011,66.18,751198.4,105.1,8.1,5151.0,6321.0,1390.0
Новосибирская область,2011,69.68,598563.5,103.7,6.8,6482.0,907.0,234.0
Омская область,2011,69.5,451418.8,106.2,7.9,5258.0,1759.0,236.0
Томская область,2011,69.53,333885.7,103.5,9.1,6541.0,352.0,379.0
Республика Бурятия,2011,66.09,153624.1,101.3,9.0,6229.0,646.0,90.0
Республика Саха (Якутия),2011,67.67,486830.9,110.7,9.0,10028.0,417.0,157.0
Приморский край,2011,67.17,549722.8,104.2,8.0,7336.0,2551.0,225.0
Хабаровский край,2011,66.0,399594.2,106.4,6.6,9039.0,580.0,113.0
Амурская область,2011,64.82,225401.7,104.6,6.0,7950.0,322.0,134.0
Магаданская область,2011,65.99,72174.2,104.0,4.5,10249.0,45.0,25.0
Сахалинская область,2011,65.68,600247.9,100.4,7.9,9864.0,398.0,92.0
Еврейская автономная область,2011,63.35,39467.0,105.5,8.5,7394.0,150.0,25.0
Чукотский автономный округ,2011,61.58,44757.6,110.8,5.6,,29.0,22.0
Белгородская область,2012,71.91,545517.2,109.1,3.7,5256.0,850.0,134.0
Брянская область,2012,69.06,207397.5,113.0,5.1,5423.0,523.0,39.0
Владимирская область,2012,68.6,286018.6,107.1,4.4,6419.0,13.0,32.0
Воронежская область,2012,70.84,563965.4,117.1,5.5,5756.0,49.0,79.0
Ивановская область,2012,69.3,136115.0,111.9,6.3,6206.0,21.0,29.0
Калужская область,2012,69.39,285256.6,111.6,4.3,5757.0,135.0,13.0
Костромская область,2012,69.5,130840.4,108.0,4.8,6547.0,29.0,52.0
Курская область,2012,69.66,248213.1,108.9,5.1,5456.0,41.0,41.0
Липецкая область,2012,70.03,293301.3,109.1,3.6,5724.0,1418.0,339.0
Московская область,2012,70.4,2357081.9,108.3,2.9,7223.0,944.0,189.0
Орловская область,2012,69.51,146103.2,110.9,5.3,5236.0,5.0,11.0
Рязанская область,2012,69.86,253881.6,108.7,4.6,6340.0,464.0,124.0
Смоленская область,2012,68.49,201817.0,105.8,5.7,7199.0,89.0,46.0
Тамбовская область,2012,70.67,203331.5,112.5,4.9,4870.0,12.0,52.0
Тверская область,2012,67.86,268063.9,108.4,5.0,6301.0,24.0,63.0
Тульская область,2012,68.86,311240.3,110.6,4.6,6137.0,622.0,198.0
Ярославская область,2012,69.87,327279.6,107.0,3.4,6080.0,46.0,77.0
г. Москва,2012,75.74,10666870.5,106.4,0.8,9747.0,47.0,72.0
Республика Карелия,2012,68.0,160841.5,106.9,7.0,7774.0,93.0,107.0
Республика Коми,2012,68.33,479051.3,112.5,6.4,8293.0,413.0,688.0
Архангельская область,2012,69.65,472470.9,110.9,5.4,8159.0,648.0,271.0
Вологодская область,2012,69.21,355291.3,106.9,5.8,6847.0,1562.0,473.0
Калининградская область,2012,70.12,265361.2,103.2,7.4,6273.0,10.0,25.0
Ленинградская область,2012,69.77,672066.9,107.4,3.2,6155.0,931.0,229.0
Мурманская область,2012,69.81,283846.2,107.4,7.7,9315.0,1605.0,259.0
Новгородская область,2012,67.55,170605.7,109.1,4.1,6183.0,111.0,45.0
Псковская область,2012,66.53,107547.5,110.2,6.6,6406.0,16.0,28.0
г. Санкт-Петербург,2012,73.43,2280426.0,106.3,1.1,6613.0,114.0,69.0
Республика Адыгея,2012,71.68,65300.4,111.2,8.1,5525.0,5.0,6.0
Республика Калмыкия,2012,71.22,35897.8,112.8,13.1,5722.0,0.2,4.0
Краснодарский край,2012,71.74,1459490.8,110.5,5.6,6332.0,1411.0,216.0
Астраханская область,2012,70.36,209654.4,109.5,7.9,5822.0,13.0,134.0
Волгоградская область,2012,70.99,571516.1,109.7,6.0,6474.0,211.0,171.0
Ростовская область,2012,71.02,843560.3,107.4,6.0,6233.0,1101.0,200.0
Республика Дагестан,2012,74.9,374710.3,115.0,11.7,5279.0,2.0,18.0
Республика Ингушетия,2012,77.8,37413.9,122.4,47.7,5081.0,0.0,0.2
Кабардино-Балкарская Республика,2012,73.27,106711.2,117.8,8.9,5138.0,1.0,3.0
Карачаево-Черкесская Республика,2012,73.38,58712.1,119.8,8.9,5435.0,303.0,22.0
Республика Северная Осетия - Алания,2012,73.41,97448.8,113.1,7.9,5468.0,210.0,4.0
Ставропольский край,2012,72.15,431753.4,114.0,5.4,6259.0,61.0,69.0
Республика Башкортостан,2012,69.32,1149384.6,105.2,6.1,5755.0,483.0,403.0
Республика Марий Эл,2012,69.04,117201.1,109.2,6.5,5427.0,10.0,34.0
Республика Мордовия,2012,70.72,134315.6,109.0,4.9,5610.0,585.0,50.0
Республика Татарстан,2012,71.8,1437001.0,111.1,4.1,5622.0,310.0,288.0
Удмуртская Республика,2012,69.73,372782.7,108.9,6.0,5753.0,11.0,172.0
Чувашская Республика,2012,70.31,217821.1,110.8,5.9,5510.0,10.0,33.0
Кировская область,2012,69.79,208505.4,110.2,7.1,6169.0,121.0,101.0
Нижегородская область,2012,68.98,842195.5,107.4,5.4,6579.0,105.0,146.0
Оренбургская область,2012,68.64,628563.6,108.2,5.4,5783.0,619.0,757.0
Пензенская область,2012,70.87,239962.5,112.0,4.9,5589.0,26.0,22.0
Самарская область,2012,69.65,937434.5,107.5,3.4,6903.0,449.0,276.0
Саратовская область,2012,70.27,478275.8,111.3,5.4,5722.0,422.0,128.0
Ульяновская область,2012,70.62,240556.1,108.4,5.6,5786.0,71.0,34.0
Курганская область,2012,68.35,146045.5,109.5,8.7,6041.0,90.0,41.0
Свердловская область,2012,69.5,1484879.0,107.6,5.8,7005.0,9603.0,1129.0
Тюменская область,2012,70.8,4625467.5,107.7,5.2,6623.0,53.0,3520.0
Челябинская область,2012,68.97,841972.2999999999,106.7,6.4,6149.0,3873.0,678.0
Республика Алтай,2012,66.8,30444.6,110.8,11.6,6505.0,15.0,9.0
Республика Тыва,2012,61.09,37369.1,109.9,18.4,6462.0,22.0,20.0
Республика Хакасия,2012,67.64,130638.5,107.6,7.9,6405.0,188.0,94.0
Алтайский край,2012,69.11,368995.2,110.5,6.2,6257.0,822.0,216.0
Красноярский край,2012,68.42,1183228.0,106.1,5.5,7715.0,6770.0,2583.0
Иркутская область,2012,66.32,737971.6,108.4,7.8,6557.0,3251.0,720.0
Кемеровская область,2012,66.76,718320.4,108.1,7.1,5698.0,5334.0,1360.0
Новосибирская область,2012,69.72,728154.0,109.4,5.6,6989.0,1062.0,225.0
Омская область,2012,69.25,491507.6,109.7,6.9,5773.0,1913.0,240.0
Томская область,2012,70.07,371472.9,105.3,8.4,7077.0,325.0,323.0
Республика Бурятия,2012,66.79,164737.8,110.0,7.9,6766.0,698.0,100.0
Республика Саха (Якутия),2012,67.93,541306.8,111.9,8.0,10682.0,433.0,161.0
Приморский край,2012,67.79,557489.3,106.4,6.9,7839.0,2129.0,209.0
Хабаровский край,2012,67.13,437994.3,113.1,6.4,9482.0,640.0,115.0
Амурская область,2012,65.12,229407.1,104.7,5.3,8369.0,321.0,127.0
Магаданская область,2012,66.15,78417.9,110.4,3.4,11001.0,45.0,29.0
Сахалинская область,2012,66.63,641886.4,108.9,7.7,10034.0,275.0,87.0
Еврейская автономная область,2012,64.14,42743.6,102.8,8.5,8252.0,154.0,25.0
Чукотский автономный округ,2012,60.79,45633.9,108.1,4.3,,29.0,21.0
Белгородская область,2013,72.16,569006.4,103.6,4.0,6106.0,848.0,118.0
Брянская область,2013,69.75,219502.8,106.6,5.2,6543.0,587.0,37.0
Владимирская область,2013,69.13,306641.4,106.3,3.8,6989.0,14.0,32.0
Воронежская область,2013,70.89,611720.4,104.2,4.7,6043.0,53.0,76.0
Ивановская область,2013,69.84,158228.7,104.0,5.2,7036.0,25.0,30.0
Калужская область,2013,70.02,292841.0,100.9,4.5,6682.0,148.0,15.0
Костромская область,2013,69.86,139015.9,105.5,4.9,6916.0,25.0,50.0
Курская область,2013,70.14,271542.5,107.6,4.6,5925.0,41.0,38.0
Липецкая область,2013,70.66,315685.4,102.3,3.7,6215.0,1353.0,347.0
Московская область,2013,70.78,2545951.5,103.4,2.8,8072.0,1024.0,199.0
Орловская область,2013,70.22,164797.0,106.6,5.8,6443.0,5.0,24.0
Рязанская область,2013,70.74,279286.5,106.0,4.7,6677.0,493.0,103.0
Смоленская область,2013,68.9,225887.1,107.0,5.2,7663.0,102.0,59.0
Тамбовская область,2013,70.93,236335.9,105.0,4.6,5230.0,12.0,54.0
Тверская область,2013,68.13,298669.2,103.5,5.3,7121.0,19.0,60.0
Тульская область,2013,69.41,348034.8,106.9,4.2,6740.0,568.0,181.0
Ярославская область,2013,70.45,362861.8,104.7,4.5,6500.0,51.0,82.0
