region,year,opzh
Республика Калмыкия,2012,71.22
Краснодарский край,2012,71.74
Астраханская область,2012,70.36
Волгоградская область,2012,70.99
Ростовская область,2012,71.02
Республика Дагестан,2012,74.9
Республика Ингушетия,2012,77.8
Кабардино-Балкарская Республика,2012,73.27
Карачаево-Черкесская Республика,2012,73.38
Республика Северная Осетия - Алания,2012,73.41
Ставропольский край,2012,72.15
Республика Башкортостан,2012,69.32
Республика Марий Эл,2012,69.04
Республика Мордовия,2012,70.72
Республика Татарстан,2012,71.8
Удмуртская Республика,2012,69.73
Чувашская Республика,2012,70.31
Кировская область,2012,69.79
Нижегородская область,2012,68.98
Оренбургская область,2012,68.64
Пензенская область,2012,70.87
Самарская область,2012,69.65
Саратовская область,2012,70.27
Ульяновская область,2012,70.62
Курганская область,2012,68.35
Свердловская область,2012,69.5
Тюменская область,2012,70.8
Челябинская область,2012,68.97
Республика Алтай,2012,66.8
Республика Тыва,2012,61.09
Республика Хакасия,2012,67.64
Алтайский край,2012,69.11
Красноярский край,2012,68.42
Иркутская область,2012,66.32
Кемеровская область,2012,66.76
Новосибирская область,2012,69.72
Омская область,2012,69.25
Томская область,2012,70.07
Республика Бурятия,2012,66.79
Республика Саха (Якутия),2012,67.93
Приморский край,2012,67.79
Хабаровский край,2012,67.13
Амурская область,2012,65.12
Магаданская область,2012,66.15
Сахалинская область,2012,66.63
Еврейская автономная область,2012,64.14
Чукотский автономный округ,2012,60.79
Белгородская область,2013,72.16
Брянская область,2013,69.75
Владимирская область,2013,69.13
Воронежская область,2013,70.89
Ивановская область,2013,69.84
Калужская область,2013,70.02
Костромская область,2013,69.86
Курская область,2013,70.14
Липецкая область,2013,70.66
Московская область,2013,70.78
Орловская область,2013,70.22
Рязанская область,2013,70.74
Смоленская область,2013,68.9
Тамбовская область,2013,70.93
Тверская область,2013,68.13
Тульская область,2013,69.41
Ярославская область,2013,70.45
г. Москва,2013,76.37
Республика Карелия,2013,69.19
Республика Коми,2013,69.27
Архангельская область,2013,70.16
Вологодская область,2013,69.35
Калининградская область,2013,70.51
Ленинградская область,2013,70.36
Мурманская область,2013,70.46
Новгородская область,2013,67.67
Псковская область,2013,67.82
г. Санкт-Петербург,2013,74.22
Республика Адыгея,2013,71.8
Республика Калмыкия,2013,71.35
Краснодарский край,2013,72.29
Астраханская область,2013,71.34
Волгоградская область,2013,71.42
Ростовская область,2013,71.39
Республика Дагестан,2013,75.63
Республика Ингушетия,2013,78.84
Кабардино-Балкарская Республика,2013,73.71
Карачаево-Черкесская Республика,2013,73.94
Республика Северная Осетия - Алания,2013,73.94
Ставропольский край,2013,72.45
Республика Башкортостан,2013,69.63
Республика Марий Эл,2013,69.3
Республика Мордовия,2013,70.56
Республика Татарстан,2013,72.12
Удмуртская Республика,2013,69.92
Чувашская Республика,2013,70.79
Кировская область,2013,70.26
Нижегородская область,2013,69.42
Оренбургская область,2013,68.9
Пензенская область,2013,71.54
Самарская область,2013,69.4
Саратовская область,2013,70.67
Ульяновская область,2013,70.5
Курганская область,2013,68.27
Свердловская область,2013,69.81
Тюменская область,2013,71.35
Челябинская область,2013,69.52
Республика Алтай,2013,67.34
Республика Тыва,2013,61.79
Республика Хакасия,2013,68.57
Алтайский край,2013,69.77
Красноярский край,2013,69.06
Иркутская область,2013,66.72
Кемеровская область,2013,67.72
Новосибирская область,2013,70.19
Омская область,2013,69.74
Томская область,2013,70.33
Республика Бурятия,2013,67.67
Республика Саха (Якутия),2013,69.13
Приморский край,2013,68.19
Хабаровский край,2013,67.92
Амурская область,2013,66.38
Магаданская область,2013,67.12
Сахалинская область,2013,67.7
Еврейская автономная область,2013,64.94
Чукотский автономный округ,2013,62.11
Белгородская область,2014,72.25
Брянская область,2014,69.42
Владимирская область,2014,69.25
Воронежская область,2014,70.82
Ивановская область,2014,69.88
Калужская область,2014,69.93
Костромская область,2014,70.05
Курская область,2014,70.11
Липецкая область,2014,70.6
Московская область,2014,70.94
Орловская область,2014,69.88
Рязанская область,2014,70.8
Смоленская область,2014,69.44
Тамбовская область,2014,71.11
Тверская область,2014,68.43
Тульская область,2014,69.63
Ярославская область,2014,70.64
г. Москва,2014,76.7
Республика Карелия,2014,69.36
Республика Коми,2014,69.05
Архангельская область,2014,70.23
Вологодская область,2014,69.74
Калининградская область,2014,70.28
Ленинградская область,2014,70.28
Мурманская область,2014,69.97
Новгородская область,2014,68.41
Псковская область,2014,68.07
г. Санкт-Петербург,2014,74.57
Республика Адыгея,2014,72.01
Республика Калмыкия,2014,72.03
Краснодарский край,2014,72.28
Астраханская область,2014,70.76
Волгоградская область,2014,71.62
Ростовская область,2014,71.3
Республика Дагестан,2014,75.83
Республика Ингушетия,2014,79.42
Кабардино-Балкарская Республика,2014,74.16
Карачаево-Черкесская Республика,2014,73.91
Республика Северная Осетия - Алания,2014,73.82
Ставропольский край,2014,72.75
Республика Башкортостан,2014,69.76
Республика Марий Эл,2014,69.42
Республика Мордовия,2014,71.38
Республика Татарстан,2014,72.17
Удмуртская Республика,2014,70.03
Чувашская Республика,2014,70.62
Кировская область,2014,70.59
Нижегородская область,2014,69.53
Оренбургская область,2014,68.73
Пензенская область,2014,71.63
Самарская область,2014,69.63
Саратовская область,2014,70.95
Ульяновская область,2014,70.37
Курганская область,2014,68.75
Свердловская область,2014,69.76
Тюменская область,2014,71.5
Челябинская область,2014,69.71
Республика Алтай,2014,67.76
Республика Тыва,2014,61.79
Республика Хакасия,2014,68.83
Алтайский край,2014,70.01
Красноярский край,2014,69.23
Иркутская область,2014,66.87
Кемеровская область,2014,67.8
Новосибирская область,2014,70.28
Омская область,2014,70.13
Томская область,2014,70.67
Республика Бурятия,2014,68.54
Республика Саха (Якутия),2014,69.81
Приморский край,2014,68.74
Хабаровский край,2014,68.01
Амурская область,2014,67.0
Магаданская область,2014,67.19
Сахалинская область,2014,67.89
Еврейская автономная область,2014,65.2
Чукотский автономный округ,2014,62.32
Белгородская область,2015,72.61
Брянская область,2015,70.36
Владимирская область,2015,69.82
Воронежская область,2015,71.67
Ивановская область,2015,70.62
Калужская область,2015,70.73
Костромская область,2015,70.38
Курская область,2015,70.8
Липецкая область,2015,71.07
Московская область,2015,72.26
Орловская область,2015,70.38
Рязанская область,2015,71.46
Смоленская область,2015,69.74
Тамбовская область,2015,71.67
Тверская область,2015,69.1
Тульская область,2015,70.06
Ярославская область,2015,70.98
г. Москва,2015,76.77
Республика Карелия,2015,69.16
Республика Коми,2015,69.4
Архангельская область,2015,70.71
Вологодская область,2015,70.4
Калининградская область,2015,70.58
Ленинградская область,2015,71.23
Мурманская область,2015,70.24
Новгородская область,2015,68.7
Псковская область,2015,68.48
г. Санкт-Петербург,2015,74.42
Республика Адыгея,2015,72.22
Республика Калмыкия,2015,72.15
Краснодарский край,2015,72.53
Астраханская область,2015,71.36
Волгоградская область,2015,71.98
Ростовская область,2015,71.9
Республика Дагестан,2015,76.39
Республика Ингушетия,2015,80.05
Кабардино-Балкарская Республика,2015,74.61
Карачаево-Черкесская Республика,2015,74.44
Республика Северная Осетия - Алания,2015,74.2
Ставропольский край,2015,73.36
Республика Башкортостан,2015,70.08
Республика Марий Эл,2015,69.8
Республика Мордовия,2015,72.06
Республика Татарстан,2015,72.81
Удмуртская Республика,2015,70.46
Чувашская Республика,2015,71.35
Кировская область,2015,71.11
Нижегородская область,2015,70.17
Оренбургская область,2015,69.63
Пензенская область,2015,72.12
Самарская область,2015,70.35
Саратовская область,2015,71.4
Ульяновская область,2015,70.46
Курганская область,2015,69.03
Свердловская область,2015,69.83
Тюменская область,2015,71.76
Челябинская область,2015,69.9
Республика Алтай,2015,68.44
Республика Тыва,2015,63.13
Республика Хакасия,2015,68.68
Алтайский край,2015,70.44
Красноярский край,2015,69.69
Иркутская область,2015,67.37
Кемеровская область,2015,68.31
Новосибирская область,2015,70.86
Омская область,2015,70.41
Томская область,2015,71.25
Республика Бурятия,2015,69.15
Республика Саха (Якутия),2015,70.29
Приморский край,2015,69.21
Хабаровский край,2015,68.72
Амурская область,2015,67.27
Магаданская область,2015,68.11
Сахалинская область,2015,67.99
Еврейская автономная область,2015,65.04
Чукотский автономный округ,2015,64.16
Белгородская область,2016,72.87
Брянская область,2016,70.92
Владимирская область,2016,70.28
Воронежская область,2016,72.08
Ивановская область,2016,70.77
Калужская область,2016,71.18
Костромская область,2016,70.87
Курская область,2016,70.94
Липецкая область,2016,71.62
Московская область,2016,72.5
Орловская область,2016,70.73
Рязанская область,2016,71.87
Смоленская область,2016,69.98
Тамбовская область,2016,72.11
Тверская область,2016,69.24
Тульская область,2016,70.56
Ярославская область,2016,71.21
г. Москва,2016,77.08
Республика Карелия,2016,69.78
Республика Коми,2016,69.45
Архангельская область,2016,70.82
Вологодская область,2016,70.24
Калининградская область,2016,71.92
Ленинградская область,2016,71.7
Мурманская область,2016,70.94
Новгородская область,2016,69.15
Псковская область,2016,69.25
г. Санкт-Петербург,2016,74.9
Республика Адыгея,2016,72.59
Республика Калмыкия,2016,73.35
Краснодарский край,2016,72.83
Астраханская область,2016,72.2
Волгоградская область,2016,72.49
Ростовская область,2016,72.2
Республика Дагестан,2016,77.23
Республика Ингушетия,2016,80.82
Кабардино-Балкарская Республика,2016,75.12
Карачаево-Черкесская Республика,2016,74.72
Республика Северная Осетия - Алания,2016,75.05
Ставропольский край,2016,73.4
Республика Башкортостан,2016,71.0
Республика Марий Эл,2016,70.75
Республика Мордовия,2016,72.25
Республика Татарстан,2016,73.64
Удмуртская Республика,2016,70.86
Чувашская Республика,2016,71.52
Кировская область,2016,71.71
Нижегородская область,2016,70.75
Оренбургская область,2016,70.57
Пензенская область,2016,72.53
Самарская область,2016,71.08
Саратовская область,2016,72.07
Ульяновская область,2016,70.97
Курганская область,2016,69.43
Свердловская область,2016,70.02
Тюменская область,2016,72.33
Челябинская область,2016,70.5
Республика Алтай,2016,70.13
Республика Тыва,2016,64.21
Республика Хакасия,2016,69.33
Алтайский край,2016,70.74
Красноярский край,2016,70.01
Иркутская область,2016,68.2
Кемеровская область,2016,68.72
Новосибирская область,2016,71.2
Омская область,2016,70.78
Томская область,2016,71.66
Республика Бурятия,2016,69.61
Республика Саха (Якутия),2016,70.84
Приморский край,2016,69.66
Хабаровский край,2016,69.13
Амурская область,2016,68.28
Магаданская область,2016,69.0
Сахалинская область,2016,68.66
Еврейская автономная область,2016,65.88
Чукотский автономный округ,2016,64.42
Белгородская область,2017,73.67
Брянская область,2017,71.27
Владимирская область,2017,71.15
Воронежская область,2017,73.03
Ивановская область,2017,71.47
Калужская область,2017,71.87
Костромская область,2017,71.81
Курская область,2017,71.74
Липецкая область,2017,72.46
Московская область,2017,73.34
Орловская область,2017,71.63
Рязанская область,2017,72.7
Смоленская область,2017,71.14
Тамбовская область,2017,73.21
Тверская область,2017,70.45
Тульская область,2017,71.18
Ярославская область,2017,71.85
г. Москва,2017,77.87
Республика Карелия,2017,70.65
Республика Коми,2017,71.05
Архангельская область,2017,71.94
Вологодская область,2017,71.26
Калининградская область,2017,72.62
Ленинградская область,2017,72.54
Мурманская область,2017,71.67
Новгородская область,2017,69.68
Псковская область,2017,69.95
г. Санкт-Петербург,2017,75.45
Республика Адыгея,2017,73.25
Республика Калмыкия,2017,73.54
Краснодарский край,2017,73.42
Астраханская область,2017,73.35
Волгоградская область,2017,73.54
Ростовская область,2017,73.03
Республика Дагестан,2017,77.79
Республика Ингушетия,2017,81.59
Кабардино-Балкарская Республика,2017,75.81
Карачаево-Черкесская Республика,2017,75.94
Республика Северная Осетия - Алания,2017,75.51
Ставропольский край,2017,74.19
Республика Башкортостан,2017,71.73
Республика Марий Эл,2017,72.24
Республика Мордовия,2017,73.4
Республика Татарстан,2017,74.2
Удмуртская Республика,2017,72.06
Чувашская Республика,2017,72.73
Кировская область,2017,72.72
Нижегородская область,2017,71.88
Оренбургская область,2017,70.94
Пензенская область,2017,73.34
Самарская область,2017,71.73
Саратовская область,2017,72.88
Ульяновская область,2017,72.34
Курганская область,2017,70.8
Свердловская область,2017,71.23
Тюменская область,2017,73.1
Челябинская область,2017,71.53
Республика Алтай,2017,71.15
Республика Тыва,2017,66.29
Республика Хакасия,2017,70.21
Алтайский край,2017,71.1
Красноярский край,2017,70.61
Иркутская область,2017,69.19
Кемеровская область,2017,69.35
Новосибирская область,2017,71.57
Омская область,2017,71.49
Томская область,2017,72.02
Республика Бурятия,2017,70.69
Республика Саха (Якутия),2017,71.68
Приморский край,2017,70.36
Хабаровский край,2017,69.74
Амурская область,2017,69.06
Магаданская область,2017,69.37
Сахалинская область,2017,70.19
Еврейская автономная область,2017,68.83
Чукотский автономный округ,2017,66.1
Белгородская область,2018,73.67
Брянская область,2018,71.71
Владимирская область,2018,71.23
Воронежская область,2018,73.15
Ивановская область,2018,71.29
Калужская область,2018,71.89
Костромская область,2018,71.87
Курская область,2018,71.91
Липецкая область,2018,72.62
Московская область,2018,73.52
Орловская область,2018,71.56
Рязанская область,2018,72.84
Смоленская область,2018,71.16
Тамбовская область,2018,72.95
Тверская область,2018,70.47
Тульская область,2018,71.77
Ярославская область,2018,72.25
г. Москва,2018,77.84
Республика Карелия,2018,70.56
Республика Коми,2018,71.06
Архангельская область,2018,72.1
Вологодская область,2018,71.43
Калининградская область,2018,72.92
Ленинградская область,2018,73.07
Мурманская область,2018,71.68
Новгородская область,2018,70.26
Псковская область,2018,70.16
г. Санкт-Петербург,2018,75.93
Республика Адыгея,2018,73.56
Республика Калмыкия,2018,73.84
Краснодарский край,2018,74.3
Астраханская область,2018,73.48
Волгоградская область,2018,73.47
Ростовская область,2018,73.21
Республика Дагестан,2018,78.69
Республика Ингушетия,2018,82.41
Кабардино-Балкарская Республика,2018,76.28
Карачаево-Черкесская Республика,2018,76.09
Республика Северная Осетия - Алания,2018,75.68
Ставропольский край,2018,74.18
Республика Башкортостан,2018,72.06
Республика Марий Эл,2018,71.99
Республика Мордовия,2018,73.66
Республика Татарстан,2018,74.35
Удмуртская Республика,2018,72.45
Чувашская Республика,2018,72.95
Кировская область,2018,72.47
Нижегородская область,2018,71.69
Оренбургская область,2018,71.45
Пензенская область,2018,73.21
Самарская область,2018,72.31
Саратовская область,2018,72.95
Ульяновская область,2018,72.17
Курганская область,2018,70.78
Свердловская область,2018,71.29
Тюменская область,2018,73.4
Челябинская область,2018,71.64
Республика Алтай,2018,70.59
Республика Тыва,2018,66.47
Республика Хакасия,2018,71.15
Алтайский край,2018,71.11
Красноярский край,2018,70.71
Иркутская область,2018,69.31
Кемеровская область,2018,69.32
Новосибирская область,2018,71.83
Омская область,2018,71.96
Томская область,2018,72.84
Республика Бурятия,2018,70.84
Республика Саха (Якутия),2018,72.72
Приморский край,2018,70.48
Хабаровский край,2018,70.19
Амурская область,2018,69.11
Магаданская область,2018,69.62
Сахалинская область,2018,69.92
Еврейская автономная область,2018,68.6
Чукотский автономный округ,2018,63.58
Белгородская область,2019,74.21
Брянская область,2019,72.31
Владимирская область,2019,71.87
Воронежская область,2019,73.63
Ивановская область,2019,71.84
Калужская область,2019,72.35
Костромская область,2019,72.35
Курская область,2019,72.27
Липецкая область,2019,73.34
Московская область,2019,73.86
Орловская область,2019,72.56
Рязанская область,2019,73.2
Смоленская область,2019,71.89
Тамбовская область,2019,73.56
Тверская область,2019,71.24
Тульская область,2019,72.21
Ярославская область,2019,72.92
г. Москва,2019,78.36
Республика Карелия,2019,71.46
Республика Коми,2019,71.3
Архангельская область,2019,72.34
Вологодская область,2019,71.82
Калининградская область,2019,73.56
Ленинградская область,2019,73.64
Мурманская область,2019,71.75
Новгородская область,2019,70.52
Псковская область,2019,70.65
г. Санкт-Петербург,2019,76.31
Республика Адыгея,2019,73.85
Республика Калмыкия,2019,74.84
Краснодарский край,2019,73.91
Астраханская область,2019,73.86
Волгоградская область,2019,74.07
Ростовская область,2019,73.69
Республика Дагестан,2019,79.1
Республика Ингушетия,2019,83.4
Кабардино-Балкарская Республика,2019,76.46
Карачаево-Черкесская Республика,2019,76.21
Республика Северная Осетия - Алания,2019,75.75
Ставропольский край,2019,74.66
Республика Башкортостан,2019,72.64
Республика Марий Эл,2019,72.9
Республика Мордовия,2019,73.95
Республика Татарстан,2019,75.03
Удмуртская Республика,2019,72.8
Чувашская Республика,2019,73.44
Кировская область,2019,72.96
Нижегородская область,2019,72.32
Оренбургская область,2019,72.04
Пензенская область,2019,73.61
Самарская область,2019,72.77
Саратовская область,2019,73.07
Ульяновская область,2019,72.96
Курганская область,2019,71.14
Свердловская область,2019,71.81
Тюменская область,2019,74.04
Челябинская область,2019,72.08
Республика Алтай,2019,70.29
Республика Тыва,2019,67.57
Республика Хакасия,2019,71.05
Алтайский край,2019,71.61
Красноярский край,2019,71.16
Иркутская область,2019,69.55
Кемеровская область,2019,69.78
Новосибирская область,2019,72.25
Омская область,2019,72.32
Томская область,2019,72.85
Республика Бурятия,2019,70.77
Республика Саха (Якутия),2019,73.0
Приморский край,2019,70.54
Хабаровский край,2019,70.05
Амурская область,2019,68.66
Магаданская область,2019,69.66
Сахалинская область,2019,70.28
Еврейская автономная область,2019,68.08
Чукотский автономный округ,2019,68.09
Белгородская область,2020,72.37
Брянская область,2020,70.63
Владимирская область,2020,70.03
Воронежская область,2020,71.91
Ивановская область,2020,70.66
Калужская область,2020,70.38
Костромская область,2020,70.92
Курская область,2020,70.52
Липецкая область,2020,70.59
Московская область,2020,71.67
Орловская область,2020,70.1
Рязанская область,2020,70.95
Смоленская область,2020,70.1
Тамбовская область,2020,71.78
Тверская область,2020,69.76
Тульская область,2020,70.2
Ярославская область,2020,70.94
г. Москва,2020,76.2
Республика Карелия,2020,69.63
Республика Коми,2020,70.3
Архангельская область,2020,71.35
Вологодская область,2020,70.71
Калининградская область,2020,72.93
Ленинградская область,2020,71.53
Мурманская область,2020,69.81
Новгородская область,2020,69.59
Псковская область,2020,69.13
г. Санкт-Петербург,2020,73.99
Республика Адыгея,2020,73.27
Республика Калмыкия,2020,72.93
Краснодарский край,2020,72.24
Астраханская область,2020,72.01
Волгоградская область,2020,71.98
Ростовская область,2020,72.04
Республика Дагестан,2020,76.43
Республика Ингушетия,2020,81.48
Кабардино-Балкарская Республика,2020,74.37
Карачаево-Черкесская Республика,2020,74.82
Республика Северная Осетия - Алания,2020,74.08
Ставропольский край,2020,73.2
Республика Башкортостан,2020,70.36
Республика Марий Эл,2020,71.05
Республика Мордовия,2020,71.6
Республика Татарстан,2020,72.61
Удмуртская Республика,2020,71.03
Чувашская Республика,2020,71.03
Кировская область,2020,71.42
Нижегородская область,2020,70.33
Оренбургская область,2020,69.73
Пензенская область,2020,71.34
Самарская область,2020,70.45
Саратовская область,2020,71.14
Ульяновская область,2020,70.98
Курганская область,2020,69.94
Свердловская область,2020,70.15
Тюменская область,2020,72.24
Челябинская область,2020,70.29
Республика Алтай,2020,69.15
Республика Тыва,2020,66.25
Республика Хакасия,2020,70.06
Алтайский край,2020,70.19
Красноярский край,2020,69.82
Иркутская область,2020,68.25
Кемеровская область,2020,68.51
Новосибирская область,2020,70.32
Омская область,2020,70.32
Томская область,2020,71.17
Республика Бурятия,2020,70.29
Республика Саха (Якутия),2020,71.1
Приморский край,2020,69.55
Хабаровский край,2020,68.61
Амурская область,2020,67.38
Магаданская область,2020,69.04
Сахалинская область,2020,69.73
Еврейская автономная область,2020,67.5
Чукотский автономный округ,2020,65.82
Белгородская область,2021,70.67
Брянская область,2021,68.67
Владимирская область,2021,68.11
Воронежская область,2021,69.49
Ивановская область,2021,69.02
Калужская область,2021,69.16
Костромская область,2021,68.78
Курская область,2021,68.56
Липецкая область,2021,68.58
Московская область,2021,70.35
Орловская область,2021,68.97
Рязанская область,2021,68.61
Смоленская область,2021,68.0
Тамбовская область,2021,69.88
Тверская область,2021,67.87
Тульская область,2021,68.97
Ярославская область,2021,69.07
г. Москва,2021,74.55
Республика Карелия,2021,67.31
Республика Коми,2021,68.32
Архангельская область,2021,69.6
Вологодская область,2021,69.08
Калининградская область,2021,70.99
Ленинградская область,2021,70.17
Мурманская область,2021,68.29
Новгородская область,2021,67.64
Псковская область,2021,67.69
г. Санкт-Петербург,2021,72.51
Республика Адыгея,2021,71.22
Республика Калмыкия,2021,71.4
Краснодарский край,2021,70.53
Астраханская область,2021,69.9
Волгоградская область,2021,69.96
Ростовская область,2021,69.79
Республика Дагестан,2021,76.59
Республика Ингушетия,2021,80.52
Кабардино-Балкарская Республика,2021,73.77
Карачаево-Черкесская Республика,2021,73.47
Республика Северная Осетия - Алания,2021,72.47
Ставропольский край,2021,71.66
Республика Башкортостан,2021,69.49
Республика Марий Эл,2021,69.46
Республика Мордовия,2021,70.24
Республика Татарстан,2021,71.28
Удмуртская Республика,2021,69.99
Чувашская Республика,2021,69.99
Кировская область,2021,69.73
Нижегородская область,2021,68.93
Оренбургская область,2021,68.21
Пензенская область,2021,69.97
Самарская область,2021,69.33
Саратовская область,2021,69.08
Ульяновская область,2021,69.05
Курганская область,2021,68.29
Свердловская область,2021,68.79
Тюменская область,2021,71.26
Челябинская область,2021,69.16
Республика Алтай,2021,67.86
Республика Тыва,2021,66.87
Республика Хакасия,2021,68.49
Алтайский край,2021,68.6
Красноярский край,2021,68.34
Иркутская область,2021,66.8
Кемеровская область,2021,67.61
Новосибирская область,2021,69.19
Омская область,2021,69.02
Томская область,2021,69.7
Республика Бурятия,2021,68.91
Республика Саха (Якутия),2021,69.98
Приморский край,2021,68.61
Хабаровский край,2021,67.85
Амурская область,2021,66.3
Магаданская область,2021,67.41
Сахалинская область,2021,68.42
Еврейская автономная область,2021,66.12
Чукотский автономный округ,2021,64.87
Белгородская область,2022,73.03
Брянская область,2022,71.22
Владимирская область,2022,70.8
Воронежская область,2022,72.45
Ивановская область,2022,70.57
Калужская область,2022,72.48
Костромская область,2022,69.9
Курская область,2022,71.54
Липецкая область,2022,72.12
Московская область,2022,73.78
Орловская область,2022,70.73
Рязанская область,2022,72.14
Смоленская область,2022,70.35
Тамбовская область,2022,72.01
Тверская область,2022,69.94
Тульская область,2022,71.86
Ярославская область,2022,71.55
г. Москва,2022,78.17
Республика Карелия,2022,69.03
Республика Коми,2022,69.94
Архангельская область,2022,70.93
Вологодская область,2022,71.56
Калининградская область,2022,73.07
Ленинградская область,2022,73.33
Мурманская область,2022,70.16
Новгородская область,2022,70.45
Псковская область,2022,68.95
г. Санкт-Петербург,2022,75.77
Республика Адыгея,2022,73.6
Республика Калмыкия,2022,73.49
Краснодарский край,2022,72.92
Астраханская область,2022,71.8
Волгоградская область,2022,73.24
Ростовская область,2022,72.0
Республика Дагестан,2022,78.22
Республика Ингушетия,2022,78.34
Кабардино-Балкарская Республика,2022,75.51
Карачаево-Черкесская Республика,2022,75.32
Республика Северная Осетия - Алания,2022,74.7
Ставропольский край,2022,74.29
Республика Башкортостан,2022,72.98
Республика Марий Эл,2022,71.9
Республика Мордовия,2022,73.16
Республика Татарстан,2022,74.92
Удмуртская Республика,2022,72.13
Чувашская Республика,2022,72.49
Кировская область,2022,71.31
Нижегородская область,2022,71.49
Оренбургская область,2022,71.24
Пензенская область,2022,72.07
Самарская область,2022,72.14
Саратовская область,2022,72.85
Ульяновская область,2022,71.34
Курганская область,2022,69.88
Свердловская область,2022,71.31
Тюменская область,2022,74.59
Челябинская область,2022,72.16
Республика Алтай,2022,68.47
Республика Тыва,2022,67.11
Республика Хакасия,2022,70.57
Алтайский край,2022,69.96
Красноярский край,2022,70.58
Иркутская область,2022,69.31
Кемеровская область,2022,69.64
Новосибирская область,2022,71.49
Омская область,2022,71.45
Томская область,2022,72.33
Республика Бурятия,2022,69.35
Республика Саха (Якутия),2022,72.67
Приморский край,2022,69.71
Хабаровский край,2022,69.96
Амурская область,2022,68.17
Магаданская область,2022,68.45
Сахалинская область,2022,70.37
Еврейская автономная область,2022,67.7
Чукотский автономный округ,2022,66.2
Белгородская область,2023,73.7
Брянская область,2023,71.98
Владимирская область,2023,71.62
Воронежская область,2023,72.91
Ивановская область,2023,71.18
Калужская область,2023,73.08
Костромская область,2023,71.05
Курская область,2023,72.45
Липецкая область,2023,72.44
Московская область,2023,74.49
Орловская область,2023,71.65
Рязанская область,2023,73.19
Смоленская область,2023,71.47
Тамбовская область,2023,72.87
Тверская область,2023,70.61
Тульская область,2023,72.15
Ярославская область,2023,71.99
г. Москва,2023,79.38
Республика Карелия,2023,69.75
Республика Коми,2023,70.43
Архангельская область,2023,71.51
Вологодская область,2023,71.7
Калининградская область,2023,73.71
Ленинградская область,2023,74.88
Мурманская область,2023,70.44
Новгородская область,2023,70.43
Псковская область,2023,70.0
г. Санкт-Петербург,2023,76.55
Республика Адыгея,2023,75.36
Республика Калмыкия,2023,74.53
Краснодарский край,2023,73.71
Астраханская область,2023,72.2
Волгоградская область,2023,73.69
Ростовская область,2023,73.48
Республика Дагестан,2023,79.87
Республика Ингушетия,2023,79.2
Кабардино-Балкарская Республика,2023,77.14
Карачаево-Черкесская Республика,2023,76.25
Республика Северная Осетия - Алания,2023,76.16
Ставропольский край,2023,74.86
Республика Башкортостан,2023,73.17
Республика Марий Эл,2023,72.04
Республика Мордовия,2023,73.78
Республика Татарстан,2023,75.23
Удмуртская Республика,2023,72.34
Чувашская Республика,2023,73.07
Кировская область,2023,71.99
Нижегородская область,2023,72.1
Оренбургская область,2023,71.12
Пензенская область,2023,72.63
Самарская область,2023,72.53
Саратовская область,2023,73.27
Ульяновская область,2023,72.04
Курганская область,2023,69.79
Свердловская область,2023,71.84
Тюменская область,2023,75.44
Челябинская область,2023,72.43
Республика Алтай,2023,69.39
Республика Тыва,2023,66.59
Республика Хакасия,2023,70.68
Алтайский край,2023,70.77
Красноярский край,2023,71.32
Иркутская область,2023,69.82
Кемеровская область,2023,70.29
Новосибирская область,2023,72.2
Омская область,2023,71.83
Томская область,2023,73.05
Республика Бурятия,2023,69.54
Республика Саха (Якутия),2023,73.55
Приморский край,2023,70.06
Хабаровский край,2023,70.33
Амурская область,2023,68.25
Магаданская область,2023,69.3
Сахалинская область,2023,70.22
Еврейская автономная область,2023,68.3
Чукотский автономный округ,2023,66.56
