region,year,opzh
Кемеровская область,2002,62.41
Новосибирская область,2002,65.8
Омская область,2002,66.09
Томская область,2002,64.83
Республика Бурятия,2002,62.13
Республика Саха (Якутия),2002,64.81
Приморский край,2002,64.07
Хабаровский край,2002,62.6
Амурская область,2002,62.2
Магаданская область,2002,65.75
Сахалинская область,2002,62.84
Еврейская автономная область,2002,61.6
Чукотский автономный округ,2002,65.43
Белгородская область,2003,68.26
Брянская область,2003,64.62
Владимирская область,2003,63.18
Воронежская область,2003,66.19
Ивановская область,2003,62.42
Калужская область,2003,64.56
Костромская область,2003,62.39
Курская область,2003,65.35
Липецкая область,2003,65.85
Московская область,2003,65.26
Орловская область,2003,65.23
Рязанская область,2003,63.91
Смоленская область,2003,62.34
Тамбовская область,2003,65.47
Тверская область,2003,61.53
Тульская область,2003,63.03
Ярославская область,2003,63.46
г. Москва,2003,69.64
Республика Карелия,2003,60.81
Республика Коми,2003,61.67
Архангельская область,2003,62.11
Вологодская область,2003,62.47
Калининградская область,2003,61.68
Ленинградская область,2003,61.74
Мурманская область,2003,63.2
Новгородская область,2003,60.84
Псковская область,2003,60.86
г. Санкт-Петербург,2003,66.49
Республика Адыгея,2003,67.51
Республика Калмыкия,2003,66.18
Краснодарский край,2003,67.33
Астраханская область,2003,65.36
Волгоградская область,2003,66.43
Ростовская область,2003,66.47
Республика Дагестан,2003,72.33
Республика Ингушетия,2003,75.13
Кабардино-Балкарская Республика,2003,68.7
Карачаево-Черкесская Республика,2003,68.1
Республика Северная Осетия - Алания,2003,68.47
Ставропольский край,2003,67.14
Республика Башкортостан,2003,66.39
Республика Марий Эл,2003,63.99
Республика Мордовия,2003,66.28
Республика Татарстан,2003,67.84
Удмуртская Республика,2003,64.34
Чувашская Республика,2003,66.09
Кировская область,2003,63.71
Нижегородская область,2003,64.03
Оренбургская область,2003,65.35
Пензенская область,2003,65.67
Самарская область,2003,65.59
Саратовская область,2003,65.46
Ульяновская область,2003,65.25
Курганская область,2003,63.87
Свердловская область,2003,63.97
Тюменская область,2003,66.07
Челябинская область,2003,64.78
Республика Алтай,2003,60.24
Республика Тыва,2003,54.31
Республика Хакасия,2003,60.75
Алтайский край,2003,66.05
Красноярский край,2003,63.03
Иркутская область,2003,60.68
Кемеровская область,2003,61.86
Новосибирская область,2003,65.83
Омская область,2003,66.01
Томская область,2003,64.44
Республика Бурятия,2003,61.25
Республика Саха (Якутия),2003,63.96
Приморский край,2003,63.07
Хабаровский край,2003,61.85
Амурская область,2003,61.26
Магаданская область,2003,63.03
Сахалинская область,2003,61.44
Еврейская автономная область,2003,60.8
Чукотский автономный округ,2003,59.1
Белгородская область,2004,68.17
Брянская область,2004,64.16
Владимирская область,2004,62.85
Воронежская область,2004,66.13
Ивановская область,2004,62.37
Калужская область,2004,64.46
Костромская область,2004,62.64
Курская область,2004,64.95
Липецкая область,2004,65.69
Московская область,2004,65.57
Орловская область,2004,65.02
Рязанская область,2004,64.14
Смоленская область,2004,62.27
Тамбовская область,2004,65.57
Тверская область,2004,61.63
Тульская область,2004,63.02
Ярославская область,2004,63.77
г. Москва,2004,70.77
Республика Карелия,2004,61.58
Республика Коми,2004,62.21
Архангельская область,2004,62.33
Вологодская область,2004,62.78
Калининградская область,2004,61.36
Ленинградская область,2004,61.97
Мурманская область,2004,63.59
Новгородская область,2004,61.44
Псковская область,2004,60.63
г. Санкт-Петербург,2004,67.34
Республика Адыгея,2004,67.76
Республика Калмыкия,2004,67.29
Краснодарский край,2004,67.52
Астраханская область,2004,65.31
Волгоградская область,2004,66.94
Ростовская область,2004,66.74
Республика Дагестан,2004,72.7
Республика Ингушетия,2004,75.92
Кабардино-Балкарская Республика,2004,69.8
Карачаево-Черкесская Республика,2004,69.54
Республика Северная Осетия - Алания,2004,68.42
Ставропольский край,2004,67.78
Республика Башкортостан,2004,66.26
Республика Марий Эл,2004,63.38
Республика Мордовия,2004,66.58
Республика Татарстан,2004,67.65
Удмуртская Республика,2004,64.2
Чувашская Республика,2004,66.31
Кировская область,2004,63.93
Нижегородская область,2004,63.75
Оренбургская область,2004,65.37
Пензенская область,2004,65.72
Самарская область,2004,65.69
Саратовская область,2004,65.63
Ульяновская область,2004,65.34
Курганская область,2004,63.88
Свердловская область,2004,64.42
Тюменская область,2004,66.63
Челябинская область,2004,64.64
Республика Алтай,2004,61.13
Республика Тыва,2004,56.49
Республика Хакасия,2004,62.37
Алтайский край,2004,65.53
Красноярский край,2004,63.59
Иркутская область,2004,60.82
Кемеровская область,2004,62.23
Новосибирская область,2004,65.58
Омская область,2004,65.65
Томская область,2004,65.36
Республика Бурятия,2004,61.13
Республика Саха (Якутия),2004,64.21
Приморский край,2004,62.96
Хабаровский край,2004,62.18
Амурская область,2004,60.31
Магаданская область,2004,62.44
Сахалинская область,2004,61.49
Еврейская автономная область,2004,59.4
Чукотский автономный округ,2004,57.45
Белгородская область,2005,68.42
Брянская область,2005,63.41
Владимирская область,2005,63.28
Воронежская область,2005,66.24
Ивановская область,2005,62.11
Калужская область,2005,64.26
Костромская область,2005,62.66
Курская область,2005,64.99
Липецкая область,2005,66.02
Московская область,2005,65.68
Орловская область,2005,65.09
Рязанская область,2005,64.03
Смоленская область,2005,61.97
Тамбовская область,2005,65.49
Тверская область,2005,61.4
Тульская область,2005,62.85
Ярославская область,2005,63.98
г. Москва,2005,71.36
Республика Карелия,2005,62.06
Республика Коми,2005,62.27
Архангельская область,2005,62.93
Вологодская область,2005,63.11
Калининградская область,2005,61.49
Ленинградская область,2005,61.96
Мурманская область,2005,63.82
Новгородская область,2005,61.65
Псковская область,2005,60.18
г. Санкт-Петербург,2005,67.76
Республика Адыгея,2005,68.05
Республика Калмыкия,2005,66.97
Краснодарский край,2005,67.5
Астраханская область,2005,64.83
Волгоградская область,2005,67.02
Ростовская область,2005,66.91
Республика Дагестан,2005,73.29
Республика Ингушетия,2005,75.64
Кабардино-Балкарская Республика,2005,69.3
Карачаево-Черкесская Республика,2005,69.23
Республика Северная Осетия - Алания,2005,69.62
Ставропольский край,2005,67.72
Республика Башкортостан,2005,66.54
Республика Марий Эл,2005,63.41
Республика Мордовия,2005,66.58
Республика Татарстан,2005,67.95
Удмуртская Республика,2005,64.34
Чувашская Республика,2005,66.38
Кировская область,2005,64.19
Нижегородская область,2005,63.41
Оренбургская область,2005,65.0
Пензенская область,2005,65.5
Самарская область,2005,65.85
Саратовская область,2005,65.9
Ульяновская область,2005,65.24
Курганская область,2005,64.17
Свердловская область,2005,64.55
Тюменская область,2005,66.76
Челябинская область,2005,64.77
Республика Алтай,2005,60.42
Республика Тыва,2005,56.01
Республика Хакасия,2005,61.2
Алтайский край,2005,64.72
Красноярский край,2005,63.11
Иркутская область,2005,60.43
Кемеровская область,2005,61.56
Новосибирская область,2005,65.06
Омская область,2005,65.17
Томская область,2005,65.0
Республика Бурятия,2005,60.9
Республика Саха (Якутия),2005,64.7
Приморский край,2005,62.83
Хабаровский край,2005,61.89
Амурская область,2005,60.34
Магаданская область,2005,62.59
Сахалинская область,2005,60.58
Еврейская автономная область,2005,59.34
Чукотский автономный округ,2005,58.09
Белгородская область,2006,69.27
Брянская область,2006,65.3
Владимирская область,2006,64.44
Воронежская область,2006,67.11
Ивановская область,2006,64.49
Калужская область,2006,66.03
Костромская область,2006,64.62
Курская область,2006,66.06
Липецкая область,2006,66.73
Московская область,2006,66.4
Орловская область,2006,66.39
Рязанская область,2006,65.23
Смоленская область,2006,63.01
Тамбовская область,2006,66.84
Тверская область,2006,62.85
Тульская область,2006,64.23
Ярославская область,2006,66.11
г. Москва,2006,71.81
Республика Карелия,2006,63.79
Республика Коми,2006,64.21
Архангельская область,2006,64.84
Вологодская область,2006,65.36
Калининградская область,2006,64.13
Ленинградская область,2006,63.06
Мурманская область,2006,65.17
Новгородская область,2006,62.66
Псковская область,2006,61.22
г. Санкт-Петербург,2006,68.9
Республика Адыгея,2006,68.27
Республика Калмыкия,2006,67.52
Краснодарский край,2006,68.74
Астраханская область,2006,66.14
Волгоградская область,2006,67.84
Ростовская область,2006,67.61
Республика Дагестан,2006,73.35
Республика Ингушетия,2006,76.02
Кабардино-Балкарская Республика,2006,70.14
Карачаево-Черкесская Республика,2006,70.19
Республика Северная Осетия - Алания,2006,70.74
Ставропольский край,2006,68.25
Республика Башкортостан,2006,67.47
Республика Марий Эл,2006,64.82
Республика Мордовия,2006,67.75
Республика Татарстан,2006,69.04
Удмуртская Республика,2006,66.01
Чувашская Республика,2006,66.98
Кировская область,2006,65.8
Нижегородская область,2006,64.6
Оренбургская область,2006,66.17
Пензенская область,2006,67.25
Самарская область,2006,66.57
Саратовская область,2006,67.37
Ульяновская область,2006,66.33
Курганская область,2006,65.52
Свердловская область,2006,66.47
Тюменская область,2006,67.95
Челябинская область,2006,66.17
Республика Алтай,2006,62.49
Республика Тыва,2006,58.43
Республика Хакасия,2006,64.51
Алтайский край,2006,66.64
Красноярский край,2006,65.58
Иркутская область,2006,63.06
Кемеровская область,2006,63.04
Новосибирская область,2006,66.38
Омская область,2006,66.17
Томская область,2006,66.5
Республика Бурятия,2006,62.43
Республика Саха (Якутия),2006,65.55
Приморский край,2006,64.4
Хабаровский край,2006,63.67
Амурская область,2006,62.23
Магаданская область,2006,63.4
Сахалинская область,2006,62.79
Еврейская автономная область,2006,61.27
Чукотский автономный округ,2006,58.93
Белгородская область,2007,70.33
Брянская область,2007,66.11
Владимирская область,2007,65.3
Воронежская область,2007,67.52
Ивановская область,2007,65.55
Калужская область,2007,66.64
Костромская область,2007,66.27
Курская область,2007,66.66
Липецкая область,2007,67.31
Московская область,2007,66.93
Орловская область,2007,67.23
Рязанская область,2007,65.61
Смоленская область,2007,64.46
Тамбовская область,2007,67.9
Тверская область,2007,63.99
Тульская область,2007,65.01
Ярославская область,2007,67.0
г. Москва,2007,72.5
Республика Карелия,2007,65.12
Республика Коми,2007,65.83
Архангельская область,2007,66.27
Вологодская область,2007,66.96
Калининградская область,2007,65.79
Ленинградская область,2007,64.58
Мурманская область,2007,66.72
Новгородская область,2007,63.96
Псковская область,2007,64.09
г. Санкт-Петербург,2007,69.86
Республика Адыгея,2007,68.77
Республика Калмыкия,2007,68.35
Краснодарский край,2007,69.25
Астраханская область,2007,67.02
Волгоградская область,2007,68.84
Ростовская область,2007,68.38
Республика Дагестан,2007,74.21
Республика Ингушетия,2007,79.0
Кабардино-Балкарская Республика,2007,71.18
Карачаево-Черкесская Республика,2007,71.28
Республика Северная Осетия - Алания,2007,71.74
Ставропольский край,2007,69.49
Республика Башкортостан,2007,67.81
Республика Марий Эл,2007,66.16
